productId,partNumber,brand,name,catalogUrl
245139,"76382-576","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm",""
245140,"76386-626","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm",""
245141,"76386-014","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm",""
245142,"76382-577","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 4.60mm x 125mm",""
245143,"76382-578","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 4.60mm x 150mm",""
245144,"76386-198","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 4.60mm x 200mm",""
245145,"76386-374","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 4.60mm x 300mm",""
245146,"76385-988","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm",""
245147,"76386-148","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm",""
245148,"76386-306","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 7.75mm x 250mm",""
245149,"76385-990","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm",""
245150,"76386-150","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 10.00mm x 150mm",""
245151,"76386-308","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm",""
245152,"76386-002","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 21.20mm x 100mm",""
245153,"76386-102","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm",""
245154,"76386-152","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 21.20mm x 150mm",""
245155,"76386-310","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 21.20mm x 250mm",""
245156,"76386-312","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 30.00mm x 250mm",""
245157,"76384-064","ACE","Avantor® ACE® C18-PFP, HPLC Columns, 3 µm",""
245158,"76384-066","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 0.30mm x 100mm",""
245159,"76384-130","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 0.30mm x 150mm",""
245160,"76384-068","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 0.50mm x 50mm",""
245161,"76384-090","ACE","Avantor® ACE® C18-PFP, HPLC Columns, 3 µm",""
245162,"76384-132","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 0.50mm x 150mm",""
245163,"76384-070","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 1.00mm x 50mm",""
245164,"76384-072","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 1.00mm x 100mm",""
245165,"76384-134","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 1.00mm x 150mm",""
245166,"76384-074","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 2.10mm x 30mm",""
245167,"76384-076","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 2.10mm x 50mm",""
245168,"76384-098","ACE","Avantor® ACE® C18-PFP, HPLC Columns, 3 µm",""
245169,"76384-120","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 2.10mm x 125mm",""
245170,"76384-142","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 2.10mm x 150mm",""
245171,"76384-060","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 3.00mm x 30mm",""
245172,"76384-080","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 3.00mm x 50mm",""
245173,"76384-100","ACE","Avantor® ACE® C18-PFP, HPLC Columns, 3 µm",""
245174,"76384-122","ACE","Avantor® ACE® C18-PFP, HPLC Columns, 3 µm",""
245175,"76384-144","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 3.00mm x 150mm",""
245176,"76384-062","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.00mm x 30mm",""
245177,"76384-082","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.00mm x 50mm",""
245178,"76384-102","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.00mm x 100mm",""
245179,"76384-124","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.00mm x 125mm",""
245180,"76384-146","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.00mm x 150mm",""
245181,"76384-063","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 30mm",""
245182,"76384-083","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 50mm",""
245183,"76384-104","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 100mm",""
245184,"76384-126","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 125mm",""
245185,"76384-148","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 150mm",""
245186,"76384-168","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 200mm",""
245187,"76384-188","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 250mm",""
245761,"C-10001","ACE","Avantor Hichrom HI-1 GC Column, 15m x 0.25mm x 0.25µm",""
245762,"C-10002","ACE","Avantor Hichrom HI-1 GC Column, 30m x 0.25mm x 0.25µm",""
245763,"C-10003","ACE","Avantor Hichrom HI-1 GC Column, 60m x 0.25mm x 0.25µm",""
245764,"C-10004","ACE","Avantor Hichrom HI-1 GC Column, 15m x 0.25mm x 0.5µm",""
245765,"C-10005","ACE","Avantor Hichrom HI-1 GC Column, 30m x 0.25mm x 0.5µm",""
245766,"C-10006","ACE","Avantor Hichrom HI-1 GC Column, 15m x 0.25mm x 1.0µm",""
245767,"C-10007","ACE","Avantor Hichrom HI-1 GC Column, 30m x 0.25mm x 1.0µm",""
245768,"C-10008","ACE","Avantor Hichrom HI-1 GC Column, 30m x 0.32mm x 0.25µm",""
245769,"C-10009","ACE","Avantor Hichrom HI-1 GC Column, 60m x 0.32mm x 0.25µm",""
245770,"C-10010","ACE","Avantor Hichrom HI-1 GC Column, 30m x 0.32mm x 0.5µm",""
245771,"C-10011","ACE","Avantor Hichrom HI-1 GC Column, 30m x 0.32mm x 1.0µm",""
245772,"C-10012","ACE","Avantor Hichrom HI-1 GC Column, 15m x 0.53mm x 0.5µm",""
245773,"C-10013","ACE","Avantor Hichrom HI-1 GC Column, 30m x 0.53mm x 0.5µm",""
245774,"C-10014","ACE","Avantor Hichrom HI-1 GC Column, 15m x 0.53mm x 1.0µm",""
245775,"C-10015","ACE","Avantor Hichrom HI-1 GC Column, 30m x 0.53mm x 1.0µm",""
245776,"C-10021","ACE","Avantor Hichrom HI-5 GC Column, 15m x 0.25mm x 0.25µm",""
245777,"C-10022","ACE","Avantor Hichrom HI-5 GC Column, 30m x 0.25mm x 0.25µm",""
245778,"C-10023","ACE","Avantor Hichrom HI-5 GC Column, 60m x 0.25mm x 0.25µm",""
245779,"C-10024","ACE","Avantor Hichrom HI-5 GC Column, 15m x 0.25mm x 0.5µm",""
245780,"C-10025","ACE","Avantor Hichrom HI-5 GC Column, 30m x 0.25mm x 0.5µm",""
245781,"C-10026","ACE","Avantor Hichrom HI-5 GC Column, 15m x 0.25mm x 1.0µm",""
245782,"C-10027","ACE","Avantor Hichrom HI-5 GC Column, 30m x 0.25mm x 1.0µm",""
245783,"C-10028","ACE","Avantor Hichrom HI-5 GC Column, 30m x 0.32mm x 0.25µm",""
245784,"C-10029","ACE","Avantor Hichrom HI-5 GC Column, 60m x 0.32mm x 0.25µm",""
245785,"C-10030","ACE","Avantor Hichrom HI-5 GC Column, 30m x 0.32mm x 0.5µm",""
245786,"C-10031","ACE","Avantor Hichrom HI-5 GC Column, 30m x 0.32mm x 1.0µm",""
245787,"C-10032","ACE","Avantor Hichrom HI-5 GC Column, 15m x 0.53mm x 0.5µm",""
245788,"C-10033","ACE","Avantor Hichrom HI-5 GC Column, 30m x 0.53mm x 0.5µm",""
245789,"C-10034","ACE","Avantor Hichrom HI-5 GC Column, 15m x 0.53mm x 1.0µm",""
245790,"C-10035","ACE","Avantor Hichrom HI-5 GC Column, 30m x 0.53mm x 1.0µm",""
245791,"C-10201","ACE","Avantor Hichrom HI-WAX GC Column, 15m x 0.25mm x 0.25µm",""
245792,"C-10202","ACE","Avantor Hichrom HI-WAX GC Column, 30m x 0.25mm x 0.25µm",""
245793,"C-10203","ACE","Avantor Hichrom HI-WAX GC Column, 15m x 0.25mm x 0.5µm",""
245794,"C-10204","ACE","Avantor Hichrom HI-WAX GC Column, 30m x 0.25mm x 0.5µm",""
245795,"C-10205","ACE","Avantor Hichrom HI-WAX GC Column, 15m x 0.25mm x 1.0µm",""
245796,"C-10206","ACE","Avantor Hichrom HI-WAX GC Column, 30m x 0.25mm x 1.0µm",""
245797,"C-10207","ACE","Avantor Hichrom HI-WAX GC Column, 30m x 0.32mm x 0.25µm",""
245798,"C-10208","ACE","Avantor Hichrom HI-WAX GC Column, 30m x 0.32mm x 0.5µm",""
245799,"C-10209","ACE","Avantor Hichrom HI-WAX GC Column, 30m x 0.32mm x 1.0µm",""
245800,"C-10210","ACE","Avantor Hichrom HI-WAX GC Column, 15m x 0.53mm x 0.5µm",""
245801,"C-10211","ACE","Avantor Hichrom HI-WAX GC Column, 30m x 0.53mm x 0.5µm",""
245802,"C-10212","ACE","Avantor Hichrom HI-WAX GC Column, 15m x 0.53mm x 1.0µm",""
245803,"C-10213","ACE","Avantor Hichrom HI-WAX GC Column, 30m x 0.53mm x 1.0µm",""
245804,"C-10101","ACE","Avantor Hichrom HI-5 MS GC Column, 30m x 0.25mm x 0.25µm",""
245805,"C-10102","ACE","Avantor Hichrom HI-5 MS GC Column, 30m x 0.25mm x 0.5µm",""
245806,"C-10103","ACE","Avantor Hichrom HI-5 MS GC Column, 30m x 0.25mm x 1.0µm",""
245807,"C-10104","ACE","Avantor Hichrom HI-5 MS GC Column, 30m x 0.32mm x 0.25µm",""
245808,"C-10105","ACE","Avantor Hichrom HI-5 MS GC Column, 30m x 0.32mm x 0.5µm",""
245809,"C-10106","ACE","Avantor Hichrom HI-5 MS GC Column, 30m x 0.32mm x 1.0µm",""
245810,"C-10107","ACE","Avantor Hichrom HI-5 MS GC Column, 30m x 0.53mm x 0.5µm",""
246125,"ACE-111-0103GD","ACE","Avantor® ACE® Guard Cartridge, C18 3 µm, 1.0x10 mm",""
