productId,partNumber,brand,name,description,specifications,descriptionQuality,detailedDescription
AGIL-0100-2637,0100-2637,Agilent,"Nut and ferrule, stainless steel, 1/8 inch, for sample loop for switching valve",,{},none,
AGIL-0101867305,01018-67305,Agilent,Capillary stainless steel 0.25 x 700 mm S/S ps/ns,Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 01018-67305 Tubing for HPLC Part Number:01018-67305 Capillary stainless steel 0.,"{""Application Compatibility"": ""Preparative"", ""Capillary Subtype"": ""Standard capillary"", ""Fitting Type Left End"": ""S"", ""Fitting Type Right End"": ""S"", ""Inner Diameter (ID)"": ""0.25 mm"", ""Length"": ""700 mm"", ""Material"": ""Stainless Steel"", ""Swage Status Fitting Left End"": ""Pre-swaged"", ""Swage Status Fitting Right End"": ""Non-swaged"", ""UNSPSC Code"": ""41115720""}",high,
AGIL-01080-83202,01080-83202,Agilent,"Blanking Nut, Adapter, Hose Connector","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 01080-83202 Fittings for HPLC Part Number:01080-83202 Blank nut, stainless steel, for 1/16 inch Swagelok fitting ports Add to Favorites Subscribe to this item in cart or checkout More lab efficiency with your auto delivery schedule, modify and cancel it at any time.","{""Material"": ""Stainless Steel"", ""Technique"": ""LC"", ""UNSPSC Code"": ""41115716""}",high,
AGIL-0109087305,01090-87305,Agilent,HPLC Tubing 0.17mm ID x 130mm,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 01090-87305 Repair Parts Part Number:01090-87305 Capillary, stainless steel, 0.","{""Application Compatibility"": ""Analytical"", ""Capillary Subtype"": ""Standard capillary"", ""Fitting Type Left End"": ""S (Swagelok, 1.6 mm ID, stainless steel, short screw)"", ""Fitting Type Right End"": ""No fitting"", ""Inner Diameter (ID)"": ""0.17 mm"", ""Length"": ""130 mm"", ""Material"": ""Stainless Steel"", ""Swage Status Fitting Left End"": ""Pre-swaged"", ""UNSPSC Code"": ""41115720""}",high,
AGIL-08901761,0890-1761,Agilent,HPLC PEEK Tubing 0.5mm ID x 1.6mm OD x 1500mm,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 0890-1761 Tubing Part Number:0890-1761 Tubing, PEEK, 1.","{""Inner Diameter (ID)"": ""0.5 mm"", ""Length"": ""1500 mm"", ""Material"": ""PEEK"", ""Outer Diameter (OD)"": ""1.6 mm"", ""Technique"": ""LC"", ""UNSPSC Code"": ""41115720""}",high,
AGIL-08901762,0890-1762,Agilent,"Tubing, PEEK, 1.6 mm od, 0.25 mm id, 1.5 m. Blue","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 0890-1762 Biocompatibility Kit Part Number:0890-1762 Tubing, PEEK, 1.","{""Inner Diameter (ID)"": ""0.25 mm"", ""Length"": ""1500 mm"", ""Material"": ""PEEK"", ""Outer Diameter (OD)"": ""1.6 mm"", ""Technique"": ""LC"", ""UNSPSC Code"": ""41115720""}",high,
AGIL-08901763,0890-1763,Agilent,HPLC PEEK Tubing 0.18mm ID x 1.6mm OD x 1500mm,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 0890-1763 Tubing Part Number:0890-1763 Tubing, PEEK, 1.","{""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""1500 mm"", ""Material"": ""PEEK"", ""Outer Diameter (OD)"": ""1.6 mm"", ""Technique"": ""LC"", ""UNSPSC Code"": ""41115720""}",high,
AGIL-08901915,0890-1915,Agilent,HPLC PEEK Tubing 0.13mm ID x 1.6mm OD x 1500mm,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 0890-1915 Tubing Part Number:0890-1915 Tubing, PEEK, 1.","{""Inner Diameter (ID)"": ""0.13 mm"", ""Length"": ""1500 mm"", ""Material"": ""PEEK"", ""Outer Diameter (OD)"": ""1.6 mm"", ""Technique"": ""LC"", ""UNSPSC Code"": ""41115716""}",high,
AGIL-08901921,0890-1921,Agilent,HPLC PEEK Tubing 0.8mm ID x 1.6mm OD x 1500mm,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 0890-1921 Instrument Supplies for LC/MS Part Number:0890-1921 Tubing, 0.","{""Inner Diameter (ID)"": ""0.8 mm"", ""Length"": ""1500 mm"", ""Material"": ""PEEK"", ""Outer Diameter (OD)"": ""1.6 mm"", ""Technique"": ""LC"", ""UNSPSC Code"": ""41115716""}",high,
AGIL-08901962,0890-1962,Agilent,HPLC Tubing,"Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 0890-1962 Tubing for HPLC Part Number:0890-1962 Tubing, PTFE, convoluted, 1 inch id x 6 ft.","{""UNSPSC Code"": ""41115720""}",high,
AGIL-121-1012,121-1012,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.18 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 121-1012 DB-1 Part Number:121-1012 J&W DB-1 GC Column, 10 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.18 µm"", ""Format"": ""7 inch"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G1G2G38G9"", ""With Smart Key"": ""No""}",high,
