productId,partNumber,brand,name,description,descriptionQuality,specifications,imageUrl,catalogUrl,technicalDocUrl,crawlStatus,failureReason
AGIL-121-1012,121-1012,Agilent,,,none,{},,https://www.agilent.com/store/en_US/Prod-121-1012/121-1012,,failed,page_load_failed
AGIL-121-1012E,121-1012E,Agilent,"J&W DB-1 GC Column, 10 m, 0","J&W DB-1 GC Column, 10 m, 0.18 mm, 0.18 µm, 5 inch cage",low,"{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.18 µm"", ""Format"": ""5 inch"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G2"", ""With Smart Key"": ""No""}",https://www.agilent.com/cs/publishingimages/image-20250211-121406.jpg,https://www.agilent.com/store/en_US/Prod-121-1012E/121-1012E,,success,
AGIL-121-1012LTM,121-1012LTM,Agilent,"J&W DB-1 GC Column, 10 m, 0","J&W DB-1 GC Column, 10 m, 0.18 mm, 0.18 µm, LTM column module. This format is only compatible with Agilent Low Thermal Mass Series Rapid Heating/Cooling (LTM) Systems.",medium,"{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.18 µm"", ""Format"": ""LTM"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G2"", ""With Smart Key"": ""No""}",https://www.agilent.com/cs/publishingimages/image-20250211-121406.jpg,https://www.agilent.com/store/en_US/Prod-121-1012LTM/121-1012LTM,,success,
AGIL-121-1013,121-1013,Agilent,"J&W DB-1 GC Column, 10 m, 0","J&W DB-1 GC Column, 10 m, 0.18 mm, 0.40 µm, 7 inch cage. This is the most common GC column format compatible with Agilent 5890, 6890, 7820, 7890, 8860, and 8890 series GC systems and all non-Agilent GC systems with a similarly sized oven.",high,"{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.4 µm"", ""Format"": ""7 inch"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G1G2G38G9"", ""With Smart Key"": ""No""}",https://www.agilent.com/cs/publishingimages/image-20250211-121406.jpg,https://www.agilent.com/store/en_US/Prod-121-1013/121-1013,,success,
AGIL-121-1013LTM,121-1013LTM,Agilent,"J&W DB-1 GC Column, 10 m, 0","J&W DB-1 GC Column, 10 m, 0.18 mm, 0.40 µm, LTM column module. This format is only compatible with Agilent Low Thermal Mass Series Rapid Heating/Cooling (LTM) Systems.",medium,"{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.4 µm"", ""Format"": ""LTM"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G2"", ""With Smart Key"": ""No""}",https://www.agilent.com/cs/publishingimages/image-20250211-121406.jpg,https://www.agilent.com/store/en_US/Prod-121-1013LTM/121-1013LTM,,success,
AGIL-121-101A,121-101A,Agilent,"J&W DB-1 GC Column, 10 m, 0","J&W DB-1 GC Column, 10 m, 0.18 mm. 0.20 µm, 7 inch cage. This is the most common GC column format compatible with Agilent 5890, 6890, 7820, 7890, 8860, and 8890 series GC systems and all non-Agilent GC systems with a similarly sized oven.",high,"{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.2 µm"", ""Format"": ""7 inch"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G1G2G38G9"", ""With Smart Key"": ""No""}",https://www.agilent.com/cs/publishingimages/image-20250211-121406.jpg,https://www.agilent.com/store/en_US/Prod-121-101A/121-101A,,success,
AGIL-121-101ALTM,121-101ALTM,Agilent,"J&W DB-1 GC Column, 10 m, 0","J&W DB-1 GC Column, 10 m, 0.18 mm, 0.20 µm, LTM column module. This format is only compatible with Agilent Low Thermal Mass Series Rapid Heating/Cooling (LTM) Systems.",medium,"{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.2 µm"", ""Format"": ""LTM"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G2"", ""With Smart Key"": ""No""}",https://www.agilent.com/cs/publishingimages/image-20250211-121406.jpg,https://www.agilent.com/store/en_US/Prod-121-101ALTM/121-101ALTM,,success,
AGIL-122-1011,122-1011,Agilent,"J&W DB-1 GC Column, 15 m, 0","J&W DB-1 GC Column, 15 m, 0.25 mm, 0.10 µm, 7 inch cage. This is the most common GC column format compatible with Agilent 5890, 6890, 7820, 7890, 8860, and 8890 series GC systems and all non-Agilent GC systems with a similarly sized oven.",high,"{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.1 µm"", ""Format"": ""7 inch"", ""Inner Diameter (ID)"": ""0.25 mm"", ""Length"": ""15 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G1G2G38G9"", ""With Smart Key"": ""No""}",https://www.agilent.com/store/images/products/GC_Column_Box_PNP_%20680x680.jpg,https://www.agilent.com/store/en_US/Prod-122-1011/122-1011,,success,
AGIL-122-1012,122-1012,Agilent,"J&W DB-1 GC Column, 15 m, 0","J&W DB-1 GC Column, 15 m, 0.25 mm, 0.25 µm, 7 inch cage. This is the most common GC column format compatible with Agilent 5890, 6890, 7820, 7890, 8860, and 8890 series GC systems and all non-Agilent GC systems with a similarly sized oven.",high,"{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.25 µm"", ""Format"": ""7 inch"", ""Inner Diameter (ID)"": ""0.25 mm"", ""Length"": ""15 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G1G2G38G9"", ""With Smart Key"": ""No""}",https://www.agilent.com/store/images/products/GC_Column_Box_PNP_%20680x680.jpg,https://www.agilent.com/store/en_US/Prod-122-1012/122-1012,,success,
AGIL-122-1012E,122-1012E,Agilent,"J&W DB-1 GC Column, 15 m, 0","J&W DB-1 GC Column, 15 m, 0.25 mm, 0.25 µm, 5 in cage",low,"{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.25 µm"", ""Format"": ""5 inch"", ""Inner Diameter (ID)"": ""0.25 mm"", ""Length"": ""15 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G2"", ""With Smart Key"": ""No""}",https://www.agilent.com/store/images/products/Mega-Bore%20GC%20Column.jpg,https://www.agilent.com/store/en_US/Prod-122-1012E/122-1012E,,success,
