productId,partNumber,brand,name,description,specifications,descriptionQuality,detailedDescription
AGIL-121-1012,121-1012,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.18 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 121-1012 DB-1 Part Number:121-1012 J&W DB-1 GC Column, 10 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.18 µm"", ""Format"": ""7 inch"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G1G2G38G9"", ""With Smart Key"": ""No""}",high,
AGIL-121-1012E,121-1012E,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.18 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 121-1012E DB-1 Part Number:121-1012E J&W DB-1 GC Column, 10 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.18 µm"", ""Format"": ""5 inch"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G2"", ""With Smart Key"": ""No""}",high,
AGIL-121-1012LTM,121-1012LTM,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.18 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 121-1012LTM DB-1 Columns Part Number:121-1012LTM J&W DB-1 GC Column, 10 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.18 µm"", ""Format"": ""LTM"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G2"", ""With Smart Key"": ""No""}",high,
AGIL-121-1013,121-1013,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.4 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 121-1013 DB-1 Part Number:121-1013 J&W DB-1 GC Column, 10 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.4 µm"", ""Format"": ""7 inch"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G1G2G38G9"", ""With Smart Key"": ""No""}",high,
AGIL-121-1013LTM,121-1013LTM,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.4 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 121-1013LTM DB-1 Columns Part Number:121-1013LTM J&W DB-1 GC Column, 10 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.4 µm"", ""Format"": ""LTM"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G2"", ""With Smart Key"": ""No""}",high,
AGIL-121-101A,121-101A,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.2 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 121-101A High Efficiency Columns Part Number:121-101A J&W DB-1 GC Column, 10 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.2 µm"", ""Format"": ""7 inch"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G1G2G38G9"", ""With Smart Key"": ""No""}",high,
AGIL-121-101ALTM,121-101ALTM,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.2 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 121-101ALTM Low Thermal Mass LTM II Columns Part Number:121-101ALTM J&W DB-1 GC Column, 10 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.2 µm"", ""Format"": ""LTM"", ""Inner Diameter (ID)"": ""0.18 mm"", ""Length"": ""10 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G2"", ""With Smart Key"": ""No""}",high,
AGIL-122-1011,122-1011,Agilent,"DB-1 GC Column - L:15 m, ID:0.25 mm, FT:0.1 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 122-1011 DB-1 Part Number:122-1011 J&W DB-1 GC Column, 15 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.1 µm"", ""Format"": ""7 inch"", ""Inner Diameter (ID)"": ""0.25 mm"", ""Length"": ""15 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G1G2G38G9"", ""With Smart Key"": ""No""}",high,
AGIL-122-1012,122-1012,Agilent,"DB-1 GC Column - L:15 m, ID:0.25 mm, FT:0.25 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 122-1012 DB-1 Part Number:122-1012 J&W DB-1 GC Column, 15 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.25 µm"", ""Format"": ""7 inch"", ""Inner Diameter (ID)"": ""0.25 mm"", ""Length"": ""15 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G1G2G38G9"", ""With Smart Key"": ""No""}",high,
AGIL-122-1012E,122-1012E,Agilent,"DB-1 GC Column - L:15 m, ID:0.25 mm, FT:0.25 µm","Skip to main content ABOUT AGILENT CONTACT US SINGAPORE ACCOUNT SEARCH ALL All ▾ PRODUCTS APPLICATIONS & INDUSTRIES TRAINING & EVENTS SERVICES SUPPORT & RESOURCES ORDER CENTER | 0 Home Order Center 122-1012E DB-1 Part Number:122-1012E J&W DB-1 GC Column, 15 m, 0.","{""Capillary Tubing"": ""Fused Silica"", ""Film Thickness"": ""0.25 µm"", ""Format"": ""5 inch"", ""Inner Diameter (ID)"": ""0.25 mm"", ""Length"": ""15 m"", ""Phase"": ""DB-1"", ""Polarity"": ""Low Polarity"", ""Temperature Range"": ""-60 °C-325/350 °C"", ""UNSPSC Code"": ""41115710"", ""USP Designation"": ""G2"", ""With Smart Key"": ""No""}",high,
