productId,partNumber,brand,name,catalogUrl
AVAN-76394-738,76394-738,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-740,76394-740,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-742,76394-742,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-744,76394-744,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-746,76394-746,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-748,76394-748,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-750,76394-750,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-786,76394-786,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-758,76394-758,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-768,76394-768,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-776,76394-776,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-752,76394-752,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-790,76394-790,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-762,76394-762,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-772,76394-772,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-780,76394-780,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-756,76394-756,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
AVAN-76394-792,76394-792,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
