productId,partNumber,brand,name,catalogUrl
245188,76394-738,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245189,76394-740,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245190,76394-742,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245191,76394-744,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245192,76394-746,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245193,76394-748,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245194,76394-750,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245195,76394-786,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245196,76394-758,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245197,76394-768,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245198,76394-776,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245199,76394-752,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245200,76394-790,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245201,76394-762,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245202,76394-772,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245203,76394-780,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245204,76394-756,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245205,76394-792,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245206,76394-764,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245207,76394-774,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245208,76394-782,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245209,76394-784,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245210,76394-948,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245211,76394-950,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245212,76395-000,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
245213,76394-958,Avantor,"Avantor® ACE® Generix® C18 & C18(2), Analytical HPLC Columns",
