brand,productId,partNumber,name,series,phaseType,particleSize,columnLength,innerDiameter,poreSize,productType,application,status,price,sorbentMass,cartridgeVolume,membraneType,diameter,material,volume,consumableType,mode,filmThickness,polarity,separationType
Develosil,DEVL-00001,DEV-C30-UG-3-50x2.0,"Develosil C30-UG, 3 µm, 2.0 x 50 mm",Develosil C30-UG,C30,3.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00002,DEV-C30-UG-3-50x4.6,"Develosil C30-UG, 3 µm, 4.6 x 50 mm",Develosil C30-UG,C30,3.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00003,DEV-C30-UG-3-100x2.0,"Develosil C30-UG, 3 µm, 2.0 x 100 mm",Develosil C30-UG,C30,3.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00004,DEV-C30-UG-3-100x4.6,"Develosil C30-UG, 3 µm, 4.6 x 100 mm",Develosil C30-UG,C30,3.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00005,DEV-C30-UG-5-50x2.0,"Develosil C30-UG, 5 µm, 2.0 x 50 mm",Develosil C30-UG,C30,5.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00006,DEV-C30-UG-5-50x4.6,"Develosil C30-UG, 5 µm, 4.6 x 50 mm",Develosil C30-UG,C30,5.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00007,DEV-C30-UG-5-100x2.0,"Develosil C30-UG, 5 µm, 2.0 x 100 mm",Develosil C30-UG,C30,5.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00008,DEV-C30-UG-5-100x4.6,"Develosil C30-UG, 5 µm, 4.6 x 100 mm",Develosil C30-UG,C30,5.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00009,DEV-ODS-UG-3-50x2.0,"Develosil ODS-UG, 3 µm, 2.0 x 50 mm",Develosil ODS-UG,C18,3.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00010,DEV-ODS-UG-3-50x4.6,"Develosil ODS-UG, 3 µm, 4.6 x 50 mm",Develosil ODS-UG,C18,3.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00011,DEV-ODS-UG-3-100x2.0,"Develosil ODS-UG, 3 µm, 2.0 x 100 mm",Develosil ODS-UG,C18,3.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00012,DEV-ODS-UG-3-100x4.6,"Develosil ODS-UG, 3 µm, 4.6 x 100 mm",Develosil ODS-UG,C18,3.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00013,DEV-ODS-UG-5-50x2.0,"Develosil ODS-UG, 5 µm, 2.0 x 50 mm",Develosil ODS-UG,C18,5.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00014,DEV-ODS-UG-5-50x4.6,"Develosil ODS-UG, 5 µm, 4.6 x 50 mm",Develosil ODS-UG,C18,5.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00015,DEV-ODS-UG-5-100x2.0,"Develosil ODS-UG, 5 µm, 2.0 x 100 mm",Develosil ODS-UG,C18,5.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00016,DEV-ODS-UG-5-100x4.6,"Develosil ODS-UG, 5 µm, 4.6 x 100 mm",Develosil ODS-UG,C18,5.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00017,DEV-ODS-HG-3-50x2.0,"Develosil ODS-HG, 3 µm, 2.0 x 50 mm",Develosil ODS-HG,C18,3.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00018,DEV-ODS-HG-3-50x4.6,"Develosil ODS-HG, 3 µm, 4.6 x 50 mm",Develosil ODS-HG,C18,3.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00019,DEV-ODS-HG-3-100x2.0,"Develosil ODS-HG, 3 µm, 2.0 x 100 mm",Develosil ODS-HG,C18,3.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00020,DEV-ODS-HG-3-100x4.6,"Develosil ODS-HG, 3 µm, 4.6 x 100 mm",Develosil ODS-HG,C18,3.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00021,DEV-ODS-HG-5-50x2.0,"Develosil ODS-HG, 5 µm, 2.0 x 50 mm",Develosil ODS-HG,C18,5.0,50,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00022,DEV-ODS-HG-5-50x4.6,"Develosil ODS-HG, 5 µm, 4.6 x 50 mm",Develosil ODS-HG,C18,5.0,50,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00023,DEV-ODS-HG-5-100x2.0,"Develosil ODS-HG, 5 µm, 2.0 x 100 mm",Develosil ODS-HG,C18,5.0,100,2.0,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
Develosil,DEVL-00024,DEV-ODS-HG-5-100x4.6,"Develosil ODS-HG, 5 µm, 4.6 x 100 mm",Develosil ODS-HG,C18,5.0,100,4.6,,HPLC Column,,active,,,,,,,,,Reversed Phase,,,
