productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
AGIL-BondElutC18-30mg-1ml,BondElutC18-30mg-1ml,Agilent,Bond Elut C18 30mg/1mL,Bond Elut C18 30mg/1mL; Series: Bond Elut C18; Sorbent: 30mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-30mg-1ml,,,,,C18,,,,,,
AGIL-BondElutC18-30mg-3ml,BondElutC18-30mg-3ml,Agilent,Bond Elut C18 30mg/3mL,Bond Elut C18 30mg/3mL; Series: Bond Elut C18; Sorbent: 30mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-30mg-3ml,,,,,C18,,,,,,
AGIL-BondElutC18-30mg-6ml,BondElutC18-30mg-6ml,Agilent,Bond Elut C18 30mg/6mL,Bond Elut C18 30mg/6mL; Series: Bond Elut C18; Sorbent: 30mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-30mg-6ml,,,,,C18,,,,,,
AGIL-BondElutC18-60mg-1ml,BondElutC18-60mg-1ml,Agilent,Bond Elut C18 60mg/1mL,Bond Elut C18 60mg/1mL; Series: Bond Elut C18; Sorbent: 60mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-60mg-1ml,,,,,C18,,,,,,
AGIL-BondElutC18-60mg-3ml,BondElutC18-60mg-3ml,Agilent,Bond Elut C18 60mg/3mL,Bond Elut C18 60mg/3mL; Series: Bond Elut C18; Sorbent: 60mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-60mg-3ml,,,,,C18,,,,,,
AGIL-BondElutC18-60mg-6ml,BondElutC18-60mg-6ml,Agilent,Bond Elut C18 60mg/6mL,Bond Elut C18 60mg/6mL; Series: Bond Elut C18; Sorbent: 60mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-60mg-6ml,,,,,C18,,,,,,
AGIL-BondElutC18-100mg-1ml,BondElutC18-100mg-1ml,Agilent,Bond Elut C18 100mg/1mL,Bond Elut C18 100mg/1mL; Series: Bond Elut C18; Sorbent: 100mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-100mg-1ml,,,,,C18,,,,,,
AGIL-BondElutC18-100mg-3ml,BondElutC18-100mg-3ml,Agilent,Bond Elut C18 100mg/3mL,Bond Elut C18 100mg/3mL; Series: Bond Elut C18; Sorbent: 100mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-100mg-3ml,,,,,C18,,,,,,
AGIL-BondElutC18-100mg-6ml,BondElutC18-100mg-6ml,Agilent,Bond Elut C18 100mg/6mL,Bond Elut C18 100mg/6mL; Series: Bond Elut C18; Sorbent: 100mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-100mg-6ml,,,,,C18,,,,,,
AGIL-BondElutC18-200mg-1ml,BondElutC18-200mg-1ml,Agilent,Bond Elut C18 200mg/1mL,Bond Elut C18 200mg/1mL; Series: Bond Elut C18; Sorbent: 200mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-200mg-1ml,,,,,C18,,,,,,
AGIL-BondElutC18-200mg-3ml,BondElutC18-200mg-3ml,Agilent,Bond Elut C18 200mg/3mL,Bond Elut C18 200mg/3mL; Series: Bond Elut C18; Sorbent: 200mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-200mg-3ml,,,,,C18,,,,,,
AGIL-BondElutC18-200mg-6ml,BondElutC18-200mg-6ml,Agilent,Bond Elut C18 200mg/6mL,Bond Elut C18 200mg/6mL; Series: Bond Elut C18; Sorbent: 200mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-200mg-6ml,,,,,C18,,,,,,
AGIL-BondElutC18-500mg-1ml,BondElutC18-500mg-1ml,Agilent,Bond Elut C18 500mg/1mL,Bond Elut C18 500mg/1mL; Series: Bond Elut C18; Sorbent: 500mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.agilent.com/cs/library/productimages/spe-bond-elut-c18.jpg,https://www.agilent.com/products/spe/bondelutc18-500mg-1ml,,,,,C18,,,,,,
