productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
DAIC-Vial-ClearGlass-0.3ml-8mm,Vial-ClearGlass-0.3ml-8mm,Daicel,Clear Glass Vial 0.3mL 8mm,Clear Glass Vial 0.3mL 8mm; Type: Clear Glass; Volume: 0.3mL; Neck Size: 8mm; Autosampler Vial,active,https://www.daicel.com/en/products/images/vial-clear-glass.jpg,https://www.daicel.com/products/vials/vial-clearglass-0.3ml-8mm,,,,,,,,,,,
DAIC-Vial-ClearGlass-0.3ml-9mm,Vial-ClearGlass-0.3ml-9mm,Daicel,Clear Glass Vial 0.3mL 9mm,Clear Glass Vial 0.3mL 9mm; Type: Clear Glass; Volume: 0.3mL; Neck Size: 9mm; Autosampler Vial,active,https://www.daicel.com/en/products/images/vial-clear-glass.jpg,https://www.daicel.com/products/vials/vial-clearglass-0.3ml-9mm,,,,,,,,,,,
DAIC-Vial-ClearGlass-0.3ml-11mm,Vial-ClearGlass-0.3ml-11mm,Daicel,Clear Glass Vial 0.3mL 11mm,Clear Glass Vial 0.3mL 11mm; Type: Clear Glass; Volume: 0.3mL; Neck Size: 11mm; Autosampler Vial,active,https://www.daicel.com/en/products/images/vial-clear-glass.jpg,https://www.daicel.com/products/vials/vial-clearglass-0.3ml-11mm,,,,,,,,,,,
DAIC-Vial-ClearGlass-0.3ml-13mm,Vial-ClearGlass-0.3ml-13mm,Daicel,Clear Glass Vial 0.3mL 13mm,Clear Glass Vial 0.3mL 13mm; Type: Clear Glass; Volume: 0.3mL; Neck Size: 13mm; Autosampler Vial,active,https://www.daicel.com/en/products/images/vial-clear-glass.jpg,https://www.daicel.com/products/vials/vial-clearglass-0.3ml-13mm,,,,,,,,,,,
DAIC-Vial-ClearGlass-1.0ml-8mm,Vial-ClearGlass-1.0ml-8mm,Daicel,Clear Glass Vial 1.0mL 8mm,Clear Glass Vial 1.0mL 8mm; Type: Clear Glass; Volume: 1.0mL; Neck Size: 8mm; Autosampler Vial,active,https://www.daicel.com/en/products/images/vial-clear-glass.jpg,https://www.daicel.com/products/vials/vial-clearglass-1.0ml-8mm,,,,,,,,,,,
DAIC-Vial-ClearGlass-1.0ml-9mm,Vial-ClearGlass-1.0ml-9mm,Daicel,Clear Glass Vial 1.0mL 9mm,Clear Glass Vial 1.0mL 9mm; Type: Clear Glass; Volume: 1.0mL; Neck Size: 9mm; Autosampler Vial,active,https://www.daicel.com/en/products/images/vial-clear-glass.jpg,https://www.daicel.com/products/vials/vial-clearglass-1.0ml-9mm,,,,,,,,,,,
DAIC-Vial-ClearGlass-1.0ml-11mm,Vial-ClearGlass-1.0ml-11mm,Daicel,Clear Glass Vial 1.0mL 11mm,Clear Glass Vial 1.0mL 11mm; Type: Clear Glass; Volume: 1.0mL; Neck Size: 11mm; Autosampler Vial,active,https://www.daicel.com/en/products/images/vial-clear-glass.jpg,https://www.daicel.com/products/vials/vial-clearglass-1.0ml-11mm,,,,,,,,,,,
DAIC-Vial-ClearGlass-1.0ml-13mm,Vial-ClearGlass-1.0ml-13mm,Daicel,Clear Glass Vial 1.0mL 13mm,Clear Glass Vial 1.0mL 13mm; Type: Clear Glass; Volume: 1.0mL; Neck Size: 13mm; Autosampler Vial,active,https://www.daicel.com/en/products/images/vial-clear-glass.jpg,https://www.daicel.com/products/vials/vial-clearglass-1.0ml-13mm,,,,,,,,,,,
DAIC-Vial-ClearGlass-1.5ml-8mm,Vial-ClearGlass-1.5ml-8mm,Daicel,Clear Glass Vial 1.5mL 8mm,Clear Glass Vial 1.5mL 8mm; Type: Clear Glass; Volume: 1.5mL; Neck Size: 8mm; Autosampler Vial,active,https://www.daicel.com/en/products/images/vial-clear-glass.jpg,https://www.daicel.com/products/vials/vial-clearglass-1.5ml-8mm,,,,,,,,,,,
DAIC-Vial-ClearGlass-1.5ml-9mm,Vial-ClearGlass-1.5ml-9mm,Daicel,Clear Glass Vial 1.5mL 9mm,Clear Glass Vial 1.5mL 9mm; Type: Clear Glass; Volume: 1.5mL; Neck Size: 9mm; Autosampler Vial,active,https://www.daicel.com/en/products/images/vial-clear-glass.jpg,https://www.daicel.com/products/vials/vial-clearglass-1.5ml-9mm,,,,,,,,,,,
DAIC-Vial-ClearGlass-1.5ml-11mm,Vial-ClearGlass-1.5ml-11mm,Daicel,Clear Glass Vial 1.5mL 11mm,Clear Glass Vial 1.5mL 11mm; Type: Clear Glass; Volume: 1.5mL; Neck Size: 11mm; Autosampler Vial,active,https://www.daicel.com/en/products/images/vial-clear-glass.jpg,https://www.daicel.com/products/vials/vial-clearglass-1.5ml-11mm,,,,,,,,,,,
DAIC-Vial-ClearGlass-1.5ml-13mm,Vial-ClearGlass-1.5ml-13mm,Daicel,Clear Glass Vial 1.5mL 13mm,Clear Glass Vial 1.5mL 13mm; Type: Clear Glass; Volume: 1.5mL; Neck Size: 13mm; Autosampler Vial,active,https://www.daicel.com/en/products/images/vial-clear-glass.jpg,https://www.daicel.com/products/vials/vial-clearglass-1.5ml-13mm,,,,,,,,,,,
DAIC-Vial-ClearGlass-2.0ml-8mm,Vial-ClearGlass-2.0ml-8mm,Daicel,Clear Glass Vial 2.0mL 8mm,Clear Glass Vial 2.0mL 8mm; Type: Clear Glass; Volume: 2.0mL; Neck Size: 8mm; Autosampler Vial,active,https://www.daicel.com/en/products/images/vial-clear-glass.jpg,https://www.daicel.com/products/vials/vial-clearglass-2.0ml-8mm,,,,,,,,,,,
DAIC-Vial-ClearGlass-2.0ml-9mm,Vial-ClearGlass-2.0ml-9mm,Daicel,Clear Glass Vial 2.0mL 9mm,Clear Glass Vial 2.0mL 9mm; Type: Clear Glass; Volume: 2.0mL; Neck Size: 9mm; Autosampler Vial,active,https://www.daicel.com/en/products/images/vial-clear-glass.jpg,https://www.daicel.com/products/vials/vial-clearglass-2.0ml-9mm,,,,,,,,,,,
DAIC-Vial-ClearGlass-2.0ml-11mm,Vial-ClearGlass-2.0ml-11mm,Daicel,Clear Glass Vial 2.0mL 11mm,Clear Glass Vial 2.0mL 11mm; Type: Clear Glass; Volume: 2.0mL; Neck Size: 11mm; Autosampler Vial,active,https://www.daicel.com/en/products/images/vial-clear-glass.jpg,https://www.daicel.com/products/vials/vial-clearglass-2.0ml-11mm,,,,,,,,,,,
DAIC-Cap-ScrewCap-8mm-PTFE-Silicone,Cap-ScrewCap-8mm-PTFE-Silicone,Daicel,Screw Cap 8mm with PTFE/Silicone Septa,Screw Cap 8mm with PTFE/Silicone Septa; Type: Screw Cap; Size: 8mm; Septa: PTFE/Silicone,active,https://www.daicel.com/en/products/images/cap-screw-cap.jpg,https://www.daicel.com/products/caps/cap-screwcap-8mm-ptfe-silicone,,,,,,,,,,,
DAIC-Cap-ScrewCap-8mm-PTFE-RedRubber,Cap-ScrewCap-8mm-PTFE-RedRubber,Daicel,Screw Cap 8mm with PTFE/Red Rubber Septa,Screw Cap 8mm with PTFE/Red Rubber Septa; Type: Screw Cap; Size: 8mm; Septa: PTFE/Red Rubber,active,https://www.daicel.com/en/products/images/cap-screw-cap.jpg,https://www.daicel.com/products/caps/cap-screwcap-8mm-ptfe-redrubber,,,,,,,,,,,
DAIC-Cap-ScrewCap-8mm-Pre-slitPTFE,Cap-ScrewCap-8mm-Pre-slitPTFE,Daicel,Screw Cap 8mm with Pre-slit PTFE Septa,Screw Cap 8mm with Pre-slit PTFE Septa; Type: Screw Cap; Size: 8mm; Septa: Pre-slit PTFE,active,https://www.daicel.com/en/products/images/cap-screw-cap.jpg,https://www.daicel.com/products/caps/cap-screwcap-8mm-pre-slitptfe,,,,,,,,,,,
DAIC-Cap-ScrewCap-9mm-PTFE-Silicone,Cap-ScrewCap-9mm-PTFE-Silicone,Daicel,Screw Cap 9mm with PTFE/Silicone Septa,Screw Cap 9mm with PTFE/Silicone Septa; Type: Screw Cap; Size: 9mm; Septa: PTFE/Silicone,active,https://www.daicel.com/en/products/images/cap-screw-cap.jpg,https://www.daicel.com/products/caps/cap-screwcap-9mm-ptfe-silicone,,,,,,,,,,,
DAIC-Cap-ScrewCap-9mm-PTFE-RedRubber,Cap-ScrewCap-9mm-PTFE-RedRubber,Daicel,Screw Cap 9mm with PTFE/Red Rubber Septa,Screw Cap 9mm with PTFE/Red Rubber Septa; Type: Screw Cap; Size: 9mm; Septa: PTFE/Red Rubber,active,https://www.daicel.com/en/products/images/cap-screw-cap.jpg,https://www.daicel.com/products/caps/cap-screwcap-9mm-ptfe-redrubber,,,,,,,,,,,
DAIC-Cap-ScrewCap-9mm-Pre-slitPTFE,Cap-ScrewCap-9mm-Pre-slitPTFE,Daicel,Screw Cap 9mm with Pre-slit PTFE Septa,Screw Cap 9mm with Pre-slit PTFE Septa; Type: Screw Cap; Size: 9mm; Septa: Pre-slit PTFE,active,https://www.daicel.com/en/products/images/cap-screw-cap.jpg,https://www.daicel.com/products/caps/cap-screwcap-9mm-pre-slitptfe,,,,,,,,,,,
DAIC-Cap-ScrewCap-11mm-PTFE-Silicone,Cap-ScrewCap-11mm-PTFE-Silicone,Daicel,Screw Cap 11mm with PTFE/Silicone Septa,Screw Cap 11mm with PTFE/Silicone Septa; Type: Screw Cap; Size: 11mm; Septa: PTFE/Silicone,active,https://www.daicel.com/en/products/images/cap-screw-cap.jpg,https://www.daicel.com/products/caps/cap-screwcap-11mm-ptfe-silicone,,,,,,,,,,,
DAIC-Cap-ScrewCap-11mm-PTFE-RedRubber,Cap-ScrewCap-11mm-PTFE-RedRubber,Daicel,Screw Cap 11mm with PTFE/Red Rubber Septa,Screw Cap 11mm with PTFE/Red Rubber Septa; Type: Screw Cap; Size: 11mm; Septa: PTFE/Red Rubber,active,https://www.daicel.com/en/products/images/cap-screw-cap.jpg,https://www.daicel.com/products/caps/cap-screwcap-11mm-ptfe-redrubber,,,,,,,,,,,
DAIC-Cap-ScrewCap-11mm-Pre-slitPTFE,Cap-ScrewCap-11mm-Pre-slitPTFE,Daicel,Screw Cap 11mm with Pre-slit PTFE Septa,Screw Cap 11mm with Pre-slit PTFE Septa; Type: Screw Cap; Size: 11mm; Septa: Pre-slit PTFE,active,https://www.daicel.com/en/products/images/cap-screw-cap.jpg,https://www.daicel.com/products/caps/cap-screwcap-11mm-pre-slitptfe,,,,,,,,,,,
DAIC-Cap-ScrewCap-13mm-PTFE-Silicone,Cap-ScrewCap-13mm-PTFE-Silicone,Daicel,Screw Cap 13mm with PTFE/Silicone Septa,Screw Cap 13mm with PTFE/Silicone Septa; Type: Screw Cap; Size: 13mm; Septa: PTFE/Silicone,active,https://www.daicel.com/en/products/images/cap-screw-cap.jpg,https://www.daicel.com/products/caps/cap-screwcap-13mm-ptfe-silicone,,,,,,,,,,,
DAIC-Cap-ScrewCap-13mm-PTFE-RedRubber,Cap-ScrewCap-13mm-PTFE-RedRubber,Daicel,Screw Cap 13mm with PTFE/Red Rubber Septa,Screw Cap 13mm with PTFE/Red Rubber Septa; Type: Screw Cap; Size: 13mm; Septa: PTFE/Red Rubber,active,https://www.daicel.com/en/products/images/cap-screw-cap.jpg,https://www.daicel.com/products/caps/cap-screwcap-13mm-ptfe-redrubber,,,,,,,,,,,
DAIC-Cap-ScrewCap-13mm-Pre-slitPTFE,Cap-ScrewCap-13mm-Pre-slitPTFE,Daicel,Screw Cap 13mm with Pre-slit PTFE Septa,Screw Cap 13mm with Pre-slit PTFE Septa; Type: Screw Cap; Size: 13mm; Septa: Pre-slit PTFE,active,https://www.daicel.com/en/products/images/cap-screw-cap.jpg,https://www.daicel.com/products/caps/cap-screwcap-13mm-pre-slitptfe,,,,,,,,,,,
DAIC-Cap-SnapCap-8mm-PTFE-Silicone,Cap-SnapCap-8mm-PTFE-Silicone,Daicel,Snap Cap 8mm with PTFE/Silicone Septa,Snap Cap 8mm with PTFE/Silicone Septa; Type: Snap Cap; Size: 8mm; Septa: PTFE/Silicone,active,https://www.daicel.com/en/products/images/cap-snap-cap.jpg,https://www.daicel.com/products/caps/cap-snapcap-8mm-ptfe-silicone,,,,,,,,,,,
DAIC-Cap-SnapCap-8mm-PTFE-RedRubber,Cap-SnapCap-8mm-PTFE-RedRubber,Daicel,Snap Cap 8mm with PTFE/Red Rubber Septa,Snap Cap 8mm with PTFE/Red Rubber Septa; Type: Snap Cap; Size: 8mm; Septa: PTFE/Red Rubber,active,https://www.daicel.com/en/products/images/cap-snap-cap.jpg,https://www.daicel.com/products/caps/cap-snapcap-8mm-ptfe-redrubber,,,,,,,,,,,
DAIC-Cap-SnapCap-8mm-Pre-slitPTFE,Cap-SnapCap-8mm-Pre-slitPTFE,Daicel,Snap Cap 8mm with Pre-slit PTFE Septa,Snap Cap 8mm with Pre-slit PTFE Septa; Type: Snap Cap; Size: 8mm; Septa: Pre-slit PTFE,active,https://www.daicel.com/en/products/images/cap-snap-cap.jpg,https://www.daicel.com/products/caps/cap-snapcap-8mm-pre-slitptfe,,,,,,,,,,,
