productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
DAIC-GC-1-15m-0.25mm-0.25um,GC-1-15m-0.25mm-0.25um,Daicel,GC-1 GC Column 15m x 0.25mm x 0.25µm,"GC-1 GC Column 15m x 0.25mm x 0.25µm; Series: GC-1; Specifications: Column Length: 15m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.daicel.com/en/products/images/gc-gc-1.jpg,https://www.daicel.com/products/gc/gc-1-15m-0.25mm-0.25um,,,15000,0.25,GC-1,,,,,,320°C
DAIC-GC-1-30m-0.25mm-0.25um,GC-1-30m-0.25mm-0.25um,Daicel,GC-1 GC Column 30m x 0.25mm x 0.25µm,"GC-1 GC Column 30m x 0.25mm x 0.25µm; Series: GC-1; Specifications: Column Length: 30m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.daicel.com/en/products/images/gc-gc-1.jpg,https://www.daicel.com/products/gc/gc-1-30m-0.25mm-0.25um,,,30000,0.25,GC-1,,,,,,320°C
DAIC-GC-1-30m-0.32mm-0.25um,GC-1-30m-0.32mm-0.25um,Daicel,GC-1 GC Column 30m x 0.32mm x 0.25µm,"GC-1 GC Column 30m x 0.32mm x 0.25µm; Series: GC-1; Specifications: Column Length: 30m, Inner Diameter: 0.32mm, Film Thickness: 0.25µm",active,https://www.daicel.com/en/products/images/gc-gc-1.jpg,https://www.daicel.com/products/gc/gc-1-30m-0.32mm-0.25um,,,30000,0.32,GC-1,,,,,,320°C
DAIC-GC-1-60m-0.25mm-0.25um,GC-1-60m-0.25mm-0.25um,Daicel,GC-1 GC Column 60m x 0.25mm x 0.25µm,"GC-1 GC Column 60m x 0.25mm x 0.25µm; Series: GC-1; Specifications: Column Length: 60m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.daicel.com/en/products/images/gc-gc-1.jpg,https://www.daicel.com/products/gc/gc-1-60m-0.25mm-0.25um,,,60000,0.25,GC-1,,,,,,320°C
DAIC-GC-1-60m-0.32mm-0.5um,GC-1-60m-0.32mm-0.5um,Daicel,GC-1 GC Column 60m x 0.32mm x 0.5µm,"GC-1 GC Column 60m x 0.32mm x 0.5µm; Series: GC-1; Specifications: Column Length: 60m, Inner Diameter: 0.32mm, Film Thickness: 0.5µm",active,https://www.daicel.com/en/products/images/gc-gc-1.jpg,https://www.daicel.com/products/gc/gc-1-60m-0.32mm-0.5um,,,60000,0.32,GC-1,,,,,,320°C
DAIC-GC-5-15m-0.25mm-0.25um,GC-5-15m-0.25mm-0.25um,Daicel,GC-5 GC Column 15m x 0.25mm x 0.25µm,"GC-5 GC Column 15m x 0.25mm x 0.25µm; Series: GC-5; Specifications: Column Length: 15m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.daicel.com/en/products/images/gc-gc-5.jpg,https://www.daicel.com/products/gc/gc-5-15m-0.25mm-0.25um,,,15000,0.25,GC-5,,,,,,320°C
DAIC-GC-5-30m-0.25mm-0.25um,GC-5-30m-0.25mm-0.25um,Daicel,GC-5 GC Column 30m x 0.25mm x 0.25µm,"GC-5 GC Column 30m x 0.25mm x 0.25µm; Series: GC-5; Specifications: Column Length: 30m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.daicel.com/en/products/images/gc-gc-5.jpg,https://www.daicel.com/products/gc/gc-5-30m-0.25mm-0.25um,,,30000,0.25,GC-5,,,,,,320°C
DAIC-GC-5-30m-0.32mm-0.25um,GC-5-30m-0.32mm-0.25um,Daicel,GC-5 GC Column 30m x 0.32mm x 0.25µm,"GC-5 GC Column 30m x 0.32mm x 0.25µm; Series: GC-5; Specifications: Column Length: 30m, Inner Diameter: 0.32mm, Film Thickness: 0.25µm",active,https://www.daicel.com/en/products/images/gc-gc-5.jpg,https://www.daicel.com/products/gc/gc-5-30m-0.32mm-0.25um,,,30000,0.32,GC-5,,,,,,320°C
DAIC-GC-5-60m-0.25mm-0.25um,GC-5-60m-0.25mm-0.25um,Daicel,GC-5 GC Column 60m x 0.25mm x 0.25µm,"GC-5 GC Column 60m x 0.25mm x 0.25µm; Series: GC-5; Specifications: Column Length: 60m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.daicel.com/en/products/images/gc-gc-5.jpg,https://www.daicel.com/products/gc/gc-5-60m-0.25mm-0.25um,,,60000,0.25,GC-5,,,,,,320°C
DAIC-GC-5-60m-0.32mm-0.5um,GC-5-60m-0.32mm-0.5um,Daicel,GC-5 GC Column 60m x 0.32mm x 0.5µm,"GC-5 GC Column 60m x 0.32mm x 0.5µm; Series: GC-5; Specifications: Column Length: 60m, Inner Diameter: 0.32mm, Film Thickness: 0.5µm",active,https://www.daicel.com/en/products/images/gc-gc-5.jpg,https://www.daicel.com/products/gc/gc-5-60m-0.32mm-0.5um,,,60000,0.32,GC-5,,,,,,320°C
