productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
DAIC-Chiralpak-IC-30x1.0-3um,Chiralpak-IC-30x1.0-3um,Daicel,Chiralpak IC 30x1.0mm 3µm,Chiralpak IC 30x1.0mm 3µm; Series: Chiralpak; Specifications: Phase Type: IC; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 30 x 1.0 mm; pH Range: 2-8,active,https://www.daicel.com/en/products/images/chiralpak-ic.jpg,https://www.daicel.com/products/chiralpak-ic-30x1.0-3um,3,100,30,1.0,IC,2,8,2-8,,400 bar,80°C
DAIC-Chiralpak-IC-30x2.1-3um,Chiralpak-IC-30x2.1-3um,Daicel,Chiralpak IC 30x2.1mm 3µm,Chiralpak IC 30x2.1mm 3µm; Series: Chiralpak; Specifications: Phase Type: IC; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 30 x 2.1 mm; pH Range: 2-8,active,https://www.daicel.com/en/products/images/chiralpak-ic.jpg,https://www.daicel.com/products/chiralpak-ic-30x2.1-3um,3,100,30,2.1,IC,2,8,2-8,,400 bar,80°C
DAIC-Chiralpak-IC-30x3.0-3um,Chiralpak-IC-30x3.0-3um,Daicel,Chiralpak IC 30x3.0mm 3µm,Chiralpak IC 30x3.0mm 3µm; Series: Chiralpak; Specifications: Phase Type: IC; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 30 x 3.0 mm; pH Range: 2-8,active,https://www.daicel.com/en/products/images/chiralpak-ic.jpg,https://www.daicel.com/products/chiralpak-ic-30x3.0-3um,3,100,30,3.0,IC,2,8,2-8,,400 bar,80°C
DAIC-Chiralpak-IC-30x4.6-3um,Chiralpak-IC-30x4.6-3um,Daicel,Chiralpak IC 30x4.6mm 3µm,Chiralpak IC 30x4.6mm 3µm; Series: Chiralpak; Specifications: Phase Type: IC; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 30 x 4.6 mm; pH Range: 2-8,active,https://www.daicel.com/en/products/images/chiralpak-ic.jpg,https://www.daicel.com/products/chiralpak-ic-30x4.6-3um,3,100,30,4.6,IC,2,8,2-8,,400 bar,80°C
DAIC-Chiralpak-IC-50x1.0-3um,Chiralpak-IC-50x1.0-3um,Daicel,Chiralpak IC 50x1.0mm 3µm,Chiralpak IC 50x1.0mm 3µm; Series: Chiralpak; Specifications: Phase Type: IC; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 50 x 1.0 mm; pH Range: 2-8,active,https://www.daicel.com/en/products/images/chiralpak-ic.jpg,https://www.daicel.com/products/chiralpak-ic-50x1.0-3um,3,100,50,1.0,IC,2,8,2-8,,400 bar,80°C
DAIC-Chiralpak-IC-50x2.1-3um,Chiralpak-IC-50x2.1-3um,Daicel,Chiralpak IC 50x2.1mm 3µm,Chiralpak IC 50x2.1mm 3µm; Series: Chiralpak; Specifications: Phase Type: IC; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 50 x 2.1 mm; pH Range: 2-8,active,https://www.daicel.com/en/products/images/chiralpak-ic.jpg,https://www.daicel.com/products/chiralpak-ic-50x2.1-3um,3,100,50,2.1,IC,2,8,2-8,,400 bar,80°C
DAIC-Chiralpak-IC-50x3.0-3um,Chiralpak-IC-50x3.0-3um,Daicel,Chiralpak IC 50x3.0mm 3µm,Chiralpak IC 50x3.0mm 3µm; Series: Chiralpak; Specifications: Phase Type: IC; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 50 x 3.0 mm; pH Range: 2-8,active,https://www.daicel.com/en/products/images/chiralpak-ic.jpg,https://www.daicel.com/products/chiralpak-ic-50x3.0-3um,3,100,50,3.0,IC,2,8,2-8,,400 bar,80°C
DAIC-Chiralpak-IC-50x4.6-3um,Chiralpak-IC-50x4.6-3um,Daicel,Chiralpak IC 50x4.6mm 3µm,Chiralpak IC 50x4.6mm 3µm; Series: Chiralpak; Specifications: Phase Type: IC; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 50 x 4.6 mm; pH Range: 2-8,active,https://www.daicel.com/en/products/images/chiralpak-ic.jpg,https://www.daicel.com/products/chiralpak-ic-50x4.6-3um,3,100,50,4.6,IC,2,8,2-8,,400 bar,80°C
DAIC-Chiralpak-IC-75x2.1-3um,Chiralpak-IC-75x2.1-3um,Daicel,Chiralpak IC 75x2.1mm 3µm,Chiralpak IC 75x2.1mm 3µm; Series: Chiralpak; Specifications: Phase Type: IC; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 75 x 2.1 mm; pH Range: 2-8,active,https://www.daicel.com/en/products/images/chiralpak-ic.jpg,https://www.daicel.com/products/chiralpak-ic-75x2.1-3um,3,100,75,2.1,IC,2,8,2-8,,400 bar,80°C
DAIC-Chiralpak-IC-75x3.0-3um,Chiralpak-IC-75x3.0-3um,Daicel,Chiralpak IC 75x3.0mm 3µm,Chiralpak IC 75x3.0mm 3µm; Series: Chiralpak; Specifications: Phase Type: IC; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 75 x 3.0 mm; pH Range: 2-8,active,https://www.daicel.com/en/products/images/chiralpak-ic.jpg,https://www.daicel.com/products/chiralpak-ic-75x3.0-3um,3,100,75,3.0,IC,2,8,2-8,,400 bar,80°C
DAIC-Chiralpak-IC-75x4.6-3um,Chiralpak-IC-75x4.6-3um,Daicel,Chiralpak IC 75x4.6mm 3µm,Chiralpak IC 75x4.6mm 3µm; Series: Chiralpak; Specifications: Phase Type: IC; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 75 x 4.6 mm; pH Range: 2-8,active,https://www.daicel.com/en/products/images/chiralpak-ic.jpg,https://www.daicel.com/products/chiralpak-ic-75x4.6-3um,3,100,75,4.6,IC,2,8,2-8,,400 bar,80°C
DAIC-Chiralpak-IC-100x2.1-3um,Chiralpak-IC-100x2.1-3um,Daicel,Chiralpak IC 100x2.1mm 3µm,Chiralpak IC 100x2.1mm 3µm; Series: Chiralpak; Specifications: Phase Type: IC; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 100 x 2.1 mm; pH Range: 2-8,active,https://www.daicel.com/en/products/images/chiralpak-ic.jpg,https://www.daicel.com/products/chiralpak-ic-100x2.1-3um,3,100,100,2.1,IC,2,8,2-8,,400 bar,80°C
