productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
DIKM-Diamonsil-C18-30x1.0-3um,Diamonsil-C18-30x1.0-3um,Dikma,Diamonsil C18 30x1.0mm 3µm,Diamonsil C18 30x1.0mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 30 x 1.0 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-30x1.0-3um,3,100,30,1.0,C18,2,8,2-8,L1,400 bar,80°C
DIKM-Diamonsil-C18-30x2.1-3um,Diamonsil-C18-30x2.1-3um,Dikma,Diamonsil C18 30x2.1mm 3µm,Diamonsil C18 30x2.1mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 30 x 2.1 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-30x2.1-3um,3,100,30,2.1,C18,2,8,2-8,L1,400 bar,80°C
DIKM-Diamonsil-C18-30x3.0-3um,Diamonsil-C18-30x3.0-3um,Dikma,Diamonsil C18 30x3.0mm 3µm,Diamonsil C18 30x3.0mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 30 x 3.0 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-30x3.0-3um,3,100,30,3.0,C18,2,8,2-8,L1,400 bar,80°C
DIKM-Diamonsil-C18-30x4.6-3um,Diamonsil-C18-30x4.6-3um,Dikma,Diamonsil C18 30x4.6mm 3µm,Diamonsil C18 30x4.6mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 30 x 4.6 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-30x4.6-3um,3,100,30,4.6,C18,2,8,2-8,L1,400 bar,80°C
DIKM-Diamonsil-C18-50x1.0-3um,Diamonsil-C18-50x1.0-3um,Dikma,Diamonsil C18 50x1.0mm 3µm,Diamonsil C18 50x1.0mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 50 x 1.0 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-50x1.0-3um,3,100,50,1.0,C18,2,8,2-8,L1,400 bar,80°C
DIKM-Diamonsil-C18-50x2.1-3um,Diamonsil-C18-50x2.1-3um,Dikma,Diamonsil C18 50x2.1mm 3µm,Diamonsil C18 50x2.1mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 50 x 2.1 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-50x2.1-3um,3,100,50,2.1,C18,2,8,2-8,L1,400 bar,80°C
DIKM-Diamonsil-C18-50x3.0-3um,Diamonsil-C18-50x3.0-3um,Dikma,Diamonsil C18 50x3.0mm 3µm,Diamonsil C18 50x3.0mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 50 x 3.0 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-50x3.0-3um,3,100,50,3.0,C18,2,8,2-8,L1,400 bar,80°C
DIKM-Diamonsil-C18-50x4.6-3um,Diamonsil-C18-50x4.6-3um,Dikma,Diamonsil C18 50x4.6mm 3µm,Diamonsil C18 50x4.6mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 50 x 4.6 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-50x4.6-3um,3,100,50,4.6,C18,2,8,2-8,L1,400 bar,80°C
DIKM-Diamonsil-C18-75x2.1-3um,Diamonsil-C18-75x2.1-3um,Dikma,Diamonsil C18 75x2.1mm 3µm,Diamonsil C18 75x2.1mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 75 x 2.1 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-75x2.1-3um,3,100,75,2.1,C18,2,8,2-8,L1,400 bar,80°C
DIKM-Diamonsil-C18-75x3.0-3um,Diamonsil-C18-75x3.0-3um,Dikma,Diamonsil C18 75x3.0mm 3µm,Diamonsil C18 75x3.0mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 75 x 3.0 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-75x3.0-3um,3,100,75,3.0,C18,2,8,2-8,L1,400 bar,80°C
DIKM-Diamonsil-C18-75x4.6-3um,Diamonsil-C18-75x4.6-3um,Dikma,Diamonsil C18 75x4.6mm 3µm,Diamonsil C18 75x4.6mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 75 x 4.6 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-75x4.6-3um,3,100,75,4.6,C18,2,8,2-8,L1,400 bar,80°C
DIKM-Diamonsil-C18-100x2.1-3um,Diamonsil-C18-100x2.1-3um,Dikma,Diamonsil C18 100x2.1mm 3µm,Diamonsil C18 100x2.1mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 100 x 2.1 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-100x2.1-3um,3,100,100,2.1,C18,2,8,2-8,L1,400 bar,80°C
DIKM-Diamonsil-C18-100x3.0-3um,Diamonsil-C18-100x3.0-3um,Dikma,Diamonsil C18 100x3.0mm 3µm,Diamonsil C18 100x3.0mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 100 x 3.0 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-100x3.0-3um,3,100,100,3.0,C18,2,8,2-8,L1,400 bar,80°C
DIKM-Diamonsil-C18-100x4.6-3um,Diamonsil-C18-100x4.6-3um,Dikma,Diamonsil C18 100x4.6mm 3µm,Diamonsil C18 100x4.6mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 100 x 4.6 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-100x4.6-3um,3,100,100,4.6,C18,2,8,2-8,L1,400 bar,80°C
DIKM-Diamonsil-C18-150x2.1-3um,Diamonsil-C18-150x2.1-3um,Dikma,Diamonsil C18 150x2.1mm 3µm,Diamonsil C18 150x2.1mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 150 x 2.1 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-150x2.1-3um,3,100,150,2.1,C18,2,8,2-8,L1,400 bar,80°C
DIKM-Diamonsil-C18-150x3.0-3um,Diamonsil-C18-150x3.0-3um,Dikma,Diamonsil C18 150x3.0mm 3µm,Diamonsil C18 150x3.0mm 3µm; Series: Diamonsil; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 150 x 3.0 mm; pH Range: 2-8,active,https://www.dikma.com.cn/en/products/images/diamonsil-c18.jpg,https://www.dikma.com.cn/products/diamonsil-c18-150x3.0-3um,3,100,150,3.0,C18,2,8,2-8,L1,400 bar,80°C
