productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
MERC-LiChrospher-C18-30x1.0-5um,LiChrospher-C18-30x1.0-5um,Merck,LiChrospher C18 30x1.0mm 5µm,LiChrospher C18 30x1.0mm 5µm; Series: LiChrospher; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 30 x 1.0 mm; pH Range: 2-7.5,active,https://www.merckmillipore.com/INTL/en/product-images/lichrospher-c18.jpg,https://www.merckmillipore.com/products/lichrospher-c18-30x1.0-5um,5,100,30,1.0,C18,2,7.5,2-7.5,L1,400 bar,80°C
MERC-LiChrospher-C18-30x2.1-5um,LiChrospher-C18-30x2.1-5um,Merck,LiChrospher C18 30x2.1mm 5µm,LiChrospher C18 30x2.1mm 5µm; Series: LiChrospher; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 30 x 2.1 mm; pH Range: 2-7.5,active,https://www.merckmillipore.com/INTL/en/product-images/lichrospher-c18.jpg,https://www.merckmillipore.com/products/lichrospher-c18-30x2.1-5um,5,100,30,2.1,C18,2,7.5,2-7.5,L1,400 bar,80°C
MERC-LiChrospher-C18-30x3.0-5um,LiChrospher-C18-30x3.0-5um,Merck,LiChrospher C18 30x3.0mm 5µm,LiChrospher C18 30x3.0mm 5µm; Series: LiChrospher; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 30 x 3.0 mm; pH Range: 2-7.5,active,https://www.merckmillipore.com/INTL/en/product-images/lichrospher-c18.jpg,https://www.merckmillipore.com/products/lichrospher-c18-30x3.0-5um,5,100,30,3.0,C18,2,7.5,2-7.5,L1,400 bar,80°C
MERC-LiChrospher-C18-30x4.6-5um,LiChrospher-C18-30x4.6-5um,Merck,LiChrospher C18 30x4.6mm 5µm,LiChrospher C18 30x4.6mm 5µm; Series: LiChrospher; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 30 x 4.6 mm; pH Range: 2-7.5,active,https://www.merckmillipore.com/INTL/en/product-images/lichrospher-c18.jpg,https://www.merckmillipore.com/products/lichrospher-c18-30x4.6-5um,5,100,30,4.6,C18,2,7.5,2-7.5,L1,400 bar,80°C
MERC-LiChrospher-C18-50x1.0-5um,LiChrospher-C18-50x1.0-5um,Merck,LiChrospher C18 50x1.0mm 5µm,LiChrospher C18 50x1.0mm 5µm; Series: LiChrospher; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 50 x 1.0 mm; pH Range: 2-7.5,active,https://www.merckmillipore.com/INTL/en/product-images/lichrospher-c18.jpg,https://www.merckmillipore.com/products/lichrospher-c18-50x1.0-5um,5,100,50,1.0,C18,2,7.5,2-7.5,L1,400 bar,80°C
MERC-LiChrospher-C18-50x2.1-5um,LiChrospher-C18-50x2.1-5um,Merck,LiChrospher C18 50x2.1mm 5µm,LiChrospher C18 50x2.1mm 5µm; Series: LiChrospher; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 50 x 2.1 mm; pH Range: 2-7.5,active,https://www.merckmillipore.com/INTL/en/product-images/lichrospher-c18.jpg,https://www.merckmillipore.com/products/lichrospher-c18-50x2.1-5um,5,100,50,2.1,C18,2,7.5,2-7.5,L1,400 bar,80°C
MERC-LiChrospher-C18-50x3.0-5um,LiChrospher-C18-50x3.0-5um,Merck,LiChrospher C18 50x3.0mm 5µm,LiChrospher C18 50x3.0mm 5µm; Series: LiChrospher; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 50 x 3.0 mm; pH Range: 2-7.5,active,https://www.merckmillipore.com/INTL/en/product-images/lichrospher-c18.jpg,https://www.merckmillipore.com/products/lichrospher-c18-50x3.0-5um,5,100,50,3.0,C18,2,7.5,2-7.5,L1,400 bar,80°C
MERC-LiChrospher-C18-50x4.6-5um,LiChrospher-C18-50x4.6-5um,Merck,LiChrospher C18 50x4.6mm 5µm,LiChrospher C18 50x4.6mm 5µm; Series: LiChrospher; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 50 x 4.6 mm; pH Range: 2-7.5,active,https://www.merckmillipore.com/INTL/en/product-images/lichrospher-c18.jpg,https://www.merckmillipore.com/products/lichrospher-c18-50x4.6-5um,5,100,50,4.6,C18,2,7.5,2-7.5,L1,400 bar,80°C
MERC-LiChrospher-C18-75x2.1-5um,LiChrospher-C18-75x2.1-5um,Merck,LiChrospher C18 75x2.1mm 5µm,LiChrospher C18 75x2.1mm 5µm; Series: LiChrospher; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 75 x 2.1 mm; pH Range: 2-7.5,active,https://www.merckmillipore.com/INTL/en/product-images/lichrospher-c18.jpg,https://www.merckmillipore.com/products/lichrospher-c18-75x2.1-5um,5,100,75,2.1,C18,2,7.5,2-7.5,L1,400 bar,80°C
MERC-LiChrospher-C18-75x3.0-5um,LiChrospher-C18-75x3.0-5um,Merck,LiChrospher C18 75x3.0mm 5µm,LiChrospher C18 75x3.0mm 5µm; Series: LiChrospher; Specifications: Phase Type: C18; Particle Size: 5 µm; Pore Size: 100Å; Dimensions: 75 x 3.0 mm; pH Range: 2-7.5,active,https://www.merckmillipore.com/INTL/en/product-images/lichrospher-c18.jpg,https://www.merckmillipore.com/products/lichrospher-c18-75x3.0-5um,5,100,75,3.0,C18,2,7.5,2-7.5,L1,400 bar,80°C
