productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
SHIM-Rtx-1-15m-0.25mm-0.25um,Rtx-1-15m-0.25mm-0.25um,Shimadzu,Rtx-1 GC Column 15m x 0.25mm x 0.25µm,"Rtx-1 GC Column 15m x 0.25mm x 0.25µm; Series: Rtx-1; Specifications: Column Length: 15m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.shimadzu.com/products/images/gc-rtx-1.jpg,https://www.shimadzu.com/products/gc/rtx-1-15m-0.25mm-0.25um,,,15000,0.25,Rtx-1,,,,,,320°C
SHIM-Rtx-1-30m-0.25mm-0.25um,Rtx-1-30m-0.25mm-0.25um,Shimadzu,Rtx-1 GC Column 30m x 0.25mm x 0.25µm,"Rtx-1 GC Column 30m x 0.25mm x 0.25µm; Series: Rtx-1; Specifications: Column Length: 30m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.shimadzu.com/products/images/gc-rtx-1.jpg,https://www.shimadzu.com/products/gc/rtx-1-30m-0.25mm-0.25um,,,30000,0.25,Rtx-1,,,,,,320°C
SHIM-Rtx-1-30m-0.32mm-0.25um,Rtx-1-30m-0.32mm-0.25um,Shimadzu,Rtx-1 GC Column 30m x 0.32mm x 0.25µm,"Rtx-1 GC Column 30m x 0.32mm x 0.25µm; Series: Rtx-1; Specifications: Column Length: 30m, Inner Diameter: 0.32mm, Film Thickness: 0.25µm",active,https://www.shimadzu.com/products/images/gc-rtx-1.jpg,https://www.shimadzu.com/products/gc/rtx-1-30m-0.32mm-0.25um,,,30000,0.32,Rtx-1,,,,,,320°C
SHIM-Rtx-1-60m-0.25mm-0.25um,Rtx-1-60m-0.25mm-0.25um,Shimadzu,Rtx-1 GC Column 60m x 0.25mm x 0.25µm,"Rtx-1 GC Column 60m x 0.25mm x 0.25µm; Series: Rtx-1; Specifications: Column Length: 60m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.shimadzu.com/products/images/gc-rtx-1.jpg,https://www.shimadzu.com/products/gc/rtx-1-60m-0.25mm-0.25um,,,60000,0.25,Rtx-1,,,,,,320°C
SHIM-Rtx-1-60m-0.32mm-0.5um,Rtx-1-60m-0.32mm-0.5um,Shimadzu,Rtx-1 GC Column 60m x 0.32mm x 0.5µm,"Rtx-1 GC Column 60m x 0.32mm x 0.5µm; Series: Rtx-1; Specifications: Column Length: 60m, Inner Diameter: 0.32mm, Film Thickness: 0.5µm",active,https://www.shimadzu.com/products/images/gc-rtx-1.jpg,https://www.shimadzu.com/products/gc/rtx-1-60m-0.32mm-0.5um,,,60000,0.32,Rtx-1,,,,,,320°C
SHIM-Rtx-5-15m-0.25mm-0.25um,Rtx-5-15m-0.25mm-0.25um,Shimadzu,Rtx-5 GC Column 15m x 0.25mm x 0.25µm,"Rtx-5 GC Column 15m x 0.25mm x 0.25µm; Series: Rtx-5; Specifications: Column Length: 15m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.shimadzu.com/products/images/gc-rtx-5.jpg,https://www.shimadzu.com/products/gc/rtx-5-15m-0.25mm-0.25um,,,15000,0.25,Rtx-5,,,,,,320°C
SHIM-Rtx-5-30m-0.25mm-0.25um,Rtx-5-30m-0.25mm-0.25um,Shimadzu,Rtx-5 GC Column 30m x 0.25mm x 0.25µm,"Rtx-5 GC Column 30m x 0.25mm x 0.25µm; Series: Rtx-5; Specifications: Column Length: 30m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.shimadzu.com/products/images/gc-rtx-5.jpg,https://www.shimadzu.com/products/gc/rtx-5-30m-0.25mm-0.25um,,,30000,0.25,Rtx-5,,,,,,320°C
SHIM-Rtx-5-30m-0.32mm-0.25um,Rtx-5-30m-0.32mm-0.25um,Shimadzu,Rtx-5 GC Column 30m x 0.32mm x 0.25µm,"Rtx-5 GC Column 30m x 0.32mm x 0.25µm; Series: Rtx-5; Specifications: Column Length: 30m, Inner Diameter: 0.32mm, Film Thickness: 0.25µm",active,https://www.shimadzu.com/products/images/gc-rtx-5.jpg,https://www.shimadzu.com/products/gc/rtx-5-30m-0.32mm-0.25um,,,30000,0.32,Rtx-5,,,,,,320°C
SHIM-Rtx-5-60m-0.25mm-0.25um,Rtx-5-60m-0.25mm-0.25um,Shimadzu,Rtx-5 GC Column 60m x 0.25mm x 0.25µm,"Rtx-5 GC Column 60m x 0.25mm x 0.25µm; Series: Rtx-5; Specifications: Column Length: 60m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.shimadzu.com/products/images/gc-rtx-5.jpg,https://www.shimadzu.com/products/gc/rtx-5-60m-0.25mm-0.25um,,,60000,0.25,Rtx-5,,,,,,320°C
SHIM-Rtx-5-60m-0.32mm-0.5um,Rtx-5-60m-0.32mm-0.5um,Shimadzu,Rtx-5 GC Column 60m x 0.32mm x 0.5µm,"Rtx-5 GC Column 60m x 0.32mm x 0.5µm; Series: Rtx-5; Specifications: Column Length: 60m, Inner Diameter: 0.32mm, Film Thickness: 0.5µm",active,https://www.shimadzu.com/products/images/gc-rtx-5.jpg,https://www.shimadzu.com/products/gc/rtx-5-60m-0.32mm-0.5um,,,60000,0.32,Rtx-5,,,,,,320°C
