productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
TSKG-TSKgelODS-C18-30x1.0-3um,TSKgelODS-C18-30x1.0-3um,TSKgel,TSKgel ODS C18 30x1.0mm 3µm,TSKgel ODS C18 30x1.0mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 30 x 1.0 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-30x1.0-3um,3,100,30,1.0,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-30x2.1-3um,TSKgelODS-C18-30x2.1-3um,TSKgel,TSKgel ODS C18 30x2.1mm 3µm,TSKgel ODS C18 30x2.1mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 30 x 2.1 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-30x2.1-3um,3,100,30,2.1,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-30x3.0-3um,TSKgelODS-C18-30x3.0-3um,TSKgel,TSKgel ODS C18 30x3.0mm 3µm,TSKgel ODS C18 30x3.0mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 30 x 3.0 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-30x3.0-3um,3,100,30,3.0,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-30x4.6-3um,TSKgelODS-C18-30x4.6-3um,TSKgel,TSKgel ODS C18 30x4.6mm 3µm,TSKgel ODS C18 30x4.6mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 30 x 4.6 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-30x4.6-3um,3,100,30,4.6,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-50x1.0-3um,TSKgelODS-C18-50x1.0-3um,TSKgel,TSKgel ODS C18 50x1.0mm 3µm,TSKgel ODS C18 50x1.0mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 50 x 1.0 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-50x1.0-3um,3,100,50,1.0,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-50x2.1-3um,TSKgelODS-C18-50x2.1-3um,TSKgel,TSKgel ODS C18 50x2.1mm 3µm,TSKgel ODS C18 50x2.1mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 50 x 2.1 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-50x2.1-3um,3,100,50,2.1,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-50x3.0-3um,TSKgelODS-C18-50x3.0-3um,TSKgel,TSKgel ODS C18 50x3.0mm 3µm,TSKgel ODS C18 50x3.0mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 50 x 3.0 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-50x3.0-3um,3,100,50,3.0,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-50x4.6-3um,TSKgelODS-C18-50x4.6-3um,TSKgel,TSKgel ODS C18 50x4.6mm 3µm,TSKgel ODS C18 50x4.6mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 50 x 4.6 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-50x4.6-3um,3,100,50,4.6,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-75x2.1-3um,TSKgelODS-C18-75x2.1-3um,TSKgel,TSKgel ODS C18 75x2.1mm 3µm,TSKgel ODS C18 75x2.1mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 75 x 2.1 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-75x2.1-3um,3,100,75,2.1,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-75x3.0-3um,TSKgelODS-C18-75x3.0-3um,TSKgel,TSKgel ODS C18 75x3.0mm 3µm,TSKgel ODS C18 75x3.0mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 75 x 3.0 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-75x3.0-3um,3,100,75,3.0,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-75x4.6-3um,TSKgelODS-C18-75x4.6-3um,TSKgel,TSKgel ODS C18 75x4.6mm 3µm,TSKgel ODS C18 75x4.6mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 75 x 4.6 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-75x4.6-3um,3,100,75,4.6,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-100x2.1-3um,TSKgelODS-C18-100x2.1-3um,TSKgel,TSKgel ODS C18 100x2.1mm 3µm,TSKgel ODS C18 100x2.1mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 100 x 2.1 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-100x2.1-3um,3,100,100,2.1,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-100x3.0-3um,TSKgelODS-C18-100x3.0-3um,TSKgel,TSKgel ODS C18 100x3.0mm 3µm,TSKgel ODS C18 100x3.0mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 100 x 3.0 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-100x3.0-3um,3,100,100,3.0,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-100x4.6-3um,TSKgelODS-C18-100x4.6-3um,TSKgel,TSKgel ODS C18 100x4.6mm 3µm,TSKgel ODS C18 100x4.6mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 100 x 4.6 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-100x4.6-3um,3,100,100,4.6,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-150x2.1-3um,TSKgelODS-C18-150x2.1-3um,TSKgel,TSKgel ODS C18 150x2.1mm 3µm,TSKgel ODS C18 150x2.1mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 150 x 2.1 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-150x2.1-3um,3,100,150,2.1,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-150x3.0-3um,TSKgelODS-C18-150x3.0-3um,TSKgel,TSKgel ODS C18 150x3.0mm 3µm,TSKgel ODS C18 150x3.0mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 150 x 3.0 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-150x3.0-3um,3,100,150,3.0,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-150x4.6-3um,TSKgelODS-C18-150x4.6-3um,TSKgel,TSKgel ODS C18 150x4.6mm 3µm,TSKgel ODS C18 150x4.6mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 150 x 4.6 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-150x4.6-3um,3,100,150,4.6,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-250x3.0-3um,TSKgelODS-C18-250x3.0-3um,TSKgel,TSKgel ODS C18 250x3.0mm 3µm,TSKgel ODS C18 250x3.0mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 250 x 3.0 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-250x3.0-3um,3,100,250,3.0,C18,2,7.5,2-7.5,L1,400 bar,80°C
TSKG-TSKgelODS-C18-250x4.6-3um,TSKgelODS-C18-250x4.6-3um,TSKgel,TSKgel ODS C18 250x4.6mm 3µm,TSKgel ODS C18 250x4.6mm 3µm; Series: TSKgel ODS; Specifications: Phase Type: C18; Particle Size: 3 µm; Pore Size: 100Å; Dimensions: 250 x 4.6 mm; pH Range: 2-7.5,active,https://www.tosohbioscience.com/products/images/tskgel-ods-c18.jpg,https://www.tosohbioscience.com/products/tskgelods-c18-250x4.6-3um,3,100,250,4.6,C18,2,7.5,2-7.5,L1,400 bar,80°C
