productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
THER-TraceGOLD TG-1-15m-0.25mm-0.25um,TraceGOLD TG-1-15m-0.25mm-0.25um,Thermo Fisher Scientific,TraceGOLD TG-1 GC Column 15m x 0.25mm x 0.25µm,"TraceGOLD TG-1 GC Column 15m x 0.25mm x 0.25µm; Series: TraceGOLD TG-1; Specifications: Column Length: 15m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/gc-tracegold tg-1.jpg,https://www.thermofisher.com/products/gc/tracegold tg-1-15m-0.25mm-0.25um,,,15000,0.25,TraceGOLD TG-1,,,,,,320°C
THER-TraceGOLD TG-1-30m-0.25mm-0.25um,TraceGOLD TG-1-30m-0.25mm-0.25um,Thermo Fisher Scientific,TraceGOLD TG-1 GC Column 30m x 0.25mm x 0.25µm,"TraceGOLD TG-1 GC Column 30m x 0.25mm x 0.25µm; Series: TraceGOLD TG-1; Specifications: Column Length: 30m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/gc-tracegold tg-1.jpg,https://www.thermofisher.com/products/gc/tracegold tg-1-30m-0.25mm-0.25um,,,30000,0.25,TraceGOLD TG-1,,,,,,320°C
THER-TraceGOLD TG-1-30m-0.32mm-0.25um,TraceGOLD TG-1-30m-0.32mm-0.25um,Thermo Fisher Scientific,TraceGOLD TG-1 GC Column 30m x 0.32mm x 0.25µm,"TraceGOLD TG-1 GC Column 30m x 0.32mm x 0.25µm; Series: TraceGOLD TG-1; Specifications: Column Length: 30m, Inner Diameter: 0.32mm, Film Thickness: 0.25µm",active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/gc-tracegold tg-1.jpg,https://www.thermofisher.com/products/gc/tracegold tg-1-30m-0.32mm-0.25um,,,30000,0.32,TraceGOLD TG-1,,,,,,320°C
THER-TraceGOLD TG-1-60m-0.25mm-0.25um,TraceGOLD TG-1-60m-0.25mm-0.25um,Thermo Fisher Scientific,TraceGOLD TG-1 GC Column 60m x 0.25mm x 0.25µm,"TraceGOLD TG-1 GC Column 60m x 0.25mm x 0.25µm; Series: TraceGOLD TG-1; Specifications: Column Length: 60m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/gc-tracegold tg-1.jpg,https://www.thermofisher.com/products/gc/tracegold tg-1-60m-0.25mm-0.25um,,,60000,0.25,TraceGOLD TG-1,,,,,,320°C
THER-TraceGOLD TG-1-60m-0.32mm-0.5um,TraceGOLD TG-1-60m-0.32mm-0.5um,Thermo Fisher Scientific,TraceGOLD TG-1 GC Column 60m x 0.32mm x 0.5µm,"TraceGOLD TG-1 GC Column 60m x 0.32mm x 0.5µm; Series: TraceGOLD TG-1; Specifications: Column Length: 60m, Inner Diameter: 0.32mm, Film Thickness: 0.5µm",active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/gc-tracegold tg-1.jpg,https://www.thermofisher.com/products/gc/tracegold tg-1-60m-0.32mm-0.5um,,,60000,0.32,TraceGOLD TG-1,,,,,,320°C
THER-TraceGOLD TG-5-15m-0.25mm-0.25um,TraceGOLD TG-5-15m-0.25mm-0.25um,Thermo Fisher Scientific,TraceGOLD TG-5 GC Column 15m x 0.25mm x 0.25µm,"TraceGOLD TG-5 GC Column 15m x 0.25mm x 0.25µm; Series: TraceGOLD TG-5; Specifications: Column Length: 15m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/gc-tracegold tg-5.jpg,https://www.thermofisher.com/products/gc/tracegold tg-5-15m-0.25mm-0.25um,,,15000,0.25,TraceGOLD TG-5,,,,,,320°C
THER-TraceGOLD TG-5-30m-0.25mm-0.25um,TraceGOLD TG-5-30m-0.25mm-0.25um,Thermo Fisher Scientific,TraceGOLD TG-5 GC Column 30m x 0.25mm x 0.25µm,"TraceGOLD TG-5 GC Column 30m x 0.25mm x 0.25µm; Series: TraceGOLD TG-5; Specifications: Column Length: 30m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/gc-tracegold tg-5.jpg,https://www.thermofisher.com/products/gc/tracegold tg-5-30m-0.25mm-0.25um,,,30000,0.25,TraceGOLD TG-5,,,,,,320°C
THER-TraceGOLD TG-5-30m-0.32mm-0.25um,TraceGOLD TG-5-30m-0.32mm-0.25um,Thermo Fisher Scientific,TraceGOLD TG-5 GC Column 30m x 0.32mm x 0.25µm,"TraceGOLD TG-5 GC Column 30m x 0.32mm x 0.25µm; Series: TraceGOLD TG-5; Specifications: Column Length: 30m, Inner Diameter: 0.32mm, Film Thickness: 0.25µm",active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/gc-tracegold tg-5.jpg,https://www.thermofisher.com/products/gc/tracegold tg-5-30m-0.32mm-0.25um,,,30000,0.32,TraceGOLD TG-5,,,,,,320°C
THER-TraceGOLD TG-5-60m-0.25mm-0.25um,TraceGOLD TG-5-60m-0.25mm-0.25um,Thermo Fisher Scientific,TraceGOLD TG-5 GC Column 60m x 0.25mm x 0.25µm,"TraceGOLD TG-5 GC Column 60m x 0.25mm x 0.25µm; Series: TraceGOLD TG-5; Specifications: Column Length: 60m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/gc-tracegold tg-5.jpg,https://www.thermofisher.com/products/gc/tracegold tg-5-60m-0.25mm-0.25um,,,60000,0.25,TraceGOLD TG-5,,,,,,320°C
THER-TraceGOLD TG-5-60m-0.32mm-0.5um,TraceGOLD TG-5-60m-0.32mm-0.5um,Thermo Fisher Scientific,TraceGOLD TG-5 GC Column 60m x 0.32mm x 0.5µm,"TraceGOLD TG-5 GC Column 60m x 0.32mm x 0.5µm; Series: TraceGOLD TG-5; Specifications: Column Length: 60m, Inner Diameter: 0.32mm, Film Thickness: 0.5µm",active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/gc-tracegold tg-5.jpg,https://www.thermofisher.com/products/gc/tracegold tg-5-60m-0.32mm-0.5um,,,60000,0.32,TraceGOLD TG-5,,,,,,320°C
