productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
THER-Accucore-C18-30x1.0-2.6um,Accucore-C18-30x1.0-2.6um,Thermo Fisher Scientific,Accucore C18 30x1.0mm 2.6µm,Accucore C18 30x1.0mm 2.6µm; Series: Accucore; Specifications: Phase Type: C18; Particle Size: 2.6 µm; Pore Size: 150Å; Dimensions: 30 x 1.0 mm; pH Range: 2-9,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/accucore-c18.jpg,https://www.thermofisher.com/products/accucore-c18-30x1.0-2.6um,2.6,150,30,1.0,C18,2,9,2-9,L1,600 bar,80°C
THER-Accucore-C18-30x2.1-2.6um,Accucore-C18-30x2.1-2.6um,Thermo Fisher Scientific,Accucore C18 30x2.1mm 2.6µm,Accucore C18 30x2.1mm 2.6µm; Series: Accucore; Specifications: Phase Type: C18; Particle Size: 2.6 µm; Pore Size: 150Å; Dimensions: 30 x 2.1 mm; pH Range: 2-9,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/accucore-c18.jpg,https://www.thermofisher.com/products/accucore-c18-30x2.1-2.6um,2.6,150,30,2.1,C18,2,9,2-9,L1,600 bar,80°C
THER-Accucore-C18-30x3.0-2.6um,Accucore-C18-30x3.0-2.6um,Thermo Fisher Scientific,Accucore C18 30x3.0mm 2.6µm,Accucore C18 30x3.0mm 2.6µm; Series: Accucore; Specifications: Phase Type: C18; Particle Size: 2.6 µm; Pore Size: 150Å; Dimensions: 30 x 3.0 mm; pH Range: 2-9,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/accucore-c18.jpg,https://www.thermofisher.com/products/accucore-c18-30x3.0-2.6um,2.6,150,30,3.0,C18,2,9,2-9,L1,600 bar,80°C
THER-Accucore-C18-30x4.6-2.6um,Accucore-C18-30x4.6-2.6um,Thermo Fisher Scientific,Accucore C18 30x4.6mm 2.6µm,Accucore C18 30x4.6mm 2.6µm; Series: Accucore; Specifications: Phase Type: C18; Particle Size: 2.6 µm; Pore Size: 150Å; Dimensions: 30 x 4.6 mm; pH Range: 2-9,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/accucore-c18.jpg,https://www.thermofisher.com/products/accucore-c18-30x4.6-2.6um,2.6,150,30,4.6,C18,2,9,2-9,L1,600 bar,80°C
THER-Accucore-C18-50x1.0-2.6um,Accucore-C18-50x1.0-2.6um,Thermo Fisher Scientific,Accucore C18 50x1.0mm 2.6µm,Accucore C18 50x1.0mm 2.6µm; Series: Accucore; Specifications: Phase Type: C18; Particle Size: 2.6 µm; Pore Size: 150Å; Dimensions: 50 x 1.0 mm; pH Range: 2-9,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/accucore-c18.jpg,https://www.thermofisher.com/products/accucore-c18-50x1.0-2.6um,2.6,150,50,1.0,C18,2,9,2-9,L1,600 bar,80°C
THER-Accucore-C18-50x2.1-2.6um,Accucore-C18-50x2.1-2.6um,Thermo Fisher Scientific,Accucore C18 50x2.1mm 2.6µm,Accucore C18 50x2.1mm 2.6µm; Series: Accucore; Specifications: Phase Type: C18; Particle Size: 2.6 µm; Pore Size: 150Å; Dimensions: 50 x 2.1 mm; pH Range: 2-9,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/accucore-c18.jpg,https://www.thermofisher.com/products/accucore-c18-50x2.1-2.6um,2.6,150,50,2.1,C18,2,9,2-9,L1,600 bar,80°C
THER-Accucore-C18-50x3.0-2.6um,Accucore-C18-50x3.0-2.6um,Thermo Fisher Scientific,Accucore C18 50x3.0mm 2.6µm,Accucore C18 50x3.0mm 2.6µm; Series: Accucore; Specifications: Phase Type: C18; Particle Size: 2.6 µm; Pore Size: 150Å; Dimensions: 50 x 3.0 mm; pH Range: 2-9,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/accucore-c18.jpg,https://www.thermofisher.com/products/accucore-c18-50x3.0-2.6um,2.6,150,50,3.0,C18,2,9,2-9,L1,600 bar,80°C
THER-Accucore-C18-50x4.6-2.6um,Accucore-C18-50x4.6-2.6um,Thermo Fisher Scientific,Accucore C18 50x4.6mm 2.6µm,Accucore C18 50x4.6mm 2.6µm; Series: Accucore; Specifications: Phase Type: C18; Particle Size: 2.6 µm; Pore Size: 150Å; Dimensions: 50 x 4.6 mm; pH Range: 2-9,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/accucore-c18.jpg,https://www.thermofisher.com/products/accucore-c18-50x4.6-2.6um,2.6,150,50,4.6,C18,2,9,2-9,L1,600 bar,80°C
THER-Accucore-C18-75x2.1-2.6um,Accucore-C18-75x2.1-2.6um,Thermo Fisher Scientific,Accucore C18 75x2.1mm 2.6µm,Accucore C18 75x2.1mm 2.6µm; Series: Accucore; Specifications: Phase Type: C18; Particle Size: 2.6 µm; Pore Size: 150Å; Dimensions: 75 x 2.1 mm; pH Range: 2-9,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/accucore-c18.jpg,https://www.thermofisher.com/products/accucore-c18-75x2.1-2.6um,2.6,150,75,2.1,C18,2,9,2-9,L1,600 bar,80°C
THER-Accucore-C18-75x3.0-2.6um,Accucore-C18-75x3.0-2.6um,Thermo Fisher Scientific,Accucore C18 75x3.0mm 2.6µm,Accucore C18 75x3.0mm 2.6µm; Series: Accucore; Specifications: Phase Type: C18; Particle Size: 2.6 µm; Pore Size: 150Å; Dimensions: 75 x 3.0 mm; pH Range: 2-9,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/accucore-c18.jpg,https://www.thermofisher.com/products/accucore-c18-75x3.0-2.6um,2.6,150,75,3.0,C18,2,9,2-9,L1,600 bar,80°C
THER-Accucore-C18-75x4.6-2.6um,Accucore-C18-75x4.6-2.6um,Thermo Fisher Scientific,Accucore C18 75x4.6mm 2.6µm,Accucore C18 75x4.6mm 2.6µm; Series: Accucore; Specifications: Phase Type: C18; Particle Size: 2.6 µm; Pore Size: 150Å; Dimensions: 75 x 4.6 mm; pH Range: 2-9,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/accucore-c18.jpg,https://www.thermofisher.com/products/accucore-c18-75x4.6-2.6um,2.6,150,75,4.6,C18,2,9,2-9,L1,600 bar,80°C
