productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
THER-HyperSepC18-30mg-1ml,HyperSepC18-30mg-1ml,Thermo Fisher Scientific,HyperSep C18 30mg/1mL,HyperSep C18 30mg/1mL; Series: HyperSep C18; Sorbent: 30mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-30mg-1ml,,,,,C18,,,,,,
THER-HyperSepC18-30mg-3ml,HyperSepC18-30mg-3ml,Thermo Fisher Scientific,HyperSep C18 30mg/3mL,HyperSep C18 30mg/3mL; Series: HyperSep C18; Sorbent: 30mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-30mg-3ml,,,,,C18,,,,,,
THER-HyperSepC18-30mg-6ml,HyperSepC18-30mg-6ml,Thermo Fisher Scientific,HyperSep C18 30mg/6mL,HyperSep C18 30mg/6mL; Series: HyperSep C18; Sorbent: 30mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-30mg-6ml,,,,,C18,,,,,,
THER-HyperSepC18-60mg-1ml,HyperSepC18-60mg-1ml,Thermo Fisher Scientific,HyperSep C18 60mg/1mL,HyperSep C18 60mg/1mL; Series: HyperSep C18; Sorbent: 60mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-60mg-1ml,,,,,C18,,,,,,
THER-HyperSepC18-60mg-3ml,HyperSepC18-60mg-3ml,Thermo Fisher Scientific,HyperSep C18 60mg/3mL,HyperSep C18 60mg/3mL; Series: HyperSep C18; Sorbent: 60mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-60mg-3ml,,,,,C18,,,,,,
THER-HyperSepC18-60mg-6ml,HyperSepC18-60mg-6ml,Thermo Fisher Scientific,HyperSep C18 60mg/6mL,HyperSep C18 60mg/6mL; Series: HyperSep C18; Sorbent: 60mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-60mg-6ml,,,,,C18,,,,,,
THER-HyperSepC18-100mg-1ml,HyperSepC18-100mg-1ml,Thermo Fisher Scientific,HyperSep C18 100mg/1mL,HyperSep C18 100mg/1mL; Series: HyperSep C18; Sorbent: 100mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-100mg-1ml,,,,,C18,,,,,,
THER-HyperSepC18-100mg-3ml,HyperSepC18-100mg-3ml,Thermo Fisher Scientific,HyperSep C18 100mg/3mL,HyperSep C18 100mg/3mL; Series: HyperSep C18; Sorbent: 100mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-100mg-3ml,,,,,C18,,,,,,
THER-HyperSepC18-100mg-6ml,HyperSepC18-100mg-6ml,Thermo Fisher Scientific,HyperSep C18 100mg/6mL,HyperSep C18 100mg/6mL; Series: HyperSep C18; Sorbent: 100mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-100mg-6ml,,,,,C18,,,,,,
THER-HyperSepC18-200mg-1ml,HyperSepC18-200mg-1ml,Thermo Fisher Scientific,HyperSep C18 200mg/1mL,HyperSep C18 200mg/1mL; Series: HyperSep C18; Sorbent: 200mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-200mg-1ml,,,,,C18,,,,,,
THER-HyperSepC18-200mg-3ml,HyperSepC18-200mg-3ml,Thermo Fisher Scientific,HyperSep C18 200mg/3mL,HyperSep C18 200mg/3mL; Series: HyperSep C18; Sorbent: 200mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-200mg-3ml,,,,,C18,,,,,,
THER-HyperSepC18-200mg-6ml,HyperSepC18-200mg-6ml,Thermo Fisher Scientific,HyperSep C18 200mg/6mL,HyperSep C18 200mg/6mL; Series: HyperSep C18; Sorbent: 200mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-200mg-6ml,,,,,C18,,,,,,
THER-HyperSepC18-500mg-1ml,HyperSepC18-500mg-1ml,Thermo Fisher Scientific,HyperSep C18 500mg/1mL,HyperSep C18 500mg/1mL; Series: HyperSep C18; Sorbent: 500mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-500mg-1ml,,,,,C18,,,,,,
THER-HyperSepC18-500mg-3ml,HyperSepC18-500mg-3ml,Thermo Fisher Scientific,HyperSep C18 500mg/3mL,HyperSep C18 500mg/3mL; Series: HyperSep C18; Sorbent: 500mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-500mg-3ml,,,,,C18,,,,,,
THER-HyperSepC18-500mg-6ml,HyperSepC18-500mg-6ml,Thermo Fisher Scientific,HyperSep C18 500mg/6mL,HyperSep C18 500mg/6mL; Series: HyperSep C18; Sorbent: 500mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://assets.thermofisher.com/TFS-Assets/CMD/product-images/spe-hypersep-c18.jpg,https://www.thermofisher.com/products/spe/hypersepc18-500mg-6ml,,,,,C18,,,,,,
