productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
WATE-DB-1-15m-0.25mm-0.25um,DB-1-15m-0.25mm-0.25um,Waters,DB-1 GC Column 15m x 0.25mm x 0.25µm,"DB-1 GC Column 15m x 0.25mm x 0.25µm; Series: DB-1; Specifications: Column Length: 15m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.waters.com/webassets/cms/library/images/products/gc-db-1.jpg,https://www.waters.com/products/gc/db-1-15m-0.25mm-0.25um,,,15000,0.25,DB-1,,,,,,320°C
WATE-DB-1-30m-0.25mm-0.25um,DB-1-30m-0.25mm-0.25um,Waters,DB-1 GC Column 30m x 0.25mm x 0.25µm,"DB-1 GC Column 30m x 0.25mm x 0.25µm; Series: DB-1; Specifications: Column Length: 30m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.waters.com/webassets/cms/library/images/products/gc-db-1.jpg,https://www.waters.com/products/gc/db-1-30m-0.25mm-0.25um,,,30000,0.25,DB-1,,,,,,320°C
WATE-DB-1-30m-0.32mm-0.25um,DB-1-30m-0.32mm-0.25um,Waters,DB-1 GC Column 30m x 0.32mm x 0.25µm,"DB-1 GC Column 30m x 0.32mm x 0.25µm; Series: DB-1; Specifications: Column Length: 30m, Inner Diameter: 0.32mm, Film Thickness: 0.25µm",active,https://www.waters.com/webassets/cms/library/images/products/gc-db-1.jpg,https://www.waters.com/products/gc/db-1-30m-0.32mm-0.25um,,,30000,0.32,DB-1,,,,,,320°C
WATE-DB-1-60m-0.25mm-0.25um,DB-1-60m-0.25mm-0.25um,Waters,DB-1 GC Column 60m x 0.25mm x 0.25µm,"DB-1 GC Column 60m x 0.25mm x 0.25µm; Series: DB-1; Specifications: Column Length: 60m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.waters.com/webassets/cms/library/images/products/gc-db-1.jpg,https://www.waters.com/products/gc/db-1-60m-0.25mm-0.25um,,,60000,0.25,DB-1,,,,,,320°C
WATE-DB-1-60m-0.32mm-0.5um,DB-1-60m-0.32mm-0.5um,Waters,DB-1 GC Column 60m x 0.32mm x 0.5µm,"DB-1 GC Column 60m x 0.32mm x 0.5µm; Series: DB-1; Specifications: Column Length: 60m, Inner Diameter: 0.32mm, Film Thickness: 0.5µm",active,https://www.waters.com/webassets/cms/library/images/products/gc-db-1.jpg,https://www.waters.com/products/gc/db-1-60m-0.32mm-0.5um,,,60000,0.32,DB-1,,,,,,320°C
WATE-DB-5-15m-0.25mm-0.25um,DB-5-15m-0.25mm-0.25um,Waters,DB-5 GC Column 15m x 0.25mm x 0.25µm,"DB-5 GC Column 15m x 0.25mm x 0.25µm; Series: DB-5; Specifications: Column Length: 15m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.waters.com/webassets/cms/library/images/products/gc-db-5.jpg,https://www.waters.com/products/gc/db-5-15m-0.25mm-0.25um,,,15000,0.25,DB-5,,,,,,320°C
WATE-DB-5-30m-0.25mm-0.25um,DB-5-30m-0.25mm-0.25um,Waters,DB-5 GC Column 30m x 0.25mm x 0.25µm,"DB-5 GC Column 30m x 0.25mm x 0.25µm; Series: DB-5; Specifications: Column Length: 30m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.waters.com/webassets/cms/library/images/products/gc-db-5.jpg,https://www.waters.com/products/gc/db-5-30m-0.25mm-0.25um,,,30000,0.25,DB-5,,,,,,320°C
WATE-DB-5-30m-0.32mm-0.25um,DB-5-30m-0.32mm-0.25um,Waters,DB-5 GC Column 30m x 0.32mm x 0.25µm,"DB-5 GC Column 30m x 0.32mm x 0.25µm; Series: DB-5; Specifications: Column Length: 30m, Inner Diameter: 0.32mm, Film Thickness: 0.25µm",active,https://www.waters.com/webassets/cms/library/images/products/gc-db-5.jpg,https://www.waters.com/products/gc/db-5-30m-0.32mm-0.25um,,,30000,0.32,DB-5,,,,,,320°C
WATE-DB-5-60m-0.25mm-0.25um,DB-5-60m-0.25mm-0.25um,Waters,DB-5 GC Column 60m x 0.25mm x 0.25µm,"DB-5 GC Column 60m x 0.25mm x 0.25µm; Series: DB-5; Specifications: Column Length: 60m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.waters.com/webassets/cms/library/images/products/gc-db-5.jpg,https://www.waters.com/products/gc/db-5-60m-0.25mm-0.25um,,,60000,0.25,DB-5,,,,,,320°C
WATE-DB-5-60m-0.32mm-0.5um,DB-5-60m-0.32mm-0.5um,Waters,DB-5 GC Column 60m x 0.32mm x 0.5µm,"DB-5 GC Column 60m x 0.32mm x 0.5µm; Series: DB-5; Specifications: Column Length: 60m, Inner Diameter: 0.32mm, Film Thickness: 0.5µm",active,https://www.waters.com/webassets/cms/library/images/products/gc-db-5.jpg,https://www.waters.com/products/gc/db-5-60m-0.32mm-0.5um,,,60000,0.32,DB-5,,,,,,320°C
WATE-DB-5MS-15m-0.25mm-0.25um,DB-5MS-15m-0.25mm-0.25um,Waters,DB-5MS GC Column 15m x 0.25mm x 0.25µm,"DB-5MS GC Column 15m x 0.25mm x 0.25µm; Series: DB-5MS; Specifications: Column Length: 15m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.waters.com/webassets/cms/library/images/products/gc-db-5ms.jpg,https://www.waters.com/products/gc/db-5ms-15m-0.25mm-0.25um,,,15000,0.25,DB-5MS,,,,,,320°C
WATE-DB-5MS-30m-0.25mm-0.25um,DB-5MS-30m-0.25mm-0.25um,Waters,DB-5MS GC Column 30m x 0.25mm x 0.25µm,"DB-5MS GC Column 30m x 0.25mm x 0.25µm; Series: DB-5MS; Specifications: Column Length: 30m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.waters.com/webassets/cms/library/images/products/gc-db-5ms.jpg,https://www.waters.com/products/gc/db-5ms-30m-0.25mm-0.25um,,,30000,0.25,DB-5MS,,,,,,320°C
WATE-DB-5MS-30m-0.32mm-0.25um,DB-5MS-30m-0.32mm-0.25um,Waters,DB-5MS GC Column 30m x 0.32mm x 0.25µm,"DB-5MS GC Column 30m x 0.32mm x 0.25µm; Series: DB-5MS; Specifications: Column Length: 30m, Inner Diameter: 0.32mm, Film Thickness: 0.25µm",active,https://www.waters.com/webassets/cms/library/images/products/gc-db-5ms.jpg,https://www.waters.com/products/gc/db-5ms-30m-0.32mm-0.25um,,,30000,0.32,DB-5MS,,,,,,320°C
WATE-DB-5MS-60m-0.25mm-0.25um,DB-5MS-60m-0.25mm-0.25um,Waters,DB-5MS GC Column 60m x 0.25mm x 0.25µm,"DB-5MS GC Column 60m x 0.25mm x 0.25µm; Series: DB-5MS; Specifications: Column Length: 60m, Inner Diameter: 0.25mm, Film Thickness: 0.25µm",active,https://www.waters.com/webassets/cms/library/images/products/gc-db-5ms.jpg,https://www.waters.com/products/gc/db-5ms-60m-0.25mm-0.25um,,,60000,0.25,DB-5MS,,,,,,320°C
WATE-DB-5MS-60m-0.32mm-0.5um,DB-5MS-60m-0.32mm-0.5um,Waters,DB-5MS GC Column 60m x 0.32mm x 0.5µm,"DB-5MS GC Column 60m x 0.32mm x 0.5µm; Series: DB-5MS; Specifications: Column Length: 60m, Inner Diameter: 0.32mm, Film Thickness: 0.5µm",active,https://www.waters.com/webassets/cms/library/images/products/gc-db-5ms.jpg,https://www.waters.com/products/gc/db-5ms-60m-0.32mm-0.5um,,,60000,0.32,DB-5MS,,,,,,320°C
