productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
WATE-OasisHLB-30mg-1ml,OasisHLB-30mg-1ml,Waters,Oasis HLB 30mg/1mL,Oasis HLB 30mg/1mL; Series: Oasis HLB; Sorbent: 30mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-30mg-1ml,,,,,HLB,,,,,,
WATE-OasisHLB-30mg-3ml,OasisHLB-30mg-3ml,Waters,Oasis HLB 30mg/3mL,Oasis HLB 30mg/3mL; Series: Oasis HLB; Sorbent: 30mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-30mg-3ml,,,,,HLB,,,,,,
WATE-OasisHLB-30mg-6ml,OasisHLB-30mg-6ml,Waters,Oasis HLB 30mg/6mL,Oasis HLB 30mg/6mL; Series: Oasis HLB; Sorbent: 30mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-30mg-6ml,,,,,HLB,,,,,,
WATE-OasisHLB-60mg-1ml,OasisHLB-60mg-1ml,Waters,Oasis HLB 60mg/1mL,Oasis HLB 60mg/1mL; Series: Oasis HLB; Sorbent: 60mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-60mg-1ml,,,,,HLB,,,,,,
WATE-OasisHLB-60mg-3ml,OasisHLB-60mg-3ml,Waters,Oasis HLB 60mg/3mL,Oasis HLB 60mg/3mL; Series: Oasis HLB; Sorbent: 60mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-60mg-3ml,,,,,HLB,,,,,,
WATE-OasisHLB-60mg-6ml,OasisHLB-60mg-6ml,Waters,Oasis HLB 60mg/6mL,Oasis HLB 60mg/6mL; Series: Oasis HLB; Sorbent: 60mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-60mg-6ml,,,,,HLB,,,,,,
WATE-OasisHLB-100mg-1ml,OasisHLB-100mg-1ml,Waters,Oasis HLB 100mg/1mL,Oasis HLB 100mg/1mL; Series: Oasis HLB; Sorbent: 100mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-100mg-1ml,,,,,HLB,,,,,,
WATE-OasisHLB-100mg-3ml,OasisHLB-100mg-3ml,Waters,Oasis HLB 100mg/3mL,Oasis HLB 100mg/3mL; Series: Oasis HLB; Sorbent: 100mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-100mg-3ml,,,,,HLB,,,,,,
WATE-OasisHLB-100mg-6ml,OasisHLB-100mg-6ml,Waters,Oasis HLB 100mg/6mL,Oasis HLB 100mg/6mL; Series: Oasis HLB; Sorbent: 100mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-100mg-6ml,,,,,HLB,,,,,,
WATE-OasisHLB-200mg-1ml,OasisHLB-200mg-1ml,Waters,Oasis HLB 200mg/1mL,Oasis HLB 200mg/1mL; Series: Oasis HLB; Sorbent: 200mg; Volume: 1mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-200mg-1ml,,,,,HLB,,,,,,
WATE-OasisHLB-200mg-3ml,OasisHLB-200mg-3ml,Waters,Oasis HLB 200mg/3mL,Oasis HLB 200mg/3mL; Series: Oasis HLB; Sorbent: 200mg; Volume: 3mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-200mg-3ml,,,,,HLB,,,,,,
WATE-OasisHLB-200mg-6ml,OasisHLB-200mg-6ml,Waters,Oasis HLB 200mg/6mL,Oasis HLB 200mg/6mL; Series: Oasis HLB; Sorbent: 200mg; Volume: 6mL; SPE Cartridge for Sample Preparation,active,https://www.waters.com/webassets/cms/library/images/products/spe-oasis-hlb.jpg,https://www.waters.com/products/spe/oasishlb-200mg-6ml,,,,,HLB,,,,,,
