productId,partNumber,brand,name,description,status,imageUrl,catalogUrl,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,usp,maxPressure,maxTemperature
YMC-Vial-ClearGlass-0.3ml-8mm,Vial-ClearGlass-0.3ml-8mm,YMC,Clear Glass Vial 0.3mL 8mm,Clear Glass Vial 0.3mL 8mm; Type: Clear Glass; Volume: 0.3mL; Neck Size: 8mm; Autosampler Vial,active,https://www.ymc.co.jp/en/products/images/vial-clear-glass.jpg,https://www.ymc.co.jp/products/vials/vial-clearglass-0.3ml-8mm,,,,,,,,,,,
YMC-Vial-ClearGlass-0.3ml-9mm,Vial-ClearGlass-0.3ml-9mm,YMC,Clear Glass Vial 0.3mL 9mm,Clear Glass Vial 0.3mL 9mm; Type: Clear Glass; Volume: 0.3mL; Neck Size: 9mm; Autosampler Vial,active,https://www.ymc.co.jp/en/products/images/vial-clear-glass.jpg,https://www.ymc.co.jp/products/vials/vial-clearglass-0.3ml-9mm,,,,,,,,,,,
YMC-Vial-ClearGlass-0.3ml-11mm,Vial-ClearGlass-0.3ml-11mm,YMC,Clear Glass Vial 0.3mL 11mm,Clear Glass Vial 0.3mL 11mm; Type: Clear Glass; Volume: 0.3mL; Neck Size: 11mm; Autosampler Vial,active,https://www.ymc.co.jp/en/products/images/vial-clear-glass.jpg,https://www.ymc.co.jp/products/vials/vial-clearglass-0.3ml-11mm,,,,,,,,,,,
YMC-Vial-ClearGlass-0.3ml-13mm,Vial-ClearGlass-0.3ml-13mm,YMC,Clear Glass Vial 0.3mL 13mm,Clear Glass Vial 0.3mL 13mm; Type: Clear Glass; Volume: 0.3mL; Neck Size: 13mm; Autosampler Vial,active,https://www.ymc.co.jp/en/products/images/vial-clear-glass.jpg,https://www.ymc.co.jp/products/vials/vial-clearglass-0.3ml-13mm,,,,,,,,,,,
YMC-Vial-ClearGlass-1.0ml-8mm,Vial-ClearGlass-1.0ml-8mm,YMC,Clear Glass Vial 1.0mL 8mm,Clear Glass Vial 1.0mL 8mm; Type: Clear Glass; Volume: 1.0mL; Neck Size: 8mm; Autosampler Vial,active,https://www.ymc.co.jp/en/products/images/vial-clear-glass.jpg,https://www.ymc.co.jp/products/vials/vial-clearglass-1.0ml-8mm,,,,,,,,,,,
YMC-Vial-ClearGlass-1.0ml-9mm,Vial-ClearGlass-1.0ml-9mm,YMC,Clear Glass Vial 1.0mL 9mm,Clear Glass Vial 1.0mL 9mm; Type: Clear Glass; Volume: 1.0mL; Neck Size: 9mm; Autosampler Vial,active,https://www.ymc.co.jp/en/products/images/vial-clear-glass.jpg,https://www.ymc.co.jp/products/vials/vial-clearglass-1.0ml-9mm,,,,,,,,,,,
YMC-Vial-ClearGlass-1.0ml-11mm,Vial-ClearGlass-1.0ml-11mm,YMC,Clear Glass Vial 1.0mL 11mm,Clear Glass Vial 1.0mL 11mm; Type: Clear Glass; Volume: 1.0mL; Neck Size: 11mm; Autosampler Vial,active,https://www.ymc.co.jp/en/products/images/vial-clear-glass.jpg,https://www.ymc.co.jp/products/vials/vial-clearglass-1.0ml-11mm,,,,,,,,,,,
YMC-Vial-ClearGlass-1.0ml-13mm,Vial-ClearGlass-1.0ml-13mm,YMC,Clear Glass Vial 1.0mL 13mm,Clear Glass Vial 1.0mL 13mm; Type: Clear Glass; Volume: 1.0mL; Neck Size: 13mm; Autosampler Vial,active,https://www.ymc.co.jp/en/products/images/vial-clear-glass.jpg,https://www.ymc.co.jp/products/vials/vial-clearglass-1.0ml-13mm,,,,,,,,,,,
YMC-Vial-ClearGlass-1.5ml-8mm,Vial-ClearGlass-1.5ml-8mm,YMC,Clear Glass Vial 1.5mL 8mm,Clear Glass Vial 1.5mL 8mm; Type: Clear Glass; Volume: 1.5mL; Neck Size: 8mm; Autosampler Vial,active,https://www.ymc.co.jp/en/products/images/vial-clear-glass.jpg,https://www.ymc.co.jp/products/vials/vial-clearglass-1.5ml-8mm,,,,,,,,,,,
YMC-Vial-ClearGlass-1.5ml-9mm,Vial-ClearGlass-1.5ml-9mm,YMC,Clear Glass Vial 1.5mL 9mm,Clear Glass Vial 1.5mL 9mm; Type: Clear Glass; Volume: 1.5mL; Neck Size: 9mm; Autosampler Vial,active,https://www.ymc.co.jp/en/products/images/vial-clear-glass.jpg,https://www.ymc.co.jp/products/vials/vial-clearglass-1.5ml-9mm,,,,,,,,,,,
