productId,partNumber,brand,name
AGIL-0100-2637,0100-2637,Agilent,"Nut and ferrule, stainless steel, 1/8 inch, for sample loop for switching valve"
AGIL-01002637,0100-2637,Agilent,"Nut and ferrule, stainless steel, 1/8 inch, for sample loop for switching valve"
AGIL-0101867305,01018-67305,Agilent,Capillary stainless steel 0.25 x 700 mm S/S ps/ns
AGIL-01018-67305,01018-67305,Agilent,Capillary stainless steel 0.25 x 700 mm S/S ps/ns
AGIL-01080-83202,01080-83202,Agilent,"Blanking Nut, Adapter, Hose Connector"
AGIL-0108083202,01080-83202,Agilent,"Blanking Nut, Adapter, Hose Connector"
AGIL-0109087305,01090-87305,Agilent,HPLC Tubing 0.17mm ID x 130mm
AGIL-08901761,0890-1761,Agilent,HPLC PEEK Tubing 0.5mm ID x 1.6mm OD x 1500mm
AGIL-08901762,0890-1762,Agilent,"Tubing, PEEK, 1.6 mm od, 0.25 mm id, 1.5 m. Blue"
AGIL-0890-1762,0890-1762,Agilent,"Tubing, PEEK, 1.6 mm od, 0.25 mm id, 1.5 m. Blue"
AGIL-08901763,0890-1763,Agilent,HPLC PEEK Tubing 0.18mm ID x 1.6mm OD x 1500mm
AGIL-08901915,0890-1915,Agilent,HPLC PEEK Tubing 0.13mm ID x 1.6mm OD x 1500mm
AGIL-08901921,0890-1921,Agilent,HPLC PEEK Tubing 0.8mm ID x 1.6mm OD x 1500mm
AGIL-08901962,0890-1962,Agilent,HPLC Tubing
AGIL-121-1012,121-1012,Agilent,"DB-1 GC Column - L:10 m, ID:0.18 mm, FT:0.18 µm"
