productId,partNumber,brand,name,description,descriptionQuality,specifications
DAIC-80511,80511,Daicel,"80511
CHIRALPAK® IA","CHIRALPAK® IA-3 4.0x10mm, 3 micron. Guard Cartridges (3) Compatible with HPLC (Normal Phase and Reversed-Phase) and SFC",medium,"{""Techniques"": ""Analytical columns - SFC mode, Analytical columns - HPLC mode - Normal Phase, Analytical columns - HPLC mode - Reversed-Phase, Analytical columns - Guards, Cartridges, Holders, Other, Column Accessories"", ""Selectors"": ""Immobilized Polysaccharide phases"", ""Particle Size"": ""3 μm"", ""Inner Diameter"": ""4.0 mm"", ""Column Length"": ""10 mm"", ""Product Series"": ""CHIRALPAK® IA""}"
DAIC-80522,80522,Daicel,"80522
CHIRALPAK® IA","CHIRALPAK® IA-3 4.6x50mm, 3 micron. Compatible with HPLC (Normal Phase and Reversed-Phase) and SFC",low,"{""Techniques"": ""Analytical columns - SFC mode, Analytical columns - HPLC mode - Normal Phase, Analytical columns - HPLC mode - Reversed-Phase"", ""Selectors"": ""Immobilized Polysaccharide phases"", ""Particle Size"": ""3 μm"", ""Inner Diameter"": ""4.6 mm"", ""Column Length"": ""50 mm"", ""Product Series"": ""CHIRALPAK® IA""}"
DAIC-80523,80523,Daicel,"80523
CHIRALPAK® IA","CHIRALPAK® IA-3 4.6x100mm, 3 micron. Compatible with HPLC (Normal Phase and Reversed-Phase) and SFC",low,"{""Techniques"": ""Analytical columns - SFC mode, Analytical columns - HPLC mode - Normal Phase, Analytical columns - HPLC mode - Reversed-Phase"", ""Selectors"": ""Immobilized Polysaccharide phases"", ""Particle Size"": ""3 μm"", ""Inner Diameter"": ""4.6 mm"", ""Column Length"": ""100 mm"", ""Product Series"": ""CHIRALPAK® IA""}"
DAIC-80524,80524,Daicel,"80524
CHIRALPAK® IA","CHIRALPAK® IA-3 4.6x150mm, 3 micron. Compatible with HPLC (Normal Phase and Reversed-Phase) and SFC",low,"{""Techniques"": ""Analytical columns - SFC mode, Analytical columns - HPLC mode - Normal Phase, Analytical columns - HPLC mode - Reversed-Phase"", ""Selectors"": ""Immobilized Polysaccharide phases"", ""Particle Size"": ""3 μm"", ""Inner Diameter"": ""4.6 mm"", ""Column Length"": ""150 mm"", ""Product Series"": ""CHIRALPAK® IA""}"
DAIC-80525,80525,Daicel,"80525
CHIRALPAK® IA","CHIRALPAK® IA-3 4.6x250mm, 3 micron. Compatible with HPLC (Normal Phase and Reversed-Phase) and SFC",low,"{""Techniques"": ""Analytical columns - SFC mode, Analytical columns - HPLC mode - Normal Phase, Analytical columns - HPLC mode - Reversed-Phase"", ""Selectors"": ""Immobilized Polysaccharide phases"", ""Particle Size"": ""3 μm"", ""Inner Diameter"": ""4.6 mm"", ""Column Length"": ""250 mm"", ""Product Series"": ""CHIRALPAK® IA""}"
DAIC-80594,80594,Daicel,"80594
CHIRALPAK® IA","CHIRALPAK® IA-3 2.1x150mm, 3 micron. Compatible with HPLC and UHPLC (Normal Phase and Reversed-Phase) and SFC",medium,"{""Techniques"": ""Analytical columns - SFC mode, Analytical columns - HPLC mode - Normal Phase, Analytical columns - HPLC mode - Reversed-Phase, Analytical columns - UHPLC mode"", ""Selectors"": ""Immobilized Polysaccharide phases"", ""Particle Size"": ""3 μm"", ""Inner Diameter"": ""2.1 mm"", ""Column Length"": ""150 mm"", ""Product Series"": ""CHIRALPAK® IA""}"
DAIC-80595,80595,Daicel,"80595
CHIRALPAK® IA","CHIRALPAK® IA-3 2.1x250mm, 3 micron. Compatible with HPLC and UHPLC (Normal Phase and Reversed-Phase) and SFC",medium,"{""Techniques"": ""Analytical columns - SFC mode, Analytical columns - HPLC mode - Normal Phase, Analytical columns - HPLC mode - Reversed-Phase, Analytical columns - UHPLC mode"", ""Selectors"": ""Immobilized Polysaccharide phases"", ""Particle Size"": ""3 μm"", ""Inner Diameter"": ""2.1 mm"", ""Column Length"": ""250 mm"", ""Product Series"": ""CHIRALPAK® IA""}"
DAIC-81511,81511,Daicel,81511,"CHIRALPAK® IB-3 4.0x10mm, 3 micron. Guard Cartridges (3) Compatible with HPLC (Normal Phase and Reversed-Phase) and SFC",medium,"{""Techniques"": ""Analytical columns - SFC mode, Analytical columns - HPLC mode - Normal Phase, Analytical columns - HPLC mode - Reversed-Phase, Analytical columns - Guards, Cartridges, Holders, Other, Column Accessories"", ""Selectors"": ""Immobilized Polysaccharide phases"", ""Particle Size"": ""3 μm"", ""Inner Diameter"": ""4.0 mm"", ""Column Length"": ""10 mm""}"
DAIC-81522,81522,Daicel,CHIRALPAK® IB,"CHIRALPAK® IB-3 4.6x50mm, 3 micron. Compatible with HPLC (Normal Phase and Reversed-Phase) and SFC",low,"{""Techniques"": ""Analytical columns - SFC mode, Analytical columns - HPLC mode - Normal Phase, Analytical columns - HPLC mode - Reversed-Phase"", ""Selectors"": ""Immobilized Polysaccharide phases"", ""Particle Size"": ""3 μm"", ""Inner Diameter"": ""4.6 mm"", ""Column Length"": ""50 mm"", ""Product Series"": ""CHIRALPAK® IB""}"
DAIC-81523,81523,Daicel,CHIRALPAK® IB,"CHIRALPAK® IB-3 4.6x100mm, 3 micron. Compatible with HPLC (Normal Phase and Reversed-Phase) and SFC",low,"{""Techniques"": ""Analytical columns - SFC mode, Analytical columns - HPLC mode - Normal Phase, Analytical columns - HPLC mode - Reversed-Phase"", ""Selectors"": ""Immobilized Polysaccharide phases"", ""Particle Size"": ""3 μm"", ""Inner Diameter"": ""4.6 mm"", ""Column Length"": ""100 mm"", ""Product Series"": ""CHIRALPAK® IB""}"
