productId,partNumber,brand,name
"DAIC-80511","80511","Daicel","CHIRALPAK® IA-3 Guard cartridge ( ×3 )"
"DAIC-80522","80522","Daicel","CHIRALPAK® IA-3 Analytical column"
"DAIC-80523","80523","Daicel","CHIRALPAK® IA-3 Analytical column"
"DAIC-80524","80524","Daicel","CHIRALPAK® IA-3 Analytical column"
"DAIC-80525","80525","Daicel","CHIRALPAK® IA"
"DAIC-80594","80594","Daicel","CHIRALPAK® IA-3 Analytical column"
"DAIC-80595","80595","Daicel","CHIRALPAK® IA-3 Analytical column"
"DAIC-81511","81511","Daicel","CHIRALPAK® IB-3 Guard cartridge ( ×3 )"
"DAIC-81522","81522","Daicel","CHIRALPAK® IB-3 Analytical column"
"DAIC-81523","81523","Daicel","CHIRALPAK® IB-3 Analytical column"
"DAIC-81524","81524","Daicel","CHIRALPAK® IB-3 Analytical column"
"DAIC-81525","81525","Daicel","CHIRALPAK® IB-3 Analytical column"
"DAIC-81594","81594","Daicel","CHIRALPAK® IB-3 Analytical column"
"DAIC-81595","81595","Daicel","CHIRALPAK® IB-3 Analytical column"
"DAIC-88511","88511","Daicel","CHIRALPAK® IB N-3 Analytical column"
"DAIC-88522","88522","Daicel","CHIRALPAK® IB N-3 Analytical column"
"DAIC-88523","88523","Daicel","CHIRALPAK® IB N-3 4.6x100mm, 3µm Column"
"DAIC-88524","88524","Daicel","CHIRALPAK® IB N-3"
"DAIC-88525","88525","Daicel","CHIRALPAK® IB N-3 Analytical column"
"DAIC-88594","88594","Daicel","CHIRALPAK® IB N-3 Analytical column"
"DAIC-88595","88595","Daicel","CHIRALPAK® IB N-3 Analytical column"
"DAIC-83511","83511","Daicel","CHIRALPAK® IC-3 Guard cartridge ( ×3 )"
"DAIC-83522","83522","Daicel","CHIRALPAK® IC-3 Analytical column"
"DAIC-83523","83523","Daicel","CHIRALPAK® IC-3 Analytical column"
"DAIC-83524","83524","Daicel","CHIRALPAK® IC-3 Analytical column"
"DAIC-83525","83525","Daicel","CHIRALPAK® IB N-3 Analytical column"
"DAIC-83594","83594","Daicel","CHIRALPAK® IC-3 Analytical column"
"DAIC-83595","83595","Daicel","CHIRALPAK® IC-3 Analytical column"
"DAIC-84511","84511","Daicel","CHIRALPAK® ID-3 Guard cartridge ( ×3 )"
"DAIC-84522","84522","Daicel","CHIRALPAK® ID-3 Analytical column"
"DAIC-84523","84523","Daicel","CHIRALPAK® ID-3 Analytical column"
"DAIC-84524","84524","Daicel","CHIRALPAK® ID-3 Analytical column"
"DAIC-84525","84525","Daicel","CHIRALPAK® ID-3 Analytical column"
"DAIC-84594","84594","Daicel","CHIRALPAK® ID-3 Analytical column"
"DAIC-84595","84595","Daicel","CHIRALPAK® ID-3 Analytical column"
"DAIC-85511","85511","Daicel","CHIRALPAK® IE-3 Guard cartridge ( ×3 )"
"DAIC-85522","85522","Daicel","CHIRALPAK® IE-3 Analytical column"
"DAIC-85523","85523","Daicel","CHIRALPAK® IE-3 Analytical column"
"DAIC-85524","85524","Daicel","CHIRALPAK® IE-3 Analytical column"
"DAIC-85525","85525","Daicel","CHIRALPAK® IE-3 Analytical column"
"DAIC-85594","85594","Daicel","CHIRALPAK® IE-3 Analytical column"
"DAIC-85595","85595","Daicel","CHIRALPAK® IE-3 Analytical column"
"DAIC-86511","86511","Daicel","CHIRALPAK® IF-3 Guard cartridge ( ×3 )"
"DAIC-86522","86522","Daicel","CHIRALPAK® IF-3 Analytical column"
"DAIC-86523","86523","Daicel","CHIRALPAK® IF-3 Analytical column"
"DAIC-86524","86524","Daicel","CHIRALPAK® IF-3 Analytical column"
"DAIC-86525","86525","Daicel","CHIRALPAK® IF-3 Analytical column"
"DAIC-86594","86594","Daicel","CHIRALPAK® IF-3 Analytical column"
"DAIC-86595","86595","Daicel","CHIRALPAK® IF-3 Analytical column"
"DAIC-87511","87511","Daicel","CHIRALPAK® IG-3 Guard cartridge ( ×3 )"
"DAIC-87522","87522","Daicel","CHIRALPAK® IG-3 Analytical column"
"DAIC-87523","87523","Daicel","CHIRALPAK® IG-3 Analytical column"
"DAIC-87524","87524","Daicel","CHIRALPAK® IG-3 Analytical column"
"DAIC-87525","87525","Daicel","CHIRALPAK® IG-3 Analytical column"
"DAIC-87594","87594","Daicel","CHIRALPAK® IG-3 Analytical column"
"DAIC-87595","87595","Daicel","CHIRALPAK® IG-3 Analytical column"
"DAIC-89511","89511","Daicel","CHIRALPAK® IH-3 Guard cartridge ( ×3 )"
"DAIC-89522","89522","Daicel","CHIRALPAK® IH-3 Analytical column"
"DAIC-89523","89523","Daicel","CHIRALPAK® IH-3 Analytical column"
"DAIC-89524","89524","Daicel","CHIRALPAK® IH-3 Analytical column"
"DAIC-89525","89525","Daicel","CHIRALPAK® IH-3 Analytical column"
"DAIC-89594","89594","Daicel","CHIRALPAK® IH-3 Analytical column"
