productId,partNumber,brand,name,description,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,maxPressure,maxTemperature,usp,imageUrl,catalogUrl,status
PHEN-Filter-PTFE-0.1um-4mm,Filter-PTFE-0.1um-4mm,Phenomenex,PTFE Syringe Filter 0.1µm 4mm,"PTFE Syringe Filter 0.1µm 4mm; Series: PTFE Syringe Filters; Specifications: Pore Size: 01Å; PTFE membrane, 0.1µm pore size, 4mm diameter, hydrophobic",,01,,,,,,,,,,,,active
PHEN-Filter-PTFE-0.1um-13mm,Filter-PTFE-0.1um-13mm,Phenomenex,PTFE Syringe Filter 0.1µm 13mm,"PTFE Syringe Filter 0.1µm 13mm; Series: PTFE Syringe Filters; Specifications: Pore Size: 01Å; PTFE membrane, 0.1µm pore size, 13mm diameter, hydrophobic",,01,,,,,,,,,,,,active
PHEN-Filter-PTFE-0.1um-25mm,Filter-PTFE-0.1um-25mm,Phenomenex,PTFE Syringe Filter 0.1µm 25mm,"PTFE Syringe Filter 0.1µm 25mm; Series: PTFE Syringe Filters; Specifications: Pore Size: 01Å; PTFE membrane, 0.1µm pore size, 25mm diameter, hydrophobic",,01,,,,,,,,,,,,active
PHEN-Filter-PTFE-0.1um-33mm,Filter-PTFE-0.1um-33mm,Phenomenex,PTFE Syringe Filter 0.1µm 33mm,"PTFE Syringe Filter 0.1µm 33mm; Series: PTFE Syringe Filters; Specifications: Pore Size: 01Å; PTFE membrane, 0.1µm pore size, 33mm diameter, hydrophobic",,01,,,,,,,,,,,,active
PHEN-Filter-PTFE-0.2um-4mm,Filter-PTFE-0.2um-4mm,Phenomenex,PTFE Syringe Filter 0.2µm 4mm,"PTFE Syringe Filter 0.2µm 4mm; Series: PTFE Syringe Filters; Specifications: Pore Size: 02Å; PTFE membrane, 0.2µm pore size, 4mm diameter, hydrophobic",,02,,,,,,,,,,,,active
PHEN-Filter-PTFE-0.2um-13mm,Filter-PTFE-0.2um-13mm,Phenomenex,PTFE Syringe Filter 0.2µm 13mm,"PTFE Syringe Filter 0.2µm 13mm; Series: PTFE Syringe Filters; Specifications: Pore Size: 02Å; PTFE membrane, 0.2µm pore size, 13mm diameter, hydrophobic",,02,,,,,,,,,,,,active
PHEN-Filter-PTFE-0.2um-25mm,Filter-PTFE-0.2um-25mm,Phenomenex,PTFE Syringe Filter 0.2µm 25mm,"PTFE Syringe Filter 0.2µm 25mm; Series: PTFE Syringe Filters; Specifications: Pore Size: 02Å; PTFE membrane, 0.2µm pore size, 25mm diameter, hydrophobic",,02,,,,,,,,,,,,active
PHEN-Filter-PTFE-0.2um-33mm,Filter-PTFE-0.2um-33mm,Phenomenex,PTFE Syringe Filter 0.2µm 33mm,"PTFE Syringe Filter 0.2µm 33mm; Series: PTFE Syringe Filters; Specifications: Pore Size: 02Å; PTFE membrane, 0.2µm pore size, 33mm diameter, hydrophobic",,02,,,,,,,,,,,,active
PHEN-Filter-PTFE-0.22um-4mm,Filter-PTFE-0.22um-4mm,Phenomenex,PTFE Syringe Filter 0.22µm 4mm,"PTFE Syringe Filter 0.22µm 4mm; Series: PTFE Syringe Filters; Specifications: Pore Size: 022Å; PTFE membrane, 0.22µm pore size, 4mm diameter, hydrophobic",,022,,,,,,,,,,,,active
PHEN-Filter-PTFE-0.22um-13mm,Filter-PTFE-0.22um-13mm,Phenomenex,PTFE Syringe Filter 0.22µm 13mm,"PTFE Syringe Filter 0.22µm 13mm; Series: PTFE Syringe Filters; Specifications: Pore Size: 022Å; PTFE membrane, 0.22µm pore size, 13mm diameter, hydrophobic",,022,,,,,,,,,,,,active
