productId,partNumber,brand,name,description,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,maxPressure,maxTemperature,usp,imageUrl,catalogUrl,status
PHEN-ZB-1MS-30-0.25,ZB-1MS-30-0.25,Phenomenex,Zebron ZB-1MS GC Column 30m x 0.25mm,Zebron ZB-1MS GC Column 30m x 0.25mm; Series: Zebron ZB-1MS; Phase Type: Dimethylpolysiloxane; Dimensions: 30 x 0.25 mm; Category: GC Column; Very low bleed (MS Certified) especially suited to high sensitivity GC-MS,,,30,0.25,Dimethylpolysiloxane,,,,,,,,,active
PHEN-ZB-5MS-30-0.25,ZB-5MS-30-0.25,Phenomenex,Zebron ZB-5MS GC Column 30m x 0.25mm,Zebron ZB-5MS GC Column 30m x 0.25mm; Series: Zebron ZB-5MS; Phase Type: 5% Phenyl Polysilphenylene-siloxane; Dimensions: 30 x 0.25 mm; Category: GC Column; Enhanced resolution for PAHs with improved sensitivity,,,30,0.25,5% Phenyl Polysilphenylene-siloxane,,,,,,,,,active
PHEN-ZB-WAX-30-0.25,ZB-WAX-30-0.25,Phenomenex,Zebron ZB-WAX GC Column 30m x 0.25mm,Zebron ZB-WAX GC Column 30m x 0.25mm; Series: Zebron ZB-WAX; Phase Type: Polyethylene Glycol; Dimensions: 30 x 0.25 mm; Category: GC Column; Separate polar complex mixtures for profiling and fingerprinting,,,30,0.25,Polyethylene Glycol,,,,,,,,,active
PHEN-ZB-624-30-0.25,ZB-624-30-0.25,Phenomenex,Zebron ZB-624 GC Column 30m x 0.25mm,Zebron ZB-624 GC Column 30m x 0.25mm; Series: Zebron ZB-624; Phase Type: 6% Cyanopropylphenyl/94% Dimethylpolysiloxane; Dimensions: 30 x 0.25 mm; Category: GC Column; Well suited for residual solvent analysis,,,30,0.25,6% Cyanopropylphenyl/94% Dimethylpolysiloxane,,,,,,,,,active
PHEN-ZB-FFAP-30-0.25,ZB-FFAP-30-0.25,Phenomenex,Zebron ZB-FFAP GC Column 30m x 0.25mm,"Zebron ZB-FFAP GC Column 30m x 0.25mm; Series: Zebron ZB-FFAP; Phase Type: Nitroterephthalic acid modified polyethylene glycol; Dimensions: 30 x 0.25 mm; Category: GC Column; Improved peak shape for organic acids, fatty acids, and alcohols",,,30,0.25,Nitroterephthalic acid modified polyethylene glycol,,,,,,,,,active
PHEN-ZB-1701-30-0.25,ZB-1701-30-0.25,Phenomenex,Zebron ZB-1701 GC Column 30m x 0.25mm,Zebron ZB-1701 GC Column 30m x 0.25mm; Series: Zebron ZB-1701; Phase Type: 7% Cyanopropylphenyl/7% Phenyl/86% Dimethylpolysiloxane; Dimensions: 30 x 0.25 mm; Category: GC Column; Versatile mid-polarity column for general purpose GC,,,30,0.25,7% Cyanopropylphenyl/7% Phenyl/86% Dimethylpolysiloxane,,,,,,,,,active
PHEN-ZB-5MSplus-30-0.25,ZB-5MSplus-30-0.25,Phenomenex,Zebron ZB-5MSplus GC Column 30m x 0.25mm,Zebron ZB-5MSplus GC Column 30m x 0.25mm; Series: Zebron ZB-5MSplus; Phase Type: 5% Phenyl Arylene/95% Dimethylpolysiloxane; Dimensions: 30 x 0.25 mm; Category: GC Column; Versatile 5% phenyl-arylene selectivity with improved sensitivity,,,30,0.25,5% Phenyl Arylene/95% Dimethylpolysiloxane,,,,,,,,,active
PHEN-ZB-WAXplus-30-0.25,ZB-WAXplus-30-0.25,Phenomenex,Zebron ZB-WAXplus GC Column 30m x 0.25mm,Zebron ZB-WAXplus GC Column 30m x 0.25mm; Series: Zebron ZB-WAXplus; Phase Type: Polyethylene Glycol; Dimensions: 30 x 0.25 mm; Category: GC Column; 100% aqueous stable and great for low boiling point solvents,,,30,0.25,Polyethylene Glycol,,,,,,,,,active
PHEN-ZB-1HT-30-0.25,ZB-1HT-30-0.25,Phenomenex,Zebron ZB-1HT Inferno GC Column 30m x 0.25mm,"Zebron ZB-1HT Inferno GC Column 30m x 0.25mm; Series: Zebron ZB-1HT; Phase Type: Dimethylpolysiloxane; Dimensions: 30 x 0.25 mm; Category: GC Column; Rugged and reliable for high boilers, contaminants, and carryover",,,30,0.25,Dimethylpolysiloxane,,,,,430°C,,,,active
PHEN-ZB-35-30-0.25,ZB-35-30-0.25,Phenomenex,Zebron ZB-35 GC Column 30m x 0.25mm,Zebron ZB-35 GC Column 30m x 0.25mm; Series: Zebron ZB-35; Phase Type: 35% Phenyl/65% Dimethylpolysiloxane; Dimensions: 30 x 0.25 mm; Category: GC Column; Mid-polarity column for steroids and drug analysis,,,30,0.25,35% Phenyl/65% Dimethylpolysiloxane,,,,,,,,,active
PHEN-ZB-FAME-30-0.25,ZB-FAME-30-0.25,Phenomenex,Zebron ZB-FAME GC Column 30m x 0.25mm,Zebron ZB-FAME GC Column 30m x 0.25mm; Series: Zebron ZB-FAME; Phase Type: Cyanopropyl Polysilphenylene-siloxane; Dimensions: 30 x 0.25 mm; Category: GC Column; Designed for fatty acid methyl ester analysis,,,30,0.25,Cyanopropyl Polysilphenylene-siloxane,,,,,,,,,active
PHEN-ZB-Drug-1-30-0.25,ZB-Drug-1-30-0.25,Phenomenex,Zebron ZB-Drug-1 GC Column 30m x 0.25mm,Zebron ZB-Drug-1 GC Column 30m x 0.25mm; Series: Zebron ZB-Drug-1; Phase Type: 5% Phenyl Arylene/95% Dimethylpolysiloxane; Dimensions: 30 x 0.25 mm; Category: GC Column; Optimized for drug screening and confirmation,,,30,0.25,5% Phenyl Arylene/95% Dimethylpolysiloxane,,,,,,,,,active
