productId,partNumber,brand,name,description,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,maxPressure,maxTemperature,usp,imageUrl,catalogUrl,status
PHEN-Luna-C18-3um-30x1.0,Luna-C18-3um-30x1.0,Phenomenex,Luna 3 µm C18(2) 100 Å,"Luna 3 µm C18(2) 100 Å; Series: Luna C18(2) 3 µm; Specifications: Particle Size: 3 µm, Phase Type: C18(2), Pore Size: 100Å, Dimensions: 30 x 1.0 mm",3,100,30,1.0,C18(2),2,9,2-9,400 bar,,L1,,,active
PHEN-Luna-C18-3um-30x2.0,Luna-C18-3um-30x2.0,Phenomenex,Luna 3 µm C18(2) 100 Å,"Luna 3 µm C18(2) 100 Å; Series: Luna C18(2) 3 µm; Specifications: Particle Size: 3 µm, Phase Type: C18(2), Pore Size: 100Å, Dimensions: 30 x 2.0 mm",3,100,30,2.0,C18(2),2,9,2-9,400 bar,,L1,,,active
PHEN-Luna-C18-3um-30x2.1,Luna-C18-3um-30x2.1,Phenomenex,Luna 3 µm C18(2) 100 Å,"Luna 3 µm C18(2) 100 Å; Series: Luna C18(2) 3 µm; Specifications: Particle Size: 3 µm, Phase Type: C18(2), Pore Size: 100Å, Dimensions: 30 x 2.1 mm",3,100,30,2.1,C18(2),2,9,2-9,400 bar,,L1,,,active
PHEN-Luna-C18-3um-30x3.0,Luna-C18-3um-30x3.0,Phenomenex,Luna 3 µm C18(2) 100 Å,"Luna 3 µm C18(2) 100 Å; Series: Luna C18(2) 3 µm; Specifications: Particle Size: 3 µm, Phase Type: C18(2), Pore Size: 100Å, Dimensions: 30 x 3.0 mm",3,100,30,3.0,C18(2),2,9,2-9,400 bar,,L1,,,active
PHEN-Luna-C18-3um-30x4.6,Luna-C18-3um-30x4.6,Phenomenex,Luna 3 µm C18(2) 100 Å,"Luna 3 µm C18(2) 100 Å; Series: Luna C18(2) 3 µm; Specifications: Particle Size: 3 µm, Phase Type: C18(2), Pore Size: 100Å, Dimensions: 30 x 4.6 mm",3,100,30,4.6,C18(2),2,9,2-9,400 bar,,L1,,,active
PHEN-Luna-C18-3um-50x1.0,Luna-C18-3um-50x1.0,Phenomenex,Luna 3 µm C18(2) 100 Å,"Luna 3 µm C18(2) 100 Å; Series: Luna C18(2) 3 µm; Specifications: Particle Size: 3 µm, Phase Type: C18(2), Pore Size: 100Å, Dimensions: 50 x 1.0 mm",3,100,50,1.0,C18(2),2,9,2-9,400 bar,,L1,,,active
PHEN-Luna-C18-3um-50x2.0,Luna-C18-3um-50x2.0,Phenomenex,Luna 3 µm C18(2) 100 Å,"Luna 3 µm C18(2) 100 Å; Series: Luna C18(2) 3 µm; Specifications: Particle Size: 3 µm, Phase Type: C18(2), Pore Size: 100Å, Dimensions: 50 x 2.0 mm",3,100,50,2.0,C18(2),2,9,2-9,400 bar,,L1,,,active
PHEN-Luna-C18-3um-50x2.1,Luna-C18-3um-50x2.1,Phenomenex,Luna 3 µm C18(2) 100 Å,"Luna 3 µm C18(2) 100 Å; Series: Luna C18(2) 3 µm; Specifications: Particle Size: 3 µm, Phase Type: C18(2), Pore Size: 100Å, Dimensions: 50 x 2.1 mm",3,100,50,2.1,C18(2),2,9,2-9,400 bar,,L1,,,active
PHEN-Luna-C18-3um-50x3.0,Luna-C18-3um-50x3.0,Phenomenex,Luna 3 µm C18(2) 100 Å,"Luna 3 µm C18(2) 100 Å; Series: Luna C18(2) 3 µm; Specifications: Particle Size: 3 µm, Phase Type: C18(2), Pore Size: 100Å, Dimensions: 50 x 3.0 mm",3,100,50,3.0,C18(2),2,9,2-9,400 bar,,L1,,,active
PHEN-Luna-C18-3um-50x4.6,Luna-C18-3um-50x4.6,Phenomenex,Luna 3 µm C18(2) 100 Å,"Luna 3 µm C18(2) 100 Å; Series: Luna C18(2) 3 µm; Specifications: Particle Size: 3 µm, Phase Type: C18(2), Pore Size: 100Å, Dimensions: 50 x 4.6 mm",3,100,50,4.6,C18(2),2,9,2-9,400 bar,,L1,,,active
PHEN-Luna-C18-3um-75x1.0,Luna-C18-3um-75x1.0,Phenomenex,Luna 3 µm C18(2) 100 Å,"Luna 3 µm C18(2) 100 Å; Series: Luna C18(2) 3 µm; Specifications: Particle Size: 3 µm, Phase Type: C18(2), Pore Size: 100Å, Dimensions: 75 x 1.0 mm",3,100,75,1.0,C18(2),2,9,2-9,400 bar,,L1,,,active
PHEN-Luna-C18-3um-75x2.0,Luna-C18-3um-75x2.0,Phenomenex,Luna 3 µm C18(2) 100 Å,"Luna 3 µm C18(2) 100 Å; Series: Luna C18(2) 3 µm; Specifications: Particle Size: 3 µm, Phase Type: C18(2), Pore Size: 100Å, Dimensions: 75 x 2.0 mm",3,100,75,2.0,C18(2),2,9,2-9,400 bar,,L1,,,active
PHEN-Luna-C18-3um-75x2.1,Luna-C18-3um-75x2.1,Phenomenex,Luna 3 µm C18(2) 100 Å,"Luna 3 µm C18(2) 100 Å; Series: Luna C18(2) 3 µm; Specifications: Particle Size: 3 µm, Phase Type: C18(2), Pore Size: 100Å, Dimensions: 75 x 2.1 mm",3,100,75,2.1,C18(2),2,9,2-9,400 bar,,L1,,,active
PHEN-Luna-C18-3um-75x3.0,Luna-C18-3um-75x3.0,Phenomenex,Luna 3 µm C18(2) 100 Å,"Luna 3 µm C18(2) 100 Å; Series: Luna C18(2) 3 µm; Specifications: Particle Size: 3 µm, Phase Type: C18(2), Pore Size: 100Å, Dimensions: 75 x 3.0 mm",3,100,75,3.0,C18(2),2,9,2-9,400 bar,,L1,,,active
PHEN-Luna-C18-3um-75x4.6,Luna-C18-3um-75x4.6,Phenomenex,Luna 3 µm C18(2) 100 Å,"Luna 3 µm C18(2) 100 Å; Series: Luna C18(2) 3 µm; Specifications: Particle Size: 3 µm, Phase Type: C18(2), Pore Size: 100Å, Dimensions: 75 x 4.6 mm",3,100,75,4.6,C18(2),2,9,2-9,400 bar,,L1,,,active
