productId,partNumber,brand,name,catalogUrl
"MERC-24218-U","24218-U","Merck","SPB®-Octyl Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.25 μm",""
"MERC-24133-U","24133-U","Merck","Petrocol® DH 50.2 Capillary GC Column L × I.D. 50 m × 0.20 mm, df 0.50 μm",""
"MERC-24160-U","24160-U","Merck","Petrocol DH Capillary GC Column L × I.D. 100 m × 0.25 mm, df 0.50 μm",""
"MERC-24155","24155","Merck","Petrocol DH 150 Capillary GC Column L × I.D. 150 m × 0.25 mm, df 1.00 μm",""
"MERC-24158","24158","Merck","SPB-1 SULFUR Capillary GC Column L × I.D. 30 m × 0.32 mm, df 4.00 μm",""
"MERC-28039-U","28039-U","Merck","Equity®-1 Capillary GC Column L × I.D. 15 m × 0.10 mm, df 0.10 μm",""
"MERC-28046-U","28046-U","Merck","Equity-1 Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.25 μm",""
"MERC-28047-U","28047-U","Merck","Equity-1 Capillary GC Column L × I.D. 60 m × 0.25 mm, df 0.25 μm",""
"MERC-28055-U","28055-U","Merck","Equity-1 Capillary GC Column L × I.D. 30 m × 0.32 mm, df 0.25 μm",""
"MERC-24028","24028","Merck","SPB-1 Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.25 μm",""
"MERC-24044","24044","Merck","SPB-1 Capillary GC Column L × I.D. 30 m × 0.32 mm, df 0.25 μm",""
"MERC-24045-U","24045-U","Merck","SPB-1 Capillary GC Column L × I.D. 30 m × 0.32 mm, df 1.00 μm",""
"MERC-24047","24047","Merck","SPB-1 Capillary GC Column L × I.D. 60 m × 0.32 mm, df 1.00 μm",""
"MERC-25303","25303","Merck","SPB-1 Capillary GC Column L × I.D. 30 m × 0.53 mm, df 1.50 μm",""
"MERC-25341-U","25341-U","Merck","SPB-1 Capillary GC Column L × I.D. 30 m × 0.53 mm, df 3.00 μm",""
"MERC-25345-U","25345-U","Merck","SPB-1 Capillary GC Column L × I.D. 30 m × 0.53 mm, df 5.00 μm",""
"MERC-28465-U","28465-U","Merck","SLB®-5ms Capillary GC Column L × I.D. 10 m × 0.10 mm, df 0.10 μm",""
"MERC-28466-U","28466-U","Merck","SLB-5ms Capillary GC Column L × I.D. 15 m × 0.10 mm, df 0.10 μm",""
"MERC-28564-U","28564-U","Merck","SLB-5ms Capillary GC Column L × I.D. 20 m × 0.18 mm, df 0.18 μm",""
"MERC-28576-U","28576-U","Merck","SLB-5ms Capillary GC Column L × I.D. 20 m × 0.18 mm, df 0.36 μm",""
"MERC-28471-U","28471-U","Merck","SLB-5ms Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.25 μm",""
"MERC-28472-U","28472-U","Merck","SLB-5ms Capillary GC Column L × I.D. 60 m × 0.25 mm, df 0.25 μm",""
"MERC-28482-U","28482-U","Merck","SLB-5ms Capillary GC Column L × I.D. 30 m × 0.32 mm, df 0.25 μm",""
"MERC-28668-U*","28668-U*","Merck","MET-Biodiesel Capillary GC Column L × I.D. 14 m × 0.53 mm, df 0.16 μm",""
"MERC-25003","25003","Merck","HT-5 (aluminum clad) Capillary GC Column L × I.D. 25 m × 0.32 mm, df 0.10 μm",""
"MERC-24277","24277","Merck","PTA-5 Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.50 μm",""
"MERC-25439","25439","Merck","PTA-5 Capillary GC Column L × I.D. 30 m × 0.53 mm, df 3.00 μm",""
"MERC-24156","24156","Merck","SAC™-5 Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.25 μm",""
"MERC-28089-U","28089-U","Merck","Equity-5 Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.25 μm",""
"MERC-28090-U","28090-U","Merck","Equity-5 Capillary GC Column L × I.D. 60 m × 0.25 mm, df 0.25 μm",""
"MERC-28092-U","28092-U","Merck","Equity-5 Capillary GC Column L × I.D. 30 m × 0.25 mm, df 0.50 μm",""
"MERC-28097-U","28097-U","Merck","Equity-5 Capillary GC Column L × I.D. 30 m × 0.32 mm, df 0.25 μm",""
"MERC-28279-U","28279-U","Merck","Equity-5 Capillary GC Column L × I.D. 30 m × 0.53 mm, df 5.00 μm",""
