productId,partNumber,brand,name,description,descriptionQuality,specifications,imageUrl,catalogUrl
PHEN-7EG-G006-11,7EG-G006-11,Phenomenex,"Zebron ZB-1701, GC Cap. Column 15 m x 0.25 mm x 0.25 µm, Ea","Alcohols, Amines, Drugs, Esters, PAHs, PCBs, Pharmaceutical Intermediates, Phenols, Solvents, Steroids, TMS Sugars, Tranquilizers",medium,"{""Temperature Limits (°C) 30 to 340/360"": ""CoreTechnique GC"", ""CoreTechnique GC"": ""CoreSeparationMode Standard"", ""CoreSeparationMode Standard"": ""CoreBrand Zebron"", ""CoreBrand Zebron"": ""CorePhase ZB-1701"", ""CorePhase ZB-1701"": ""Length (m) 15.0000"", ""Length (m) 15.0000"": ""Internal Diameter 0.2500"", ""Internal Diameter 0.2500"": ""Film Thickness 0.2500"", ""Film Thickness 0.2500"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",https://www.phenomenex.com/-/jssmedia/phxjss/data/media/images/order/15m_GC_column.png,https://www.phenomenex.com/part?partNo=7EG-G006-11
PHEN-7EM-G006-11,7EM-G006-11,Phenomenex,"Zebron ZB-1701, GC Cap. Column 15 m x 0.32 mm x 0.25 µm, Ea","Alcohols, Amines, Drugs, Esters, PAHs, PCBs, Pharmaceutical Intermediates, Phenols, Solvents, Steroids, TMS Sugars, Tranquilizers",medium,"{""Temperature Limits (°C) 30 to 340/360"": ""CoreTechnique GC"", ""CoreTechnique GC"": ""CoreSeparationMode Standard"", ""CoreSeparationMode Standard"": ""CoreBrand Zebron"", ""CoreBrand Zebron"": ""CorePhase ZB-1701"", ""CorePhase ZB-1701"": ""Length (m) 15.0000"", ""Length (m) 15.0000"": ""Internal Diameter 0.3200"", ""Internal Diameter 0.3200"": ""Film Thickness 0.2500"", ""Film Thickness 0.2500"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",https://www.phenomenex.com/-/jssmedia/phxjss/data/media/images/order/15m_GC_column.png,https://www.phenomenex.com/part?partNo=7EM-G006-11
PHEN-7GK-G006-32-C,7GK-G006-32-C,Phenomenex,"Zebron ZB-1701, GC Cap. Column 25 m x 0.53 mm x 2.00 µm, EA","Alcohols, Amines, Drugs, Esters, PAHs, PCBs, Pharmaceutical Intermediates, Phenols, Solvents, Steroids, TMS Sugars, Tranquilizers",medium,"{""Temperature Limits (°C) 30 to 340/360"": ""CoreTechnique GC"", ""CoreTechnique GC"": ""CoreSeparationMode Standard"", ""CoreSeparationMode Standard"": ""CoreBrand Zebron"", ""CoreBrand Zebron"": ""CorePhase ZB-1701"", ""CorePhase ZB-1701"": ""Length (m) 25.0000"", ""Length (m) 25.0000"": ""Internal Diameter 0.5300"", ""Internal Diameter 0.5300"": ""Film Thickness 2.0000"", ""Film Thickness 2.0000"": ""Phenomenex is a technology leader committed to developing novel analytical chemistry solutions that solve the separation and purification challenges of researchers worldwide.""}",https://www.phenomenex.com/-/jssmedia/phxjss/data/media/images/order/20m_GC_Column_Side_View.png,https://www.phenomenex.com/part?partNo=7GK-G006-32-C
PHEN-7HG-G006-11,7HG-G006-11,Phenomenex,"Zebron ZB-1701, GC Cap. Column 30 m x 0.25 mm x 0.25 µm, Ea","Alcohols, Amines, Drugs, Esters, PAHs, PCBs, Pharmaceutical Intermediates, Phenols, Solvents, Steroids, TMS Sugars, Tranquilizers",medium,"{""Temperature Limits (°C) 30 to 340/360"": ""CoreTechnique GC"", ""CoreTechnique GC"": ""CoreSeparationMode Standard"", ""CoreSeparationMode Standard"": ""CoreBrand Zebron"", ""CoreBrand Zebron"": ""CorePhase ZB-1701"", ""CorePhase ZB-1701"": ""Length (m) 30.0000"", ""Length (m) 30.0000"": ""Max Temperature (°C) 300.0000"", ""Internal Diameter 0.2500"": ""Film Thickness 0.2500"", ""Film Thickness 0.2500"": ""* Polarity scale is based on the McReynolds value, which provides a systematic approach to ranking GC stationary phases by polarity.""}",https://www.phenomenex.com/-/jssmedia/phxjss/data/media/images/order/30m_GC_Column_angle.png,https://www.phenomenex.com/part?partNo=7HG-G006-11
PHEN-7EG-G002-02,7EG-G002-02,Phenomenex,"Zebron ZB-5, GC Cap. Column 15 m x 0.25 mm x 0.10 µm, Ea",Versatile column recommended for a wide range of applications and unknown samples,low,"{""Temperature Limits (°C) 30 to 340/360"": ""CoreTechnique GC"", ""CoreTechnique GC"": ""CoreSeparationMode Standard"", ""CoreSeparationMode Standard"": ""CoreBrand Zebron"", ""CoreBrand Zebron"": ""CorePhase ZB-5"", ""CorePhase ZB-5"": ""Length (m) 15.0000"", ""Length (m) 15.0000"": ""Max Temperature (°C) 370.0000"", ""Internal Diameter 0.2500"": ""Film Thickness 0.1000"", ""Film Thickness 0.1000"": ""* Polarity scale is based on the McReynolds value, which provides a systematic approach to ranking GC stationary phases by polarity.""}",https://www.phenomenex.com/-/jssmedia/phxjss/data/media/images/order/15m_GC_column.png,https://www.phenomenex.com/part?partNo=7EG-G002-02
PHEN-7EG-G002-11,7EG-G002-11,Phenomenex,"Zebron ZB-5, GC Cap. Column 15 m x 0.25 mm x 0.25 µm, Ea",Versatile column recommended for a wide range of applications and unknown samples,low,"{""Temperature Limits (°C) 30 to 340/360"": ""CoreTechnique GC"", ""CoreTechnique GC"": ""CoreSeparationMode Standard"", ""CoreSeparationMode Standard"": ""CoreBrand Zebron"", ""CoreBrand Zebron"": ""CorePhase ZB-5"", ""CorePhase ZB-5"": ""Length (m) 15.0000"", ""Length (m) 15.0000"": ""Internal Diameter 0.2500"", ""Internal Diameter 0.2500"": ""Film Thickness 0.2500"", ""Film Thickness 0.2500"": ""* Polarity scale is based on the McReynolds value, which provides a systematic approach to ranking GC stationary phases by polarity.""}",https://www.phenomenex.com/-/jssmedia/phxjss/data/media/images/order/15m_GC_column.png,https://www.phenomenex.com/part?partNo=7EG-G002-11
PHEN-7EG-G002-17,7EG-G002-17,Phenomenex,"Zebron ZB-5, GC Cap. Column 15 m x 0.25 mm x 0.50 µm, Ea",Versatile column recommended for a wide range of applications and unknown samples,low,"{""Temperature Limits (°C) 30 to 340/360"": ""CoreTechnique GC"", ""CoreTechnique GC"": ""CoreSeparationMode Standard"", ""CoreSeparationMode Standard"": ""CoreBrand Zebron"", ""CoreBrand Zebron"": ""CorePhase ZB-5"", ""CorePhase ZB-5"": ""Length (m) 15.0000"", ""Length (m) 15.0000"": ""Internal Diameter 0.2500"", ""Internal Diameter 0.2500"": ""Film Thickness 0.5000"", ""Film Thickness 0.5000"": ""* Polarity scale is based on the McReynolds value, which provides a systematic approach to ranking GC stationary phases by polarity.""}",https://www.phenomenex.com/-/jssmedia/phxjss/data/media/images/order/15m_GC_column.png,https://www.phenomenex.com/part?partNo=7EG-G002-17
PHEN-7EG-G002-22,7EG-G002-22,Phenomenex,"Zebron ZB-5, GC Cap. Column 15 m x 0.25 mm x 1.00 µm, Ea",Versatile column recommended for a wide range of applications and unknown samples,low,"{""Temperature Limits (°C) 30 to 340/360"": ""CoreTechnique GC"", ""CoreTechnique GC"": ""CoreSeparationMode Standard"", ""CoreSeparationMode Standard"": ""CoreBrand Zebron"", ""CoreBrand Zebron"": ""CorePhase ZB-5"", ""CorePhase ZB-5"": ""Length (m) 15.0000"", ""Length (m) 15.0000"": ""Max Temperature (°C) 370.0000"", ""Internal Diameter 0.2500"": ""Film Thickness 1.0000"", ""Film Thickness 1.0000"": ""* Polarity scale is based on the McReynolds value, which provides a systematic approach to ranking GC stationary phases by polarity.""}",https://www.phenomenex.com/-/jssmedia/phxjss/data/media/images/order/15m_GC_column.png,https://www.phenomenex.com/part?partNo=7EG-G002-22
PHEN-7EK-G002-17,7EK-G002-17,Phenomenex,"Zebron ZB-5, GC Cap. Column 15 m x 0.53 mm x 0.50 µm, Ea",Versatile column recommended for a wide range of applications and unknown samples,low,"{""Temperature Limits (°C) 30 to 340/360"": ""CoreTechnique GC"", ""CoreTechnique GC"": ""CoreSeparationMode Standard"", ""CoreSeparationMode Standard"": ""CoreBrand Zebron"", ""CoreBrand Zebron"": ""CorePhase ZB-5"", ""CorePhase ZB-5"": ""Length (m) 15.0000"", ""Length (m) 15.0000"": ""Internal Diameter 0.5300"", ""Internal Diameter 0.5300"": ""Film Thickness 0.5000"", ""Film Thickness 0.5000"": ""* Polarity scale is based on the McReynolds value, which provides a systematic approach to ranking GC stationary phases by polarity.""}",https://www.phenomenex.com/-/jssmedia/phxjss/data/media/images/order/15m_GC_column.png,https://www.phenomenex.com/part?partNo=7EK-G002-17
PHEN-7EK-G002-28,7EK-G002-28,Phenomenex,"Zebron ZB-5, GC Cap. Column 15 m x 0.53 mm x 1.50 µm, Ea",Versatile column recommended for a wide range of applications and unknown samples,low,"{""Temperature Limits (°C) 30 to 340/360"": ""CoreTechnique GC"", ""CoreTechnique GC"": ""CoreSeparationMode Standard"", ""CoreSeparationMode Standard"": ""CoreBrand Zebron"", ""CoreBrand Zebron"": ""CorePhase ZB-5"", ""CorePhase ZB-5"": ""Length (m) 15.0000"", ""Length (m) 15.0000"": ""Internal Diameter 0.5300"", ""Internal Diameter 0.5300"": ""Film Thickness 1.5000"", ""Film Thickness 1.5000"": ""* Polarity scale is based on the McReynolds value, which provides a systematic approach to ranking GC stationary phases by polarity.""}",https://www.phenomenex.com/-/jssmedia/phxjss/data/media/images/order/15m_GC_column.png,https://www.phenomenex.com/part?partNo=7EK-G002-28
