productId,partNumber,brand,name
"PHEN-7EG-G006-11","7EG-G006-11","Phenomenex","Zebron ZB-1701, GC Cap. Column 15 m x 0.25 mm x 0.25 µm, Ea"
"PHEN-7EM-G006-11","7EM-G006-11","Phenomenex","Zebron ZB-1701, GC Cap. Column 15 m x 0.32 mm x 0.25 µm, Ea"
"PHEN-7GK-G006-32-C","7GK-G006-32-C","Phenomenex","Zebron ZB-1701, GC Cap. Column 25 m x 0.53 mm x 2.00 µm, EA"
"PHEN-7HG-G006-11","7HG-G006-11","Phenomenex","Zebron ZB-1701, GC Cap. Column 30 m x 0.25 mm x 0.25 µm, Ea"
"PHEN-7EG-G002-02","7EG-G002-02","Phenomenex","Zebron ZB-5, GC Cap. Column 15 m x 0.25 mm x 0.10 µm, Ea"
"PHEN-7EG-G002-11","7EG-G002-11","Phenomenex","Zebron ZB-5, GC Cap. Column 15 m x 0.25 mm x 0.25 µm, Ea"
"PHEN-7EG-G002-17","7EG-G002-17","Phenomenex","Zebron ZB-5, GC Cap. Column 15 m x 0.25 mm x 0.50 µm, Ea"
"PHEN-7EG-G002-22","7EG-G002-22","Phenomenex","Zebron ZB-5, GC Cap. Column 15 m x 0.25 mm x 1.00 µm, Ea"
"PHEN-7EK-G002-17","7EK-G002-17","Phenomenex","Zebron ZB-5, GC Cap. Column 15 m x 0.53 mm x 0.50 µm, Ea"
"PHEN-7EK-G002-28","7EK-G002-28","Phenomenex","Zebron ZB-5, GC Cap. Column 15 m x 0.53 mm x 1.50 µm, Ea"
"PHEN-7EK-G002-36","7EK-G002-36","Phenomenex","Zebron ZB-5, GC Cap. Column 15 m x 0.53 mm x 3.00 µm, Ea"
"PHEN-7EM-G002-11","7EM-G002-11","Phenomenex","Zebron ZB-5, GC Cap. Column 15 m x 0.32 mm x 0.25 µm, Ea"
"PHEN-7EM-G002-22","7EM-G002-22","Phenomenex","Zebron ZB-5, GC Cap. Column 15 m x 0.32 mm x 1.00 µm, Ea"
"PHEN-7CB-G010-02","7CB-G010-02","Phenomenex","Zebron ZB-5MS, GC Cap. Column 10 m x 0.10 mm x 0.10 µm, Ea"
"PHEN-7CD-G010-08","7CD-G010-08","Phenomenex","Zebron ZB-5MS, GC Cap. Column 10 m x 0.18 mm x 0.18 µm, Ea"
"PHEN-7DE-G010-14","7DE-G010-14","Phenomenex","Zebron ZB-5MS, GC Cap. Column 12 m x 0.20 mm x 0.33 µm, Ea"
"PHEN-7EG-G010-11","7EG-G010-11","Phenomenex","Zebron ZB-5MS, GC Cap. Column 15 m x 0.25 mm x 0.25 µm, Ea"
"PHEN-7EG-G010-11-GGC","7EG-G010-11-GGC","Phenomenex","Zebron ZB-5MS w/GUARDIAN, 10 m, GC Cap. Column 15 m x 0.25 mm x 0.25 µm, Ea"
"PHEN-7FD-G010-08","7FD-G010-08","Phenomenex","Zebron ZB-5MS, GC Cap. Column 20 m x 0.18 mm x 0.18 µm, Ea"
"PHEN-7FD-G010-51","7FD-G010-51","Phenomenex","Zebron ZB-5MS, GC Cap. Column 20 m x 0.18 mm x 0.32 µm, Ea"
"PHEN-7GE-G010-14","7GE-G010-14","Phenomenex","Zebron ZB-5MS, GC Cap. Column 25 m x 0.20 mm x 0.33 µm, Ea"
"PHEN-7HG-G010-11","7HG-G010-11","Phenomenex","Zebron ZB-5MS, GC Cap. Column 30 m x 0.25 mm x 0.25 µm, Ea"
"PHEN-7CB-G013-02","7CB-G013-02","Phenomenex","Zebron ZB-WAXplus, GC Cap. Column 10 m x 0.10 mm x 0.10 µm, Ea"
"PHEN-7EG-G013-11","7EG-G013-11","Phenomenex","Zebron ZB-WAXplus, GC Cap. Column 15 m x 0.25 mm x 0.25 µm, Ea"
"PHEN-7EK-G013-22","7EK-G013-22","Phenomenex","Zebron ZB-WAXplus, GC Cap. Column 15 m x 0.53 mm x 1.00 µm, Ea"
"PHEN-7FD-G013-08","7FD-G013-08","Phenomenex","Zebron ZB-WAXplus, GC Cap. Column 20 m x 0.18 mm x 0.18 µm, Ea"
"PHEN-7HG-G013-11","7HG-G013-11","Phenomenex","Zebron ZB-WAXplus, GC Cap. Column 30 m x 0.25 mm x 0.25 µm, Ea"
"PHEN-7HG-G013-11-B","7HG-G013-11-B","Phenomenex","Zebron ZB-WAXplus, 5-in Cage, GC Cap. Column 30 m x 0.25 mm x 0.25 µm, Ea"
