productId,partNumber,brand,name
"ACE-1.HI09-53-100-15","1.HI09-53-100-15","ACE","GC COLUMN HI-WAX 0.53MM 1.00UM 15M"
"ACE-76382-550","76382-550","ACE","Avantor® ACE® C18-PFP, HPLC Columns, 3 µm"
"ACE-76382-576","76382-576","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm"
"ACE-76382-577","76382-577","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 4.60mm x 125mm"
"ACE-76382-578","76382-578","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 4.60mm x 150mm"
"ACE-76384-060","76384-060","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 3.00mm x 30mm"
"ACE-76384-062","76384-062","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.00mm x 30mm"
"ACE-76384-063","76384-063","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 30mm"
"ACE-76384-064","76384-064","ACE","Avantor® ACE® C18-PFP, HPLC Columns, 3 µm"
"ACE-76384-066","76384-066","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 0.30mm x 100mm"
"ACE-76384-068","76384-068","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 0.50mm x 50mm"
"ACE-76384-070","76384-070","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 1.00mm x 50mm"
"ACE-76384-072","76384-072","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 1.00mm x 100mm"
"ACE-76384-074","76384-074","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 2.10mm x 30mm"
"ACE-76384-076","76384-076","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 2.10mm x 50mm"
"ACE-76384-080","76384-080","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 3.00mm x 50mm"
"ACE-76384-082","76384-082","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.00mm x 50mm"
"ACE-76384-083","76384-083","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 50mm"
"ACE-76384-090","76384-090","ACE","Avantor® ACE® C18-PFP, HPLC Columns, 3 µm"
"ACE-76384-098","76384-098","ACE","Avantor® ACE® C18-PFP, HPLC Columns, 3 µm"
"ACE-76384-100","76384-100","ACE","Avantor® ACE® C18-PFP, HPLC Columns, 3 µm"
"ACE-76384-102","76384-102","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.00mm x 100mm"
"ACE-76384-104","76384-104","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 100mm"
"ACE-76384-120","76384-120","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 2.10mm x 125mm"
"ACE-76384-122","76384-122","ACE","Avantor® ACE® C18-PFP, HPLC Columns, 3 µm"
"ACE-76384-124","76384-124","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.00mm x 125mm"
"ACE-76384-126","76384-126","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 125mm"
"ACE-76384-130","76384-130","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 0.30mm x 150mm"
"ACE-76384-132","76384-132","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 0.50mm x 150mm"
"ACE-76384-134","76384-134","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 1.00mm x 150mm"
"ACE-76384-142","76384-142","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 2.10mm x 150mm"
"ACE-76384-144","76384-144","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 3.00mm x 150mm"
"ACE-76384-146","76384-146","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.00mm x 150mm"
"ACE-76384-148","76384-148","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 150mm"
"ACE-76384-168","76384-168","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 200mm"
"ACE-76384-188","76384-188","ACE","ACE C18-PFP, HPLC Columns, 3 µm - C18-PFP 3um 4.60mm x 250mm"
"ACE-76385-988","76385-988","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm"
"ACE-76385-990","76385-990","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm"
"ACE-76386-002","76386-002","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 21.20mm x 100mm"
"ACE-76386-014","76386-014","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm"
"ACE-76386-102","76386-102","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm"
"ACE-76386-148","76386-148","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm"
"ACE-76386-150","76386-150","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 10.00mm x 150mm"
"ACE-76386-152","76386-152","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 21.20mm x 150mm"
"ACE-76386-198","76386-198","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 4.60mm x 200mm"
"ACE-76386-306","76386-306","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 7.75mm x 250mm"
"ACE-76386-308","76386-308","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm"
"ACE-76386-310","76386-310","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 21.20mm x 250mm"
"ACE-76386-312","76386-312","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 30.00mm x 250mm"
"ACE-76386-374","76386-374","ACE","ACE C18, HPLC Columns, 5 µm - C18 5um 4.60mm x 300mm"
"ACE-76386-626","76386-626","ACE","Avantor® ACE® C18, HPLC Columns, 5 µm"
"ACE-ACE-111-0103GD","ACE-111-0103GD","ACE","Avantor® ACE® Guard Cartridge, C18 3 µm, 1.0x10 mm"
"ACE-ACE-111-0105GD","ACE-111-0105GD","ACE","Avantor® ACE® Guard Cartridge, C18 5 µm, 1.0x10 mm"
"ACE-ACE-111-0203GD","ACE-111-0203GD","ACE","Avantor® ACE® Guard Cartridge, C18 3 µm, 2.1x10 mm"
"ACE-ACE-111-0205GD","ACE-111-0205GD","ACE","Avantor® ACE® Guard Cartridge, C18 5 µm, 2.1x10 mm"
"ACE-ACE-111-0303GD","ACE-111-0303GD","ACE","Avantor® ACE® Guard Cartridge, C18 3 µm, 3.0x10 mm"
"ACE-ACE-111-0305GD","ACE-111-0305GD","ACE","Avantor® ACE® Guard Cartridge, C18 5 µm, 3.0x10 mm"
"ACE-ACE-111-0403GD","ACE-111-0403GD","ACE","Avantor® ACE® Guard Cartridge, C18 3 µm, 4.0x10 mm"
"ACE-ACE-111-0405GD","ACE-111-0405GD","ACE","Avantor® ACE® Guard Cartridge, C18 5 µm, 4.0x10 mm"
"ACE-ACE-111-0463GD","ACE-111-0463GD","ACE","Avantor® ACE® Guard Cartridge, C18 3 µm, 4.6x10 mm"
"ACE-ACE-111-0465GD","ACE-111-0465GD","ACE","Avantor® ACE® Guard Cartridge, C18 5 µm, 4.6x10 mm"
"ACE-ACE-119-0103GD","ACE-119-0103GD","ACE","Avantor® ACE® Guard Cartridge, C18-AR 3 µm, 1.0x10 mm"
"ACE-ACE-119-0105GD","ACE-119-0105GD","ACE","Avantor® ACE® Guard Cartridge, C18-AR 5 µm, 1.0x10 mm"
"ACE-ACE-119-0203GD","ACE-119-0203GD","ACE","Avantor® ACE® Guard Cartridge, C18-AR 3 µm, 2.1x10 mm"
"ACE-ACE-119-0205GD","ACE-119-0205GD","ACE","Avantor® ACE® Guard Cartridge, C18-AR 5 µm, 2.1x10 mm"
"ACE-ACE-119-0303GD","ACE-119-0303GD","ACE","Avantor® ACE® Guard Cartridge, C18-AR 3 µm, 3.0x10 mm"
"ACE-ACE-119-0305GD","ACE-119-0305GD","ACE","Avantor® ACE® Guard Cartridge, C18-AR 5 µm, 3.0x10 mm"
"ACE-ACE-119-0403GD","ACE-119-0403GD","ACE","Avantor® ACE® Guard Cartridge, C18-AR 3 µm, 4.0x10 mm"
"ACE-ACE-119-0405GD","ACE-119-0405GD","ACE","Avantor® ACE® Guard Cartridge, C18-AR 5 µm, 4.0x10 mm"
"ACE-ACE-119-0463GD","ACE-119-0463GD","ACE","Avantor® ACE® Guard Cartridge, C18-AR 3 µm, 4.6x10 mm"
"ACE-ACE-119-0465GD","ACE-119-0465GD","ACE","Avantor® ACE® Guard Cartridge, C18-AR 5 µm, 4.6x10 mm"
"ACE-ACE-120-0103GD","ACE-120-0103GD","ACE","Avantor® ACE® Guard Cartridge, C18-PFP 3 µm, 1.0x10 mm"
"ACE-ACE-120-0105GD","ACE-120-0105GD","ACE","Avantor® ACE® Guard Cartridge, C18-PFP 5 µm, 1.0x10 mm"
"ACE-ACE-120-0203GD","ACE-120-0203GD","ACE","Avantor® ACE® Guard Cartridge, C18-PFP 3 µm, 2.1x10 mm"
"ACE-ACE-120-0205GD","ACE-120-0205GD","ACE","Avantor® ACE® Guard Cartridge, C18-PFP 5 µm, 2.1x10 mm"
"ACE-ACE-120-0303GD","ACE-120-0303GD","ACE","Avantor® ACE® Guard Cartridge, C18-PFP 3 µm, 3.0x10 mm"
"ACE-ACE-120-0305GD","ACE-120-0305GD","ACE","Avantor® ACE® Guard Cartridge, C18-PFP 5 µm, 3.0x10 mm"
"ACE-ACE-120-0403GD","ACE-120-0403GD","ACE","Avantor® ACE® Guard Cartridge, C18-PFP 3 µm, 4.0x10 mm"
"ACE-ACE-120-0405GD","ACE-120-0405GD","ACE","Avantor® ACE® Guard Cartridge, C18-PFP 5 µm, 4.0x10 mm"
"ACE-ACE-120-0463GD","ACE-120-0463GD","ACE","Avantor® ACE® Guard Cartridge, C18-PFP 3 µm, 4.6x10 mm"
"ACE-ACE-120-0465GD","ACE-120-0465GD","ACE","Avantor® ACE® Guard Cartridge, C18-PFP 5 µm, 4.6x10 mm"
"ACE-ACE-121-0103GD","ACE-121-0103GD","ACE","Avantor® ACE® Guard Cartridge, C18-Amide 3 µm, 1.0x10 mm"
"ACE-ACE-121-0105GD","ACE-121-0105GD","ACE","Avantor® ACE® Guard Cartridge, C18-Amide 5 µm, 1.0x10 mm"
"ACE-ACE-121-0203GD","ACE-121-0203GD","ACE","Avantor® ACE® Guard Cartridge, C18-Amide 3 µm, 2.1x10 mm"
"ACE-ACE-121-0205GD","ACE-121-0205GD","ACE","Avantor® ACE® Guard Cartridge, C18-Amide 5 µm, 2.1x10 mm"
"ACE-ACE-121-0303GD","ACE-121-0303GD","ACE","Avantor® ACE® Guard Cartridge, C18-Amide 3 µm, 3.0x10 mm"
