productId,partNumber,name,brand,productType,particleSize,poreSize,columnLength,innerDiameter,phaseType,phRange,status,Part Number,Product Name,Chemistry,Pore Size (Å),Particle Size (µm),Inner Diameter (mm),Length (mm),Pack Size,Product Type,Material,Description,pH Stability,Column ID (mm),URL,Brand,Length (Metric),Diameter (Metric),Column Type,Flow Rate,Specifications,Property1,Property2,Property3,Product URL,Price,Stationary Phase,Inner Diameter (ID),Length,Particle Size,Units,Pore Size,Phase,ID (mm),Pack Size (pk),Internal Diameter (ID),Bonded Phase,Product_Type,Product_Name,Part_Number,Internal_Diameter_mm,Length_mm,Particle_Size_um,Notes,Series,Particle Size (um),Full Specs,Name,品牌,产品类型,填料,吸附剂重量,规格,Units per Package,UNSPSC,应用,Endcapped,Ion Exchange Capacity,Mass Spec Compatibility,模式,Sorbent Substrate,Water Wettable,pH Range Min,pH Range Max,Sorbent Type,Sorbent Mass,Tube Volume,Format,Full Description,Sorbent Phase,Housing Type,Housing Volume (mL),Sorbent Mass (mg),Bed Weight (mg),Column Volume (mL),Quantity,Specification,Bed Weight,Volume,Package Size,Source URL,Column/Cartridge Dimension,Package Size (pk),Pore Size (Å),SPE 格式,填料质量 (mg),体积,粒径,吸附剂相,包装单位,productName,url,Filter Material,Diameter,Housing Material,Certified,Unit,List Price,CoreTechnique,CoreSeparationMode,CoreBrand,CorePhase,Phase Composition,Internal Diameter,Material (Membrane),Diameter (Metric) Membrane,Volume (Metric) Receiver,Unit Size
WATS-186010613,186010613,"CORTECS Premier T3, 2.7 µm, 4.6 x 250 mm Column",Waters,HPLC Column,2.7 µm,90 Å,250 mm,4.6 mm,T3,1-12,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATS-186010484,186010484,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 4.6 mm X 150 mm",Waters,HPLC Column,2.7 µm,90 Å,150 mm,4.6 mm,T3 VanGuard FIT,1-12,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATS-186010482,186010482,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 4.6 mm X 50 mm",Waters,HPLC Column,2.7 µm,90 Å,50 mm,4.6 mm,T3 VanGuard FIT,1-12,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATS-186010477,186010477,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 2.1 mm X 150 mm",Waters,HPLC Column,2.7 µm,90 Å,150 mm,2.1 mm,T3 VanGuard FIT,1-12,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATS-186010476,186010476,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 2.1 mm X 100 mm",Waters,HPLC Column,2.7 µm,90 Å,100 mm,2.1 mm,T3 VanGuard FIT,1-12,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATS-186010483,186010483,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 4.6 mm X 100 mm",Waters,HPLC Column,2.7 µm,90 Å,100 mm,4.6 mm,T3 VanGuard FIT,1-12,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATS-186010475,186010475,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 2.1 mm X 50 mm",Waters,HPLC Column,2.7 µm,90 Å,50 mm,2.1 mm,T3 VanGuard FIT,1-12,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATS-186010469,186010469,"CORTECS Premier C18+ VanGuard FIT Column, 2.7 µm, 4.6 mm X 100 mm",Waters,HPLC Column,2.7 µm,90 Å,100 mm,4.6 mm,C18+ VanGuard FIT,1-12,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATS-186010468,186010468,"CORTECS Premier C18+ VanGuard FIT Column, 2.7 µm, 4.6 mm X 50 mm",Waters,HPLC Column,2.7 µm,90 Å,50 mm,4.6 mm,C18+ VanGuard FIT,1-12,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATS-186010470,186010470,"CORTECS Premier C18+ VanGuard FIT Column, 2.7 µm, 4.6 mm X 150 mm",Waters,HPLC Column,2.7 µm,90 Å,150 mm,4.6 mm,C18+ VanGuard FIT,1-12,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
