"productId","partNumber","name","brand","productType","particleSize","poreSize","columnLength","innerDiameter","phaseType","phRange","status"
"WATS-186010613","186010613","CORTECS Premier T3, 2.7 µm, 4.6 x 250 mm Column","Waters","HPLC Column","2.7 µm","90 Å","250 mm","4.6 mm","T3","1-12","active"
"WATS-186010484","186010484","CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 4.6 mm X 150 mm","Waters","HPLC Column","2.7 µm","90 Å","150 mm","4.6 mm","T3 VanGuard FIT","1-12","active"
"WATS-186010482","186010482","CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 4.6 mm X 50 mm","Waters","HPLC Column","2.7 µm","90 Å","50 mm","4.6 mm","T3 VanGuard FIT","1-12","active"
"WATS-186010477","186010477","CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 2.1 mm X 150 mm","Waters","HPLC Column","2.7 µm","90 Å","150 mm","2.1 mm","T3 VanGuard FIT","1-12","active"
"WATS-186010476","186010476","CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 2.1 mm X 100 mm","Waters","HPLC Column","2.7 µm","90 Å","100 mm","2.1 mm","T3 VanGuard FIT","1-12","active"
"WATS-186010483","186010483","CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 4.6 mm X 100 mm","Waters","HPLC Column","2.7 µm","90 Å","100 mm","4.6 mm","T3 VanGuard FIT","1-12","active"
"WATS-186010475","186010475","CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 2.1 mm X 50 mm","Waters","HPLC Column","2.7 µm","90 Å","50 mm","2.1 mm","T3 VanGuard FIT","1-12","active"
"WATS-186010469","186010469","CORTECS Premier C18+ VanGuard FIT Column, 2.7 µm, 4.6 mm X 100 mm","Waters","HPLC Column","2.7 µm","90 Å","100 mm","4.6 mm","C18+ VanGuard FIT","1-12","active"
"WATS-186010468","186010468","CORTECS Premier C18+ VanGuard FIT Column, 2.7 µm, 4.6 mm X 50 mm","Waters","HPLC Column","2.7 µm","90 Å","50 mm","4.6 mm","C18+ VanGuard FIT","1-12","active"
"WATS-186010470","186010470","CORTECS Premier C18+ VanGuard FIT Column, 2.7 µm, 4.6 mm X 150 mm","Waters","HPLC Column","2.7 µm","90 Å","150 mm","4.6 mm","C18+ VanGuard FIT","1-12","active"
