productId,partNumber,name,brand,productType,particleSize,poreSize,columnLength,innerDiameter,phaseType,phRange,status
WATS-186010613,186010613,"CORTECS Premier T3, 2.7 µm, 4.6 x 250 mm Column",Waters,HPLC Column,2.7,90.0,250.0,4.6,T3,1-12,active
WATS-186010484,186010484,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 4.6 mm X 150 mm",Waters,HPLC Column,2.7,90.0,150.0,4.6,T3 VanGuard FIT,1-12,active
WATS-186010482,186010482,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 4.6 mm X 50 mm",Waters,HPLC Column,2.7,90.0,50.0,4.6,T3 VanGuard FIT,1-12,active
WATS-186010477,186010477,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 2.1 mm X 150 mm",Waters,HPLC Column,2.7,90.0,150.0,2.1,T3 VanGuard FIT,1-12,active
WATS-186010476,186010476,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 2.1 mm X 100 mm",Waters,HPLC Column,2.7,90.0,100.0,2.1,T3 VanGuard FIT,1-12,active
WATS-186010483,186010483,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 4.6 mm X 100 mm",Waters,HPLC Column,2.7,90.0,100.0,4.6,T3 VanGuard FIT,1-12,active
WATS-186010475,186010475,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 2.1 mm X 50 mm",Waters,HPLC Column,2.7,90.0,50.0,2.1,T3 VanGuard FIT,1-12,active
WATS-186010469,186010469,"CORTECS Premier C18+ VanGuard FIT Column, 2.7 µm, 4.6 mm X 100 mm",Waters,HPLC Column,2.7,90.0,100.0,4.6,C18+ VanGuard FIT,1-12,active
WATS-186010468,186010468,"CORTECS Premier C18+ VanGuard FIT Column, 2.7 µm, 4.6 mm X 50 mm",Waters,HPLC Column,2.7,90.0,50.0,4.6,C18+ VanGuard FIT,1-12,active
WATS-186010470,186010470,"CORTECS Premier C18+ VanGuard FIT Column, 2.7 µm, 4.6 mm X 150 mm",Waters,HPLC Column,2.7,90.0,150.0,4.6,C18+ VanGuard FIT,1-12,active
AGIL-670150-902,670150-902,"Agilent InfinityLab Poroshell 120 SB-C18 Column, 21.2 x 150 mm, 4 µm",Agilent,HPLC Column,4.0,120.0,150.0,21.2,SB-C18,1.0-8.0,active
AGIL-821725-955,821725-955,"InfinityLab Poroshell 120 Aq-C18 2.1 mm 2.7 µm, UHPLC Guard, 3/pk",Agilent,HPLC Column,2.7,120.0,5.0,2.1,Aq-C18,1.5-10.0,active
AGIL-695775-742,695775-742,"InfinityLab Poroshell 120 Aq-C18 2.1 x 100 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,100.0,2.1,Aq-C18,1.5-10.0,active
AGIL-693775-742,693775-742,"InfinityLab Poroshell 120 Aq-C18 2.1 x 150 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,150.0,2.1,Aq-C18,1.5-10.0,active
AGIL-691775-742,691775-742,"InfinityLab Poroshell 120 Aq-C18 2.1 x 30 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,30.0,2.1,Aq-C18,1.5-10.0,active
AGIL-699775-742,699775-742,"InfinityLab Poroshell 120 Aq-C18 2.1 x 50 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,50.0,2.1,Aq-C18,1.5-10.0,active
AGIL-823750-953,823750-953,"InfinityLab Poroshell 120 Aq-C18 3.0 mm 2.7 µm, UHPLC guard, 3/pk",Agilent,HPLC Column,2.7,120.0,5.0,3.0,Aq-C18,1.5-10.0,active
AGIL-695675-742,695675-742,"InfinityLab Poroshell 120 Aq-C18 3.0 x 100 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,100.0,3.0,Aq-C18,1.5-10.0,active
AGIL-693675-742,693675-742,"InfinityLab Poroshell 120 Aq-C18 3.0 x 150 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,150.0,3.0,Aq-C18,1.5-10.0,active
AGIL-699675-742,699675-742,"InfinityLab Poroshell 120 Aq-C18 3.0 x 50 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,50.0,3.0,Aq-C18,1.5-10.0,active
AGIL-820750-942,820750-942,"InfinityLab Poroshell 120 Aq-C18 4.6 mm 2.7 µm, UHPLC guard, 3/pk",Agilent,HPLC Column,2.7,120.0,5.0,4.6,Aq-C18,1.5-10.0,active
AGIL-695975-742,695975-742,"InfinityLab Poroshell 120 Aq-C18 4.6 x 100 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,100.0,4.6,Aq-C18,1.5-10.0,active
AGIL-693975-742,693975-742,"InfinityLab Poroshell 120 Aq-C18 4.6 x 150 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,150.0,4.6,Aq-C18,1.5-10.0,active
AGIL-699975-742,699975-742,"InfinityLab Poroshell 120 Aq-C18 4.6 x 50 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,50.0,4.6,Aq-C18,1.5-10.0,active
AGIL-821725-925,821725-925,"InfinityLab Poroshell 120 Bonus-RP 2.1 mm, 2.7 µm, UHPLC guard, 3/pk",Agilent,HPLC Column,2.7,120.0,5.0,2.1,Bonus-RP,1.5-10.0,active
AGIL-695768-901,695768-901,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 100 mm, 2.7 µm",Agilent,HPLC Column,2.7,120.0,100.0,2.1,Bonus-RP,1.5-10.0,active
AGIL-695768-901K,695768-901K,"InfinityLab Poroshell 120 Bonus-RP 2.1 x 100 mm, 2.7 µm, MVK, 3/pk",Agilent,HPLC Column,2.7,120.0,100.0,2.1,Bonus-RP,1.5-10.0,active
