productId,partNumber,brand,name,catalogUrl
REST-9314262,9314262,Restek,"Raptor ARC-18, 1.8 µm, 150 x 2.1 mm HPLC Column",
REST-9314A12-T,9314A12-T,Restek,"Raptor Inert ARC-18, 2.7 µm, 100 x 2.1 mm HPLC Column",
REST-9309A5E,9309A5E,Restek,"Raptor Biphenyl, 2.7 µm, 50 x 3.0 mm HPLC Column",
REST-9634312,9634312,Restek,"Force C18, 3 µm, 100 x 2.1 mm LC Column",
REST-9311A32,9311A32,Restek,"Raptor Polar X, 2.7 µm, 30 x 2.1 mm LC Column",
REST-9319A1E,9319A1E,Restek,"Raptor FluoroPhenyl, 2.7 µm, 100 x 3.0 mm HPLC Column",
REST-9629332,9629332,Restek,"Force Biphenyl, 3 µm, 30 x 2.1 mm LC Column",
REST-9178312,9178312,Restek,"Ultra Aqueous C18, 3 µm, 100 x 2.1 mm HPLC Column",
REST-9175312-T,9175312-T,Restek,"Ultra Inert IBD, 3 µm, 100 x 2.1 mm HPLC Column",
REST-9629352,9629352,Restek,"Force Biphenyl, 3 µm, 50 x 2.1 mm LC Column",
REST-9309A52,9309A52,Restek,"Raptor Biphenyl, 2.7 µm, 50 x 2.1 mm HPLC Column",
REST-9160572,9160572,Restek,"Allure Silica, 5 µm, 60 A, 250 x 2.1 mm HPLC Column",
REST-9314A65,9314A65,Restek,"Raptor ARC-18, 2.7 µm, 150 x 4.6 mm HPLC Column",
REST-9325A12,9325A12,Restek,"Raptor EtG/EtS, 2.7 µm, 100 x 2.1 mm LC Column",
REST-27854,27854,Restek,"PFAS Delay Column, 5 µm, 50 x 2.1 mm HPLC Column",
REST-9309A12,9309A12,Restek,"Raptor Biphenyl, 2.7 µm, 100 x 2.1 mm HPLC Column",
REST-9309A12-T,9309A12-T,Restek,"Raptor Inert Biphenyl, 2.7 µm, 100 x 2.1 mm HPLC Column",
REST-962931E,962931E,Restek,"Force Biphenyl, 3 µm, 100 x 3.0 mm LC Column",
REST-9319A12,9319A12,Restek,"Raptor FluoroPhenyl, 2.7 µm, 100 x 2.1 mm HPLC Column",
REST-9303A62,9303A62,Restek,"Raptor C8, 2.7 µm, 150 x 2.1 mm HPLC Column",
REST-9311A12-T,9311A12-T,Restek,"Raptor Inert Polar X, 2.7 µm, 100 x 2.1 mm LC Column",
REST-9314A62-T,9314A62-T,Restek,"Raptor Inert ARC-18, 2.7 µm, 150 x 2.1 mm HPLC Column",
REST-9303A15,9303A15,Restek,"Raptor C8, 2.7 µm, 100 x 4.6 mm HPLC Column",
REST-916556E-T,916556E-T,Restek,"Allure Inert Organic Acids, 5 µm, 150 x 3.0 mm HPLC Column",
REST-9310A52-T,9310A52-T,Restek,"Raptor Inert HILIC-Si, 2.7 µm, 50 x 2.1 mm HPLC Column",
REST-9311A52-T,9311A52-T,Restek,"Raptor Inert Polar X, 2.7 µm, 50 x 2.1 mm LC Column",
REST-963431E-T,963431E-T,Restek,"Force Inert C18, 3 µm, 100 x 3.0 mm LC Column",
REST-9634252-T,9634252-T,Restek,"Force Inert C18, 1.8 µm, 50 x 2.1 mm LC Column",
REST-9319A1E-T,9319A1E-T,Restek,"Raptor Inert FluoroPhenyl, 2.7 µm, 100 x 3.0 mm HPLC Column",
REST-9175332-T,9175332-T,Restek,"Ultra Inert IBD, 3 µm, 30 x 2.1 mm HPLC Column",
REST-9304A1E-T,9304A1E-T,Restek,"Raptor Inert C18, 2.7 µm, 100 x 3.0 mm HPLC Column",
REST-9303A52,9303A52,Restek,"Raptor C8, 2.7 µm, 50 x 2.1 mm HPLC Column",
REST-9309512-T,9309512-T,Restek,"Raptor Inert Biphenyl, 5 µm, 100 x 2.1 mm HPLC Column",
REST-9309252-T,9309252-T,Restek,"Raptor Inert Biphenyl, 1.8 µm, 50 x 2.1 mm HPLC Column",
REST-9304A62-T,9304A62-T,Restek,"Raptor Inert C18, 2.7 µm, 150 x 2.1 mm HPLC Column",
REST-9303A5E,9303A5E,Restek,"Raptor C8, 2.7 µm, 50 x 3.0 mm HPLC Column",
REST-9629212-T,9629212-T,Restek,"Force Inert Biphenyl, 1.8 µm, 100 x 2.1 mm LC Column",
REST-9309A6E-T,9309A6E-T,Restek,"Raptor Inert Biphenyl, 2.7 µm, 150 x 3.0 mm HPLC Column",
REST-930925E-T,930925E-T,Restek,"Raptor Inert Biphenyl, 1.8 µm, 50 x 3.0 mm HPLC Column",
REST-9303A65,9303A65,Restek,"Raptor C8, 2.7 µm, 150 x 4.6 mm HPLC Column",
REST-9634352-T,9634352-T,Restek,"Force Inert C18, 3 µm, 50 x 2.1 mm LC Column",
REST-9309A15-T,9309A15-T,Restek,"Raptor Inert Biphenyl, 2.7 µm, 100 x 4.6 mm HPLC Column",
REST-9311A32-T,9311A32-T,Restek,"Raptor Inert Polar X, 2.7 µm, 30 x 2.1 mm LC Column",
REST-963931E-T,963931E-T,Restek,"Force Inert FluoroPhenyl, 3 µm, 100 x 3.0 mm LC Column",
REST-9310A12-T,9310A12-T,Restek,"Raptor Inert HILIC-Si, 2.7 µm, 100 x 2.1 mm HPLC Column",
REST-9175565-T,9175565-T,Restek,"Ultra Inert IBD, 5 µm, 150 x 4.6 mm HPLC Column",
