productId,partNumber,brand,name,catalogUrl
246028,227-36305-01,Shimadzu,SH-I Guard Retention Gap Columns (产品系列名称),
246029,227-36306-01,Shimadzu,"SH-I Guard Retention Gap Columns (0.32 mm ID, 10 m)",
246030,227-36320-01,Shimadzu,"SH IP Guard Column, 5m, 0.25mm ID x 0.37mm OD",
246031,227-36320-02,Shimadzu,SH-IP Guard Columns,
246032,227-36320-03,Shimadzu,"SH IP Guard Column, 5m, 0.53mm ID x 0.69mm OD",
246033,227-36321-01,Shimadzu,"SH IP Guard Column, 10m, 0.53mm ID x 0.69mm OD",
246034,227-36321-03,Shimadzu,"SH IP Guard Column, 10m, 0.25mm ID x 0.37mm OD",
246035,227-36321-04,Shimadzu,"SH IP Guard Column, 10m, 0.32mm ID x 0.45mm OD",
246036,227-36321-05,Shimadzu,"SH IP Guard Column, 30m, 0.53mm ID x 0.69mm OD",
246037,227-36321-06,Shimadzu,"SH IP Guard Column, 5m, 0.10mm ID x 0.363mm OD",
246038,227-36321-07,Shimadzu,"SH IP Guard Column, 5m, 0.15mm ID x 0.363mm OD",
246039,227-36334-01,Shimadzu,"SH Guard Column Base Deactivated, 5m, 0.25mm ID x 0.37mm OD",
246040,227-36334-02,Shimadzu,"SH Guard Column Base Deactivated, 5m, 0.32mm ID x 0.45mm OD",
246041,227-36334-03,Shimadzu,"SH Guard Column Base Deactivated, 5m, 0.53mm ID x 0.69mm OD",
246042,227-36335-01,Shimadzu,SH Guard Columns Polar Deactivation (系列名称),
246043,227-36335-03,Shimadzu,"SH Guard Column Polar Deactivation, 5m, 0.53mm ID x 0.69mm OD",
246044,227-36335-04,Shimadzu,"SH Guard Column Polar Deactivation, 30m, 0.25mm, 0.37mm OD",
246045,227-36370-01,Shimadzu,SH Guard Column NP Deactivation,
246046,227-36371-01,Shimadzu,"SH Untreated Fused Silica Tubing, 15m, 0.53mm ID",
246047,227-36372-01,Shimadzu,SH Guard Column Hydroguard Deactivation,
246048,227-36372-02,Shimadzu,"SH Guard Column Hydroguard Deactivation, 10m, 0.25mm ID",
246049,227-36385-01,Shimadzu,SH Guard Column Siltek Deactivation,
