productId,partNumber,brand,name
THER-17126-102130,17126-102130,Thermo Fisher Scientific,"Accucore™ C18 HPLC Columns"
THER-17126-032130,17126-032130,Thermo Fisher Scientific,"Accucore™ C18 HPLC Columns"
THER-17126-052130,17126-052130,Thermo Fisher Scientific,"Accucore™ C18 HPLC Columns"
THER-17126-053030,17126-053030,Thermo Fisher Scientific,"Accucore™ C18 HPLC Columns"
THER-17126-054630,17126-054630,Thermo Fisher Scientific,"Accucore™ C18 HPLC Columns"
THER-17126-103030,17126-103030,Thermo Fisher Scientific,"Accucore™ C18 HPLC Columns"
THER-17126-104630,17126-104630,Thermo Fisher Scientific,"Accucore™ C18 HPLC Columns"
THER-17126-152130,17126-152130,Thermo Fisher Scientific,"Accucore™ C18 HPLC Columns"
THER-17126-153030,17126-153030,Thermo Fisher Scientific,"Accucore™ C18 HPLC Columns"
THER-17126-154630,17126-154630,Thermo Fisher Scientific,"Accucore™ C18 HPLC Columns 150 mm"
THER-25003-154630,25003-154630,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 150 mm"
THER-25003-032130,25003-032130,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 30 mm"
THER-25003-034630,25003-034630,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 30 mm"
THER-25003-052130,25003-052130,Thermo Fisher Scientific,"25003-052130 - HYPERSIL GOLD 3UM 50X2.1MM COLUMN"
THER-25003-053030,25003-053030,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 50 mm"
THER-25003-054630,25003-054630,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 50 mm"
THER-25003-101030,25003-101030,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 100 mm"
THER-25003-102130,25003-102130,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25003-103030,25003-103030,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25003-104030,25003-104030,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 100 mm"
THER-25003-104630,25003-104630,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 100 mm"
THER-25003-152130,25003-152130,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns (150 mm)"
THER-25003-153030,25003-153030,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 150 mm"
THER-25003-154030,25003-154030,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 150 mm"
THER-25003-014001,25003-014001,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25002-012135,25002-012135,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 10 mm"
THER-25002-022130,25002-022130,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25002-031030,25002-031030,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 30 mm"
THER-25002-032130,25002-032130,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25002-051030,25002-051030,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25002-052130,25002-052130,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 50 mm"
THER-25002-053030,25002-053030,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 50 mm"
THER-25002-054630,25002-054630,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 50 mm"
THER-25002-101030,25002-101030,Thermo Fisher Scientific,"Thermo Scientific™ Hypersil GOLD™ C18 Selectivity HPLC Columns 100 mm"
THER-25002-102130,25002-102130,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 100 mm"
THER-25002-103030,25002-103030,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25002-152130,25002-152130,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 150 mm"
THER-25002-202130,25002-202130,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25003-011001,25003-011001,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25003-012101,25003-012101,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25003-013001,25003-013001,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 10 mm"
THER-25005-011001,25005-011001,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25005-012101,25005-012101,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 10 mm"
THER-25005-013001,25005-013001,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25005-014001,25005-014001,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 10 mm"
THER-25005-029223,25005-029223,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 20 mm"
THER-25005-052130,25005-052130,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 50 mm"
THER-25005-053030,25005-053030,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25005-054630,25005-054630,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 50 mm"
THER-25005-102130,25005-102130,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25005-104630,25005-104630,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25005-152130,25005-152130,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25005-153030,25005-153030,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 150 mm"
THER-25005-154030,25005-154030,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns 150 mm"
THER-25005-154630,25005-154630,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25005-253030,25005-253030,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25005-254630,25005-254630,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25012-029223,25012-029223,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25012-022130,25012-022130,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-25002-104630,25002-104630,Thermo Fisher Scientific,"Hypersil GOLD™ C18 Selectivity HPLC Columns"
THER-26098-0200,26098-0200,Thermo Fisher Scientific,"TraceGOLD™ TG-5MS GC Columns, 0.25μm, 0.25mm I.D., 30m length"
THER-26098-0205,26098-0205,Thermo Fisher Scientific,"TraceGOLD™ TG-5MS Guard GC Columns with SafeGuard, 5m x 0.25mm I.D. x 0.25μm"
THER-26098-0300,26098-0300,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 0.25μm, 0.25mm I.D., 30m length"
THER-26098-0305,26098-0305,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 0.5μm, 0.25mm I.D., 30m length"
THER-26098-0310,26098-0310,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 1.0μm, 0.25mm I.D., 30m length"
