productId,partNumber,brand,name,catalogUrl
245029,17126-102130,Thermo Fisher Scientific,Accucore™ C18 HPLC Columns,
245030,17126-032130,Thermo Fisher Scientific,Accucore™ C18 HPLC Columns,
245031,17126-052130,Thermo Fisher Scientific,Accucore™ C18 HPLC Columns,
245032,17126-053030,Thermo Fisher Scientific,Accucore™ C18 HPLC Columns,
245033,17126-054630,Thermo Fisher Scientific,Accucore™ C18 HPLC Columns,
245034,17126-103030,Thermo Fisher Scientific,Accucore™ C18 HPLC Columns,
245035,17126-104630,Thermo Fisher Scientific,Accucore™ C18 HPLC Columns,
245036,17126-152130,Thermo Fisher Scientific,Accucore™ C18 HPLC Columns,
245037,17126-153030,Thermo Fisher Scientific,Accucore™ C18 HPLC Columns,
245038,17126-154630,Thermo Fisher Scientific,Accucore™ C18 HPLC Columns 150 mm,
245039,25003-154630,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 150 mm,
245040,25003-032130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 30 mm,
245041,25003-034630,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 30 mm,
245042,25003-052130,Thermo Fisher Scientific,25003-052130 - HYPERSIL GOLD 3UM 50X2.1MM COLUMN,
245043,25003-053030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 50 mm,
245044,25003-054630,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 50 mm,
245045,25003-101030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 100 mm,
245046,25003-102130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245047,25003-103030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245048,25003-104030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 100 mm,
245049,25003-104630,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 100 mm,
245050,25003-152130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns (150 mm),
245051,25003-153030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 150 mm,
245052,25003-154030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 150 mm,
245053,25003-014001,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245054,25002-012135,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 10 mm,
245055,25002-022130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245056,25002-031030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 30 mm,
245057,25002-032130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245058,25002-051030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245059,25002-052130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 50 mm,
245060,25002-053030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 50 mm,
245061,25002-054630,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 50 mm,
245062,25002-101030,Thermo Fisher Scientific,Thermo Scientific™ Hypersil GOLD™ C18 Selectivity HPLC Columns 100 mm,
245063,25002-102130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 100 mm,
245064,25002-103030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245065,25002-152130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 150 mm,
245066,25002-202130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245067,25003-011001,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245068,25003-012101,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245069,25003-013001,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 10 mm,
245070,25005-011001,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245071,25005-012101,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 10 mm,
245072,25005-013001,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245073,25005-014001,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 10 mm,
245074,25005-029223,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 20 mm,
245075,25005-052130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 50 mm,
245076,25005-053030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245077,25005-054630,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 50 mm,
245078,25005-102130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245079,25005-104630,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245080,25005-152130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245081,25005-153030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 150 mm,
245082,25005-154030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns 150 mm,
245083,25005-154630,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245084,25005-253030,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245085,25005-254630,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245086,25012-029223,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245087,25012-022130,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245088,25002-104630,Thermo Fisher Scientific,Hypersil GOLD™ C18 Selectivity HPLC Columns,
245571,26098-0200,Thermo Fisher Scientific,"TraceGOLD™ TG-5MS GC Columns, 0.25μm, 0.25mm I.D., 30m length",
245572,26098-0205,Thermo Fisher Scientific,"TraceGOLD™ TG-5MS Guard GC Columns with SafeGuard, 5m x 0.25mm I.D. x 0.25μm",
245573,26098-0300,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 0.25μm, 0.25mm I.D., 30m length",
245574,26098-0305,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 0.5μm, 0.25mm I.D., 30m length",
245575,26098-0310,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 1.0μm, 0.25mm I.D., 30m length",
245576,26098-0315,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 0.25μm, 0.32mm I.D., 30m length",
245577,26098-0320,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 0.5μm, 0.32mm I.D., 30m length",
245578,26098-0325,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 1.0μm, 0.32mm I.D., 30m length",
245579,26098-0330,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 0.25μm, 0.53mm I.D., 30m length",
245580,26098-0335,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 1.0μm, 0.53mm I.D., 30m length",
245581,26098-0340,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 1.5μm, 0.53mm I.D., 30m length",
245582,26098-0345,Thermo Fisher Scientific,"TraceGOLD™ TG-WaxMS GC Columns, 3.0μm, 0.53mm I.D., 30m length",
245583,26098-0400,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.1μm, 0.25mm I.D., 15m length",
245584,26098-0405,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.25μm, 0.25mm I.D., 30m length",
245585,26098-0410,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.5μm, 0.25mm I.D., 30m length",
245586,26098-0415,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.1μm, 0.32mm I.D., 15m length",
245587,26098-0420,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.25μm, 0.32mm I.D., 30m length",
245588,26098-0425,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.5μm, 0.32mm I.D., 30m length",
245589,26098-0430,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.1μm, 0.53mm I.D., 15m length",
245590,26098-0435,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 0.25μm, 0.53mm I.D., 30m length",
245591,26098-0440,Thermo Fisher Scientific,"TraceGOLD TG-5HT GC Columns, 1.0μm, 0.53mm I.D., 30m length",
245592,26098-0500,Thermo Fisher Scientific,"TraceGOLD™ TG-624 and TG-624SilMS GC Columns, 0.25μm, 0.25mm I.D., 30m length",
