productId,partNumber,brand,name,description,particleSize,poreSize,columnLength,innerDiameter,phaseType,phMin,phMax,phRange,maxPressure,maxTemperature,usp,imageUrl,catalogUrl,status
PHEN-Vial-Clear-0.3ml-8mm,Vial-Clear-0.3ml-8mm,Phenomenex,Clear Glass Vial 0.3mL 8mm,"Clear Glass Vial 0.3mL 8mm; Series: Autosampler Vials; 0.3mL clear glass vial, 8mm screw neck",,,,,,,,,,,,,,active
PHEN-Vial-Clear-0.3ml-9mm,Vial-Clear-0.3ml-9mm,Phenomenex,Clear Glass Vial 0.3mL 9mm,"Clear Glass Vial 0.3mL 9mm; Series: Autosampler Vials; 0.3mL clear glass vial, 9mm screw neck",,,,,,,,,,,,,,active
PHEN-Vial-Clear-1.0ml-9mm,Vial-Clear-1.0ml-9mm,Phenomenex,Clear Glass Vial 1.0mL 9mm,"Clear Glass Vial 1.0mL 9mm; Series: Autosampler Vials; 1.0mL clear glass vial, 9mm screw neck",,,,,,,,,,,,,,active
PHEN-Vial-Clear-1.0ml-11mm,Vial-Clear-1.0ml-11mm,Phenomenex,Clear Glass Vial 1.0mL 11mm,"Clear Glass Vial 1.0mL 11mm; Series: Autosampler Vials; 1.0mL clear glass vial, 11mm screw neck",,,,,,,,,,,,,,active
PHEN-Vial-Clear-1.5ml-9mm,Vial-Clear-1.5ml-9mm,Phenomenex,Clear Glass Vial 1.5mL 9mm,"Clear Glass Vial 1.5mL 9mm; Series: Autosampler Vials; 1.5mL clear glass vial, 9mm screw neck",,,,,,,,,,,,,,active
PHEN-Vial-Clear-1.5ml-11mm,Vial-Clear-1.5ml-11mm,Phenomenex,Clear Glass Vial 1.5mL 11mm,"Clear Glass Vial 1.5mL 11mm; Series: Autosampler Vials; 1.5mL clear glass vial, 11mm screw neck",,,,,,,,,,,,,,active
PHEN-Vial-Clear-2.0ml-9mm,Vial-Clear-2.0ml-9mm,Phenomenex,Clear Glass Vial 2.0mL 9mm,"Clear Glass Vial 2.0mL 9mm; Series: Autosampler Vials; 2.0mL clear glass vial, 9mm screw neck",,,,,,,,,,,,,,active
PHEN-Vial-Clear-2.0ml-11mm,Vial-Clear-2.0ml-11mm,Phenomenex,Clear Glass Vial 2.0mL 11mm,"Clear Glass Vial 2.0mL 11mm; Series: Autosampler Vials; 2.0mL clear glass vial, 11mm screw neck",,,,,,,,,,,,,,active
PHEN-Vial-Clear-2.0ml-13mm,Vial-Clear-2.0ml-13mm,Phenomenex,Clear Glass Vial 2.0mL 13mm,"Clear Glass Vial 2.0mL 13mm; Series: Autosampler Vials; 2.0mL clear glass vial, 13mm screw neck",,,,,,,,,,,,,,active
PHEN-Vial-Clear-4.0ml-13mm,Vial-Clear-4.0ml-13mm,Phenomenex,Clear Glass Vial 4.0mL 13mm,"Clear Glass Vial 4.0mL 13mm; Series: Autosampler Vials; 4.0mL clear glass vial, 13mm screw neck",,,,,,,,,,,,,,active
PHEN-Vial-Amber-1.0ml-9mm,Vial-Amber-1.0ml-9mm,Phenomenex,Amber Glass Vial 1.0mL 9mm,"Amber Glass Vial 1.0mL 9mm; Series: Autosampler Vials; 1.0mL amber glass vial, 9mm screw neck, light-sensitive samples",,,,,,,,,,,,,,active
