productId,partNumber,brand,name,description,descriptionQuality,specifications
WATS-186010613,186010613,Waters,"CORTECS Premier T3, 2.7 µm, 4.6 x 250 mm Column, 1/pk","The CORTECS Premier T3, 2.7 µm, 4.6 x 250 mm Column is compatible with 100% aqueous mobile phases, and provide excellent retention for polar and non-polar analytes. The particle morphology offers high efficiency and lower backpressure when compared to fully porous particles of similar particle size. CORTECS Premier T3 provides you with ultra-low column MS bleed, long lifetimes and excellent peak shape. CORTECS Premier Columns use MaxPeak High Performance Surface hardware technology which signifi",high,"{""Chemistry"": ""C18"", ""Separation Mode"": ""Reversed Phase"", ""Particle Substrate"": ""Silica"", ""pH Range Min"": ""2 pH"", ""pH Range Max"": ""8 pH"", ""Temperature Limits"": ""60 C"", ""Maximum Pressure"": ""18000 psi (1240 Bar)"", ""Endcapped"": ""Yes"", ""Bonding Technology"": ""T3"", ""Silanol Activity"": ""Low"", ""Particle Shape"": ""Spherical"", ""Particle Size"": ""2.7 µm"", ""Endfitting Type"": ""Parker-style"", ""Pore Size"": ""120 Å"", ""Format"": ""Premier Column"", ""Surface Area"": ""100"", ""System"": ""HPLC, UHPLC"", ""Particle Technology"": ""Solid Core"", ""Technique"": ""LC"", ""USP Classification"": ""L1"", ""Inner Diameter"": ""4.6 mm"", ""Length"": ""250 mm"", ""Carbon Load"": ""4.7 %"", ""UNSPSC"": ""41115709"", ""Application"": ""Small Molecule"", ""Brand"": ""CORTECS"", ""Product Type"": ""Columns"", ""Units per Package"": ""1 pk""}"
WATS-186010484,186010484,Waters,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 4.6 mm X 150 mm, 1/pk","The CORTECS Premier T3 2.7 µm 4.6 x 150 mm Columns are compatible with 100% aqueous mobile phases, and provide excellent retention for polar and non-polar analytes. The particle morphology offers high efficiency and lower backpressure when compared to fully porous particles of similar particle size. CORTECS Premier T3 provides you with ultra-low column MS bleed, long lifetimes and excellent peak shape. CORTECS Premier Columns use MaxPeak High Performance Surface hardware technology which signifi",high,"{""Chemistry"": ""C18"", ""Separation Mode"": ""Reversed Phase"", ""Particle Substrate"": ""Silica"", ""pH Range Min"": ""2 pH"", ""pH Range Max"": ""8 pH"", ""Maximum Pressure"": ""18000 psi (1240 Bar)"", ""Endcapped"": ""Yes"", ""Bonding Technology"": ""T3"", ""Silanol Activity"": ""Low"", ""Particle Shape"": ""Spherical"", ""Particle Size"": ""2.7 µm"", ""Endfitting Type"": ""Parker-style"", ""Pore Size"": ""120 Å"", ""Format"": ""Premier Column"", ""Surface Area"": ""100"", ""System"": ""UHPLC, UPLC"", ""Particle Technology"": ""Solid Core"", ""Technique"": ""LC"", ""USP Classification"": ""L1"", ""Inner Diameter"": ""4.6 mm"", ""Length"": ""150 mm"", ""Carbon Load"": ""4.7 %"", ""UNSPSC"": ""41115709"", ""Brand"": ""CORTECS"", ""Product Type"": ""Columns"", ""Units per Package"": ""1 pk""}"
WATS-186010482,186010482,Waters,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 4.6 mm X 50 mm, 1/pk","The CORTECS Premier T3 2.7 µm 4.6 x 50 mm Columns are compatible with 100% aqueous mobile phases, and provide excellent retention for polar and non-polar analytes. The particle morphology offers high efficiency and lower backpressure when compared to fully porous particles of similar particle size. CORTECS Premier T3 provides you with ultra-low column MS bleed, long lifetimes and excellent peak shape. CORTECS Premier Columns use MaxPeak High Performance Surface hardware technology which signific",high,"{""Chemistry"": ""C18"", ""Separation Mode"": ""Reversed Phase"", ""Particle Substrate"": ""Silica"", ""pH Range Min"": ""2 pH"", ""pH Range Max"": ""8 pH"", ""Maximum Pressure"": ""18000 psi (1240 Bar)"", ""Endcapped"": ""Yes"", ""Bonding Technology"": ""T3"", ""Silanol Activity"": ""Low"", ""Particle Shape"": ""Spherical"", ""Particle Size"": ""2.7 µm"", ""Endfitting Type"": ""Parker-style"", ""Pore Size"": ""120 Å"", ""Format"": ""Premier Column"", ""Surface Area"": ""100"", ""System"": ""UHPLC, UPLC"", ""Particle Technology"": ""Solid Core"", ""Technique"": ""LC"", ""USP Classification"": ""L1"", ""Inner Diameter"": ""4.6 mm"", ""Length"": ""50 mm"", ""Carbon Load"": ""4.7 %"", ""UNSPSC"": ""41115709"", ""Brand"": ""CORTECS"", ""Product Type"": ""Columns"", ""Units per Package"": ""1 pk""}"
WATS-186010477,186010477,Waters,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 2.1 mm X 150 mm, 1/pk","The CORTECS Premier T3 2.7 µm 2.1 x 150 mm Columns are compatible with 100% aqueous mobile phases, and provide excellent retention for polar and non-polar analytes. The particle morphology offers high efficiency and lower backpressure when compared to fully porous particles of similar particle size. CORTECS Premier T3 provides you with ultra-low column MS bleed, long lifetimes and excellent peak shape. CORTECS Premier Columns use MaxPeak High Performance Surface hardware technology which signifi",high,"{""Chemistry"": ""C18"", ""Separation Mode"": ""Reversed Phase"", ""Particle Substrate"": ""Silica"", ""pH Range Min"": ""2 pH"", ""pH Range Max"": ""8 pH"", ""Maximum Pressure"": ""18000 psi (1240 Bar)"", ""Endcapped"": ""Yes"", ""Bonding Technology"": ""T3"", ""Silanol Activity"": ""Low"", ""Particle Shape"": ""Spherical"", ""Particle Size"": ""2.7 µm"", ""Endfitting Type"": ""Parker-style"", ""Pore Size"": ""120 Å"", ""Format"": ""Premier Column"", ""Surface Area"": ""100"", ""System"": ""UHPLC, UPLC"", ""Particle Technology"": ""Solid Core"", ""Technique"": ""LC"", ""USP Classification"": ""L1"", ""Inner Diameter"": ""2.1 mm"", ""Length"": ""150 mm"", ""Carbon Load"": ""4.7 %"", ""eCord"": ""Yes"", ""UNSPSC"": ""41115709"", ""Brand"": ""CORTECS"", ""Product Type"": ""Columns"", ""Units per Package"": ""1 pk""}"
WATS-186010476,186010476,Waters,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 2.1 mm X 100 mm, 1/pk","The CORTECS Premier T3 2.7 µm 2.1 x 100 mm Columns are compatible with 100% aqueous mobile phases, and provide excellent retention for polar and non-polar analytes. The particle morphology offers high efficiency and lower backpressure when compared to fully porous particles of similar particle size. CORTECS Premier T3 provides you with ultra-low column MS bleed, long lifetimes and excellent peak shape. CORTECS Premier Columns use MaxPeak High Performance Surface hardware technology which signifi",high,"{""Chemistry"": ""C18"", ""Separation Mode"": ""Reversed Phase"", ""Particle Substrate"": ""Silica"", ""pH Range Min"": ""2 pH"", ""pH Range Max"": ""8 pH"", ""Maximum Pressure"": ""18000 psi (1240 Bar)"", ""Endcapped"": ""Yes"", ""Bonding Technology"": ""T3"", ""Silanol Activity"": ""Low"", ""Particle Shape"": ""Spherical"", ""Particle Size"": ""2.7 µm"", ""Endfitting Type"": ""Parker-style"", ""Pore Size"": ""120 Å"", ""Format"": ""Premier Column"", ""Surface Area"": ""100"", ""System"": ""UHPLC, UPLC"", ""Particle Technology"": ""Solid Core"", ""Technique"": ""LC"", ""USP Classification"": ""L1"", ""Inner Diameter"": ""2.1 mm"", ""Length"": ""100 mm"", ""Carbon Load"": ""4.7 %"", ""eCord"": ""Yes"", ""UNSPSC"": ""41115709"", ""Brand"": ""CORTECS"", ""Product Type"": ""Columns"", ""Units per Package"": ""1 pk""}"
WATS-186010483,186010483,Waters,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 4.6 mm X 100 mm, 1/pk","The CORTECS Premier T3 2.7 µm 4.6 x 100 mm Columns are compatible with 100% aqueous mobile phases, and provide excellent retention for polar and non-polar analytes. The particle morphology offers high efficiency and lower backpressure when compared to fully porous particles of similar particle size. CORTECS Premier T3 provides you with ultra-low column MS bleed, long lifetimes and excellent peak shape. CORTECS Premier Columns use MaxPeak High Performance Surface hardware technology which signifi",high,"{""Chemistry"": ""C18"", ""Separation Mode"": ""Reversed Phase"", ""Particle Substrate"": ""Silica"", ""pH Range Min"": ""2 pH"", ""pH Range Max"": ""8 pH"", ""Maximum Pressure"": ""18000 psi (1240 Bar)"", ""Endcapped"": ""Yes"", ""Bonding Technology"": ""T3"", ""Silanol Activity"": ""Low"", ""Particle Shape"": ""Spherical"", ""Particle Size"": ""2.7 µm"", ""Endfitting Type"": ""Parker-style"", ""Pore Size"": ""120 Å"", ""Format"": ""Premier Column"", ""Surface Area"": ""100"", ""System"": ""UHPLC, UPLC"", ""Particle Technology"": ""Solid Core"", ""Technique"": ""LC"", ""USP Classification"": ""L1"", ""Inner Diameter"": ""4.6 mm"", ""Length"": ""100 mm"", ""Carbon Load"": ""4.7 %"", ""UNSPSC"": ""41115709"", ""Brand"": ""CORTECS"", ""Product Type"": ""Columns"", ""Units per Package"": ""1 pk""}"
WATS-186010475,186010475,Waters,"CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 2.1 mm X 50 mm, 1/pk","The CORTECS Premier T3 2.7 µm 2.1 x 50 mm Columns are compatible with 100% aqueous mobile phases, and provide excellent retention for polar and non-polar analytes. The particle morphology offers high efficiency and lower backpressure when compared to fully porous particles of similar particle size. CORTECS Premier T3 provides you with ultra-low column MS bleed, long lifetimes and excellent peak shape. CORTECS Premier Columns use MaxPeak High Performance Surface hardware technology which signific",high,"{""Chemistry"": ""C18"", ""Separation Mode"": ""Reversed Phase"", ""Particle Substrate"": ""Silica"", ""pH Range Min"": ""2 pH"", ""pH Range Max"": ""8 pH"", ""Maximum Pressure"": ""18000 psi (1240 Bar)"", ""Endcapped"": ""Yes"", ""Bonding Technology"": ""T3"", ""Silanol Activity"": ""Low"", ""Particle Size"": ""2.7 µm"", ""Endfitting Type"": ""Parker-style"", ""Pore Size"": ""120 Å"", ""Format"": ""Premier Column"", ""Surface Area"": ""100"", ""System"": ""UHPLC, UPLC"", ""Particle Technology"": ""Solid Core"", ""Technique"": ""LC"", ""USP Classification"": ""L1"", ""Inner Diameter"": ""2.1 mm"", ""Length"": ""50 mm"", ""Carbon Load"": ""4.7 %"", ""eCord"": ""Yes"", ""UNSPSC"": ""41115709"", ""Brand"": ""CORTECS"", ""Product Type"": ""Columns"", ""Units per Package"": ""1 pk""}"
WATS-186010469,186010469,Waters,"CORTECS Premier C18+ VanGuard FIT Column, 2.7 µm, 4.6 mm X 100 mm, 1/pk","The CORTECS Premier C18 2.7 µm 4.6 X 100 mm Columns are general purpose, high-efficiency columns based on a solid-core particle that offer balanced retention of acids, bases and neutrals at low and mid-range pH. CORTECS Premier Columns use MaxPeak High Performance Surface hardware technology which significantly reduces unwanted analyte/surface interactions that can lead to poor peak shape and losses in signal intensity. The VanGuard Fit column design protects the column from contaminants and inc",high,"{""Chemistry"": ""C18"", ""Separation Mode"": ""Reversed Phase"", ""Particle Substrate"": ""Silica"", ""pH Range Min"": ""2 pH"", ""pH Range Max"": ""8 pH"", ""Maximum Pressure"": ""18000 psi (1240 Bar)"", ""Endcapped"": ""Yes"", ""Silanol Activity"": ""Low"", ""Particle Shape"": ""Spherical"", ""Particle Size"": ""2.7 µm"", ""Endfitting Type"": ""Parker-style"", ""Pore Size"": ""90 Å"", ""Format"": ""Premier Column"", ""Surface Area"": ""100"", ""System"": ""UHPLC, UPLC"", ""Particle Technology"": ""Solid Core"", ""Technique"": ""LC"", ""USP Classification"": ""L1"", ""Inner Diameter"": ""4.6 mm"", ""Length"": ""100 mm"", ""Carbon Load"": ""6.6 %"", ""UNSPSC"": ""41115709"", ""Brand"": ""CORTECS"", ""Product Type"": ""Columns"", ""Units per Package"": ""1 pk""}"
WATS-186010468,186010468,Waters,"CORTECS Premier C18+ VanGuard FIT Column, 2.7 µm, 4.6 mm X 50 mm, 1/pk","The CORTECS Premier C18 2.7 µm 4.6 X 50 mm Columns are general purpose, high-efficiency columns based on a solid-core particle that offer balanced retention of acids, bases and neutrals at low and mid-range pH. CORTECS Premier Columns use MaxPeak High Performance Surface hardware technology which significantly reduces unwanted analyte/surface interactions that can lead to poor peak shape and losses in signal intensity. The VanGuard Fit column design protects the column from contaminants and incr",high,"{""Chemistry"": ""C18"", ""Separation Mode"": ""Reversed Phase"", ""Particle Substrate"": ""Silica"", ""pH Range Min"": ""2 pH"", ""pH Range Max"": ""8 pH"", ""Maximum Pressure"": ""18000 psi (1240 Bar)"", ""Endcapped"": ""Yes"", ""Silanol Activity"": ""Low"", ""Particle Shape"": ""Spherical"", ""Particle Size"": ""2.7 µm"", ""Endfitting Type"": ""Parker-style"", ""Pore Size"": ""90 Å"", ""Format"": ""Premier Column"", ""Surface Area"": ""100"", ""System"": ""UHPLC, UPLC"", ""Particle Technology"": ""Solid Core"", ""Technique"": ""LC"", ""USP Classification"": ""L1"", ""Inner Diameter"": ""4.6 mm"", ""Length"": ""50 mm"", ""Carbon Load"": ""6.6 %"", ""UNSPSC"": ""41115709"", ""Brand"": ""CORTECS"", ""Product Type"": ""Columns"", ""Units per Package"": ""1 pk""}"
WATS-186010470,186010470,Waters,"CORTECS Premier C18+ VanGuard FIT Column, 2.7 µm, 4.6 mm X 150 mm, 1/pk","The CORTECS Premier C18+ 2.7 µm 4.6 X 150 mm Columns are general purpose, high efficiency C18 columns based on a solid-core particle that are designed to deliver excellent peak shape for basic analytes at low pH. CORTECS Premier Columns use MaxPeak High Performance Surface hardware technology which significantly reduces unwanted analyte/surface interactions that can lead to poor peak shape and losses in signal intensity. The VanGuard Fit column design protects the column from contaminants and in",high,"{""Chemistry"": ""C18"", ""Separation Mode"": ""Reversed Phase"", ""Particle Substrate"": ""Silica"", ""pH Range Min"": ""2 pH"", ""pH Range Max"": ""8 pH"", ""Maximum Pressure"": ""18000 psi (1240 Bar)"", ""Endcapped"": ""Yes"", ""Bonding Technology"": ""C18+"", ""Silanol Activity"": ""Low"", ""Particle Shape"": ""Spherical"", ""Particle Size"": ""2.7 µm"", ""Endfitting Type"": ""Parker-style"", ""Pore Size"": ""90 Å"", ""Format"": ""Premier Column"", ""Surface Area"": ""100"", ""System"": ""UHPLC, UPLC"", ""Particle Technology"": ""Solid Core"", ""Technique"": ""LC"", ""USP Classification"": ""L1"", ""Inner Diameter"": ""4.6 mm"", ""Length"": ""150 mm"", ""Carbon Load"": ""5.7 %"", ""UNSPSC"": ""41115709"", ""Brand"": ""CORTECS"", ""Product Type"": ""Columns"", ""Units per Package"": ""1 pk""}"
