productId,partNumber,brand,name
WATS-186010613,"186010613","Waters","CORTECS Premier T3, 2.7 µm, 4.6 x 250 mm Column, 1/pk"
WATS-186010484,"186010484","Waters","CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 4.6 mm X 150 mm, 1/pk"
WATS-186010482,"186010482","Waters","CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 4.6 mm X 50 mm, 1/pk"
WATS-186010477,"186010477","Waters","CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 2.1 mm X 150 mm, 1/pk"
WATS-186010476,"186010476","Waters","CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 2.1 mm X 100 mm, 1/pk"
WATS-186010483,"186010483","Waters","CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 4.6 mm X 100 mm, 1/pk"
WATS-186010475,"186010475","Waters","CORTECS Premier T3 VanGuard FIT Column, 2.7 µm, 2.1 mm X 50 mm, 1/pk"
WATS-186010469,"186010469","Waters","CORTECS Premier C18+ VanGuard FIT Column, 2.7 µm, 4.6 mm X 100 mm, 1/pk"
WATS-186010468,"186010468","Waters","CORTECS Premier C18+ VanGuard FIT Column, 2.7 µm, 4.6 mm X 50 mm, 1/pk"
WATS-186010470,"186010470","Waters","CORTECS Premier C18+ VanGuard FIT Column, 2.7 µm, 4.6 mm X 150 mm, 1/pk"
WATS-186007768,"186007768","Waters","XBridge BEH C18 VanGuard Cartridge, 130Å, 3.5 µm, 3.9 mm X 5 mm, 3/pk"
WATS-186007771,"186007771","Waters","XBridge BEH C18 VanGuard Cartridge, 130Å, 5 µm, 3.9 mm X 5 mm, 3/pk"
WATS-186005303,"186005303","Waters","ACQUITY UPLC CSH C18 VanGuard Pre-column, 130Å, 1.7 µm, 2.1 mm X 5 mm, 3/pk"
WATS-186003976,"186003976","Waters","ACQUITY UPLC HSS T3 VanGuard Pre-column, 100Å, 1.8 µm, 2.1 mm X 5 mm, 3/pk"
WATS-186009373,"186009373","Waters","Atlantis Premier BEH C18 AX VanGuard FIT Cartridge, 1.7 µm, 2.1 x 5 mm, 3/pk"
WATS-186007772,"186007772","Waters","XBridge BEH C18 XP VanGuard Cartridge, 130Å, 2.5 µm, 2.1 mm X 5 mm, 3/pk"
WATS-186007769,"186007769","Waters","XBridge BEH C18 VanGuard Cartridge, 130Å, 5 µm, 2.1 mm X 5 mm, 3/pk"
WATS-186007770,"186007770","Waters","XBridge BEH C18 VanGuard Cartridge, 130Å, 5 µm, 2.1 X 5 mm, 3/pk"
WATS-186007773,"186007773","Waters","XBridge BEH C18 XP VanGuard Cartridge, 130Å, 2.5 µm, 3.9 X 5 mm, 3/pk"
WATS-186005304,"186005304","Waters","ACQUITY UPLC CSH C18 VanGuard Pre-column, 130Å, 1.7 µm, 3.0 X 5 mm, 3/pk"
WATS-186003977,"186003977","Waters","ACQUITY UPLC HSS T3 VanGuard Pre-column, 100Å, 1.8 µm, 3.0 X 5 mm, 3/pk"
WATS-186009374,"186009374","Waters","Atlantis Premier BEH C18 AX VanGuard FIT Cartridge, 1.7 µm, 3.9 X 5 mm, 3/pk"
WATS-186007774,"186007774","Waters","XBridge BEH C18 XP VanGuard Cartridge, 130Å, 2.5 µm, 3.9 mm X 5 mm, 3/pk"
WATS-186007775,"186007775","Waters","XBridge BEH C18 XP VanGuard Cartridge, 130Å, 3.5 µm, 3.9 X 5 mm, 3/pk"
WATS-186007776,"186007776","Waters","XBridge BEH C18 XP VanGuard Cartridge, 130Å, 5 µm, 2.1 X 5 mm, 3/pk"
WATS-186007777,"186007777","Waters","XBridge BEH C18 XP VanGuard Cartridge, 130Å, 5 µm, 3.9 X 5 mm, 3/pk"
WATS-186010383,"186010383","Waters","ACQUITY Premier BEH C18 VanGuard FIT Cartridge, 1.7 µm, 2.1 X 5 mm, 3/pk"
WATS-186010408,"186010408","Waters","AccQ-Tag Ultra C18 VanGuard Cartridge, 2.5 µm, 3.9 x 5mm, 3/pk *"
WATS-186010376,"186010376","Waters","XBridge Premier BEH C8 VanGuard FIT Cartridge, 2.5 µm, 3.9 x 5 mm, 3/pk"
WATS-186010021,"186010021","Waters","ACQUITY Premier HSS C18 VanGuard FIT Cartridge, 1.8 µm, 2.1 x 5 mm, 3/pk"
WATS-186010056,"186010056","Waters","XSelect Premier HSS PFP VanGuard FIT Cartridge, 2.5 µm, 3.9 x 5 mm, 3/pk"
WATS-186010049,"186010049","Waters","XSelect Premier HSS PFP VanGuard FIT Cartridge, 2.5 µm, 2.1 x 5 mm, 3/pk"
WATS-186010042,"186010042","Waters","ACQUITY Premier HSS PFP VanGuard FIT Cartridge, 1.8 µm, 2.1 x 5 mm, 3/pk"
WATS-186010035,"186010035","Waters","XSelect Premier HSS C18 VanGuard FIT Cartridge, 2.5 µm, 3.9 x 5 mm, 3/pk"
WATS-186010397,"186010397","Waters","XBridge Premier BEH HILIC VanGuard FIT Cartridge, 2.5 µm, 3.9 x 5 mm, 3/pk"
WATS-186010390,"186010390","Waters","XBridge Premier BEH HILIC VanGuard FIT Cartridge, 2.5 µm, 2.1 x 5 mm, 3/pk"
WATS-186010369,"186010369","Waters","XBridge Premier BEH C8 VanGuard FIT Cartridge, 2.5 µm, 2.1 x 5 mm, 3/pk"
WATS-186010362,"186010362","Waters","ACQUITY Premier BEH C8 VanGuard FIT Cartridge, 1.7 µm, 2.1 x 5 mm, 3/pk"
WATS-186010355,"186010355","Waters","XBridge Premier BEH Phenyl VanGuard FIT Cartridge, 2.5 µm, 3.9 x 5 mm, 3/pk"
WATS-186010348,"186010348","Waters","XBridge Premier BEH Phenyl VanGuard FIT Cartridge, 2.5 µm, 2.1 x 5 mm, 3/pk"
WATS-186010341,"186010341","Waters","ACQUITY Premier BEH Phenyl VanGuard FIT Cartridge, 1.7 µm, 2.1 x 5 mm, 3/pk"
WATS-186010014,"186010014","Waters","Atlantis Premier BEH Z-HILIC VanGuard FIT Cartridge, 1.7 µm, 3.9 X 5 mm, 3/pk"
WATS-186010005,"186010005","Waters","Atlantis Premier BEH Z-HILIC VanGuard FIT Cartridge, 1.7 µm, 2.1 X 5 mm, 3/pk"
WATS-186010063,"186010063","Waters","XSelect Premier HSS T3 VanGuard FIT Cartridge, 2.5 µm, 3.9 X 5 mm, 3/pk"
WATS-186010059,"186010059","Waters","XSelect Premier HSS T3 VanGuard FIT Cartridge, 2.5 µm, 2.1 X 5 mm, 3/pk"
WATS-186010052,"186010052","Waters","ACQUITY Premier HSS T3 VanGuard FIT Cartridge, 1.8 µm, 3.9 X 5 mm, 3/pk"
WATS-186010045,"186010045","Waters","XSelect Premier HSS C18 VanGuard FIT Cartridge, 2.5 µm, 2.1 X 5 mm, 3/pk"
WATS-186010398,"186010398","Waters","XBridge Premier BEH HILIC VanGuard FIT Cartridge, 3.5 µm, 3.9 X 5 mm, 3/pk"
WATS-186010391,"186010391","Waters","XBridge Premier BEH HILIC VanGuard FIT Cartridge, 3.5 µm, 2.1 X 5 mm, 3/pk"
WATS-186010370,"186010370","Waters","XBridge Premier BEH C8 VanGuard FIT Cartridge, 3.5 µm, 2.1 X 5 mm, 3/pk"
WATS-186010363,"186010363","Waters","ACQUITY Premier BEH C8 VanGuard FIT Cartridge, 1.7 µm, 3.9 X 5 mm, 3/pk"
WATS-186010356,"186010356","Waters","XBridge Premier BEH Phenyl VanGuard FIT Cartridge, 3.5 µm, 3.9 X 5 mm, 3/pk"
WATS-186010349,"186010349","Waters","XBridge Premier BEH Phenyl VanGuard FIT Cartridge, 3.5 µm, 2.1 X 5 mm, 3/pk"
WATS-186010342,"186010342","Waters","ACQUITY Premier BEH Phenyl VanGuard FIT Cartridge, 1.7 µm, 3.9 X 5 mm, 3/pk"
WATS-186010015,"186010015","Waters","Atlantis Premier BEH Z-HILIC VanGuard FIT Cartridge, 1.7 µm, 3.0 X 5 mm, 3/pk"
WATS-186010006,"186010006","Waters","Atlantis Premier BEH Z-HILIC VanGuard FIT Cartridge, 1.7 µm, 3.0 X 5 mm, 3/pk"
WATS-186010064,"186010064","Waters","XSelect Premier HSS T3 VanGuard FIT Cartridge, 3.5 µm, 3.9 X 5 mm, 3/pk"
WATS-186010060,"186010060","Waters","XSelect Premier HSS T3 VanGuard FIT Cartridge, 3.5 µm, 2.1 X 5 mm, 3/pk"
WATS-186010053,"186010053","Waters","ACQUITY Premier HSS T3 VanGuard FIT Cartridge, 1.8 µm, 3.0 X 5 mm, 3/pk"
WATS-186010046,"186010046","Waters","XSelect Premier HSS C18 VanGuard FIT Cartridge, 3.5 µm, 2.1 X 5 mm, 3/pk"
WATS-186010399,"186010399","Waters","XBridge Premier BEH HILIC VanGuard FIT Cartridge, 5 µm, 3.9 X 5 mm, 3/pk"
WATS-186010392,"186010392","Waters","XBridge Premier BEH HILIC VanGuard FIT Cartridge, 5 µm, 2.1 X 5 mm, 3/pk"
WATS-186010371,"186010371","Waters","XBridge Premier BEH C8 VanGuard FIT Cartridge, 5 µm, 2.1 X 5 mm, 3/pk"
WATS-186010364,"186010364","Waters","ACQUITY Premier BEH C8 VanGuard FIT Cartridge, 2.5 µm, 2.1 X 5 mm, 3/pk"
WATS-186010357,"186010357","Waters","XBridge Premier BEH Phenyl VanGuard FIT Cartridge, 5 µm, 3.9 X 5 mm, 3/pk"
WATS-186010350,"186010350","Waters","XBridge Premier BEH Phenyl VanGuard FIT Cartridge, 5 µm, 2.1 X 5 mm, 3/pk"
WATS-186010343,"186010343","Waters","ACQUITY Premier BEH Phenyl VanGuard FIT Cartridge, 2.5 µm, 2.1 X 5 mm, 3/pk"
WATS-186011113,"186011113","Waters","Oasis GCB/WAX for PFAS Analysis 6cc Vac Cartridge, 50 mg GCB, 200 mg WAX, 60 µm WAX Particle Size, 300/pk"
WATS-186011110,"186011110","Waters","Oasis WAX/GCB for PFAS Analysis 6cc Vac Cartridge, 200 mg WAX, 50 mg GCB, 60 µm WAX Particle Size, 30/pk"
WATS-186011111,"186011111","Waters","Oasis WAX/GCB for PFAS Analysis 6cc Vac Cartridge, 200 mg WAX, 50 mg GCB, 60 µm WAX Particle Size, 300/pk"
WATS-186011112,"186011112","Waters","Oasis GCB/WAX for PFAS Analysis 6cc Vac Cartridge, 50 mg GCB, 200 mg WAX, 60 µm WAX Particle Size, 30/pk"
WATS-186010753,"186010753","Waters","OligoWorks SPE 6 cc Cartridge, 150 mg of Sorbent Per Cartridge, 30/pk"
WATS-186010620,"186010620","Waters","OligoWorks SPE 3 cc Cartridge, 60 mg of Sorbent per Cartridge, 30 µm, 50/pk - 186010620 | Waters"
WATS-186010750,"186010750","Waters","OligoWorks SPE 1 cc Cartridge, 10 mg of Sorbent per Cartridge, 30 µm, 50/pk"
WATS-186010751,"186010751","Waters","OligoWorks SPE 1 cc Cartridge, 60 mg of Sorbent per Cartridge, 30 µm, 50/pk"
WATS-186010127,"186010127","Waters","Sep-Pak SEC Desalting Cartridge 1 cc 5K MWCO"
WATS-186000132DL,"186000132DL","Waters","Oasis HLB Plus Short Double Luer-Lock Cartridge, 50/pk"
WATS-186004051DL,"186004051DL","Waters","Sep-Pak Accell Plus QMA Carbonate Plus Light Double Luer-Lock Cartridge, 50/pk"
WATS-WAT023501DL,"WAT023501DL","Waters","Sep-Pak C18 Plus Light Double Luer-Lock Cartridge, 50/pk"
WATS-WAT020515DL,"WAT020515DL","Waters","Sep-Pak C18 Plus Short Double Luer-Lock Cartridge, 50/pk"
WATS-WAT036800DL,"WAT036800DL","Waters","Sep-Pak tC18 Plus Long Double Luer-Lock Cartridge, 50/pk"
WATS-WAT036810DL,"WAT036810DL","Waters","Sep-Pak tC18 Plus Short Double Luer-Lock Cartridge, 50/pk"
WATS-WAT020510DL,"WAT020510DL","Waters","Sep-Pak Alumina N Plus Long Double Luer-Lock Cartridge, 50/pk"
WATS-WAT023525DL,"WAT023525DL","Waters","Sep-Pak Accell Plus QMA Plus Light Double Luer-Lock Cartridge, 50/pk"
WATS-186009568,"186009568","Waters","OASIS WAX for PFAS Analysis 6 cc Vac Cartridge, 500mg Sorbent per Cartridge, 30µm Particle Size, 30/pk"
WATS-186009347,"186009347","Waters","Oasis WAX for PFAS Analysis 6 cc Vac Cartridge, 500mg Sorbent per Cartridge, 60µm Particle Size, 30/pk"
WATS-186009346,"186009346","Waters","Oasis WAX for PFAS Analysis 6 cc Vac Cartridge, 500mg Sorbent per Cartridge, 60µm Particle Size, 300/pk"
WATS-WAT200610,"WAT200610","Waters","Sep-Pak PS2 6 cc Cartridge, 500 mg sorbent per cartridge, 80 µm, 30/pk"
WATS-186009344,"186009344","Waters","Oasis WAX for PFAS Analysis 6 cc Vac Cartridge, 150mg Sorbent per Cartridge, 30µm Particle Size, 300/pk"
WATS-186009345,"186009345","Waters","Oasis WAX for PFAS Analysis 6 cc Vac Cartridge, 150mg Sorbent per Cartridge, 30µm Particle Size, 30/pk"
WATS-186007981,"186007981","Waters","Oasis WCX 96-well Plate, 60 mg Sorbent per Well, 30 µm, 1/pk"
WATS-186007239,"186007239","Waters","GlycoWorks HILIC 1 cc Flangeless Cartridge"
WATS-186007080,"186007080","Waters","GlycoWorks HILIC 1 cc Cartridge, 20/pk"
WATS-186008919,"186008919","Waters","Oasis PRiME MCX 6 cc Vac Cartridge, 150 mg Sorbent per Cartridge, 30 µm, 30/pk"
WATS-186008918,"186008918","Waters","Oasis PRiME MCX 3 cc Vac Cartridge, 60 mg Sorbent per Cartridge, 30 µm, 100/pk"
WATS-186008917,"186008917","Waters","Oasis PRiME MCX 1 cc Vac Cartridge, 30 mg Sorbent per Cartridge, 30 µm, 100/pk"
